id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
1,,Scope and Administration,,,,,,"User note:About this chapter: Chapter 1 establishes the limits of applicability of the code and describes how the code is to be applied and enforced. Chapter 1 is in two parts: Part 1—Scope and Application and Part 2—Administration and Enforcement. Section 101 identifies what buildings, systems, appliances and equipment fall under its purview and references other International Codes as applicable. Standards and codes are scoped to the extent referenced.The code is intended to be adopted as a legally enforceable document and it cannot be effective without adequate provisions for its administration and enforcement. The provisions of Chapter 1 establish the authority and duties of the code official appointed by the authority having jurisdiction and also establish the rights and privileges of the design professional, contractor and property owner.This chapter was extensively reorganized for the 2021 edition. For clarity the relocation marginal markings have not been included. For complete information see the relocations table in the preface information of this code."
101.2,Section 101 (IFGC) Scope and General Requirements,Scope,,,,,,"This code shall apply to the installation of fuel-gas piping systems, fuel gas appliances, gaseous hydrogen systems and related accessories in accordance with Sections 101.2.1 through 101.2.5. Exception: Detached one- and two-family dwellings and townhouses not more than three stories above grade plane in height with separate means of egress and their accessory structures not more than three stories above grade plane in height, shall comply with this code or the International Residential Code."
101.2.1,Section 101 (IFGC) Scope and General Requirements,Gaseous Hydrogen Systems,,,,,,Gaseous hydrogen systems shall be regulated by Chapter 7.
101.2.2,Section 101 (IFGC) Scope and General Requirements,Piping Systems,,,,,,"These regulations cover piping systems for natural gas with an operating pressure of 125 pounds per square inch gauge (psig) (862 kPa gauge) or less, and for LP-gas with an operating pressure of 20 psig (140 kPa gauge) or less, except as provided in Section 402.7. Coverage shall extend from the point of delivery to the outlet of the appliance shutoff valves. Piping system requirements shall include design, materials, components, fabrication, assembly, installation, testing, inspection, operation."
101.2.3,Section 101 (IFGC) Scope and General Requirements,Gas Appliances,,,,,,"Requirements for gas appliances and related accessories shall include installation, combustion and ventilation air and venting and connections to piping systems."
101.2.4,Section 101 (IFGC) Scope and General Requirements,"Systems, Appliances and Equipment Outside the Scope",,,,,,"This code shall not apply to the following:Portable LP-gas appliances and equipment of all types that is not connected to a fixed fuel piping system.Installation of farm appliances and equipment such as brooders, dehydrators, dryers and irrigation equipment.Raw material (feedstock) applications except for piping to special atmosphere generators.Oxygen-fuel gas cutting and welding systems.Industrial gas applications using gases such as acetylene and acetylenic compounds, hydrogen, ammonia, carbon monoxide, oxygen and nitrogen.Petroleum refineries, pipeline compressor or pumping stations, loading terminals, compounding plants, refinery tank farms and natural gas processing plants.Integrated chemical plants or portions of such plants where flammable or combustible liquids or gases are produced by, or used in, chemical reactions.LP-gas installations at utility gas plants.Liquefied natural gas (LNG) installations.Fuel gas piping in power and atomic energy plants.Proprietary items of equipment, apparatus or instruments such as gas-generating sets, compressors and calorimeters.LP-gas equipment for vaporization, gas mixing and gas manufacturing.Deleted.Installation of LP-gas systems for railroad switch heating.Installation of hydrogen gas, LP-gas and compressed natural gas (CNG) systems on vehicles.Except as provided in Section 401.1.1, gas piping, meters, gas pressure regulators and other appurtenances used by the serving gas supplier in the distribution of gas, other than undiluted LP-gas.Building design and construction, except as specified herein.Piping systems for mixtures of gas and air within the flammable range with an operating pressure greater than 10 psig (69 kPa gauge).Portable fuel cell appliances that are neither connected to a fixed piping system nor interconnected to a power grid."
101.2.5,Section 101 (IFGC) Scope and General Requirements,Other Fuels,,,,,,"The requirements for the design, installation, maintenance, alteration and inspection of mechanical systems operating with fuels other than fuel gas shall be regulated by the International Mechanical Code."
101.3,Section 101 (IFGC) Scope and General Requirements,Appendices,,,,,,Provisions in the appendices shall not apply unless specifically adopted.
101.4,Section 101 (IFGC) Scope and General Requirements,Purpose,,,,,,"The purpose of this code is to establish minimum requirements to provide a reasonable level of safety, health, property protection and general welfare by regulating and controlling the design, construction, installation, quality of materials, location, operation and maintenance or use of fuel gas equipment or systems."
101.5,Section 101 (IFGC) Scope and General Requirements,Severability,,,,,,"If a section, subsection, sentence, clause or phrase of this code is, for any reason, held to be unconstitutional, such decision shall not affect the validity of the remaining portions of this code."
102.1,Section 102 (IFGC) Applicability,General,,,,,,"Where there is a conflict between a general requirement and a specific requirement, the specific requirement shall govern. Where, in a specific case, different sections of this code specify different materials, methods of construction or other requirements, the most restrictive shall govern."
102.2,Section 102 (IFGC) Applicability,Existing Installations,,,,,,"Except as otherwise provided for in this chapter, a provision in this code shall not require the removal, alteration or abandonment of, nor prevent the continued utilization and maintenance of, existing installations lawfully in existence at the time of the adoption of this code."
102.2.1,Section 102 (IFGC) Applicability,Existing Buildings,,,,,,"Additions, alterations, renovations or repairs related to building or structural issues shall be regulated by the International Existing Building Code."
102.3,Section 102 (IFGC) Applicability,Maintenance,,,,,,"Installations, both existing and new, and parts thereof shall be maintained in proper operating condition in accordance with the original design and in a safe condition. Devices or safeguards that are required by this code shall be maintained in compliance with the edition of the code under which they were installed. The owner or the owner's authorized agent shall be responsible for maintenance of installations. To determine compliance with this provision, the code official shall have the authority to require an installation to be reinspected."
