id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
2,,Definitions,,,,,,"User note:About this chapter: Codes, by their very nature, are technical documents. Every word, term and punctuation mark can add to or change the meaning of a technical requirement. It is necessary to maintain a consensus on the specific meaning of each term contained in the code. Chapter 2 performs this function by stating clearly what specific terms mean for the purposes of the code."
201.1,Section 201 (IFGC) General,Scope,,,,,,"Unless otherwise expressly stated, the following words and terms shall, for the purposes of this code and standard, have the meanings indicated in this chapter."
201.2,Section 201 (IFGC) General,Interchangeability,,,,,,"Words used in the present tense include the future; words in the masculine gender include the feminine and neuter; the singular number includes the plural and the plural, the singular."
201.3,Section 201 (IFGC) General,Terms Defined in Other Codes,,,,,,"Where terms are not defined in this code and are defined in the International Building Code, International Fire Code, International Mechanical Code or International Plumbing Code, such terms shall have meanings ascribed to them as in those codes."
201.4,Section 201 (IFGC) General,Terms Not Defined,,,,,,"Where terms are not defined through the methods authorized by this section, such terms shall have ordinarily accepted meanings such as the context implies."
access_to_,Section 202 (IFGC) General Definitions,Access (To),,,,,,"That which enables a device, appliance or equipment to be reached by ready access or by a means that first requires the removal or movement of a panel, door or similar obstruction (see also ""Ready access"")."
air_exhaust_,Section 202 (IFGC) General Definitions,"Air, Exhaust",,,,,,Air being removed from any space or piece of equipment or appliance and conveyed directly to the atmosphere by means of openings or ducts.
air_makeup_,Section 202 (IFGC) General Definitions,"Air, Makeup",,,,,,Any combination of outdoor and transfer air intended to replace exhaust air and exfiltration.
air_conditioner_gas_fired_,Section 202 (IFGC) General Definitions,"Air Conditioner, Gas-Fired",,,,,,"A gas-burning, automatically operated appliance for supplying cooled air, dehumidified air, or both, or chilled liquid."
air_conditioning_,Section 202 (IFGC) General Definitions,Air Conditioning,,,,,,"The treatment of air so as to control simultaneously the temperature, humidity, cleanness and distribution of the air to meet the requirements of a conditioned space."
air_handling_unit_,Section 202 (IFGC) General Definitions,Air-Handling Unit,,,,,,"A blower or fan used for the purpose of distributing supply air to a room, space or area."
alteration_,Section 202 (IFGC) General Definitions,Alteration,,,,,,"A change in a system that involves an extension, addition or change to the arrangement, type or purpose of the original installation."
anodeless_riser_,Section 202 (IFGC) General Definitions,Anodeless Riser,,,,,,A transition assembly in which plastic piping is installed and terminated above ground outside of a building.
appliance_,Section 202 (IFGC) General Definitions,Appliance,,,,,,"Any apparatus or device that utilizes a fuel or a raw material as a fuel to produce light, heat, power, refrigeration or air conditioning. Also, an apparatus that compresses fuel gases."
appliance_automatically_controlled_,Section 202 (IFGC) General Definitions,"Appliance, Automatically Controlled",,,,,,"Appliances equipped with an automatic burner ignition and safety shutoff device and other automatic devices that accomplish complete turn-on and shutoff of the gas to the main burner or burners, and graduate the gas supply to the burner or burners, but do not affect complete shutoff of the gas."
appliance_fan_assisted_combustion_,Section 202 (IFGC) General Definitions,"Appliance, Fan-Assisted Combustion",,,,,,An appliance equipped with an integral mechanical means to either draw or force products of combustion through the combustion chamber or heat exchanger.
appliance_unvented_,Section 202 (IFGC) General Definitions,"Appliance, Unvented",,,,,,An appliance designed or installed in such a manner that the products of combustion are not conveyed by a vent or chimney directly to the outside atmosphere.
appliance_vented_,Section 202 (IFGC) General Definitions,"Appliance, Vented",,,,,,An appliance designed and installed in such a manner that all of the products of combustion are conveyed directly from the appliance to the outdoor atmosphere through an approved chimney or vent system.
low_heat_appliance_residential_appliance_,Appliance Type,Low-Heat Appliance (Residential Appliance),,,,,,"Any appliance in which the products of combustion at the point of entrance to the flue under normal operating conditions have a temperature of 1,000°F (538°C) or less."
