id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
4,,Gas Piping Installations,,,,,,"User note:About this chapter: Chapter 4 addresses all aspects of fuel gas piping including the allowed materials, design and sizing, piping support, pressure requirements, controls, connections to appliances, installation requirements, purging and testing. Also addressed are motor vehicle fuel dispensing systems. The overarching intent is to prevent gas leakage, overpressures and underpressures and prevent accidents."
401.1,Section 401 (IFGC) General,Scope,,,,,,"This chapter shall govern the design, installation, modification and maintenance of piping systems. The applicability of this code to piping systems extends from the point of delivery to the connections with the appliances and includes the design, materials, components, fabrication, assembly, installation, testing, inspection, operation and maintenance of such piping systems."
401.1.1,Section 401 (IFGC) General,Utility Piping Systems Located Within Buildings,,,,,,Utility service piping located within buildings shall be installed in accordance with the structural safety and fire protection provisions of the International Building Code.
401.2,Section 401 (IFGC) General,Liquefied Petroleum Gas Storage,,,,,,The storage system for liquefied petroleum gas shall be designed and installed in accordance with the International Fire Code and NFPA 58.
401.3,Section 401 (IFGC) General,Modifications to Existing Systems,,,,,,"In modifying or adding to existing piping systems, sizes shall be maintained in accordance with this chapter."
401.4,Section 401 (IFGC) General,Additional Appliances,,,,,,"Where an additional appliance is to be served, the existing piping shall be checked to determine if it has adequate capacity for all appliances served. If inadequate, the existing system shall be enlarged as required or separate piping of adequate capacity shall be provided."
401.5,Section 401 (IFGC) General,Identification,,,,,,"For other than steel pipe and CSST, exposed piping shall be identified by a yellow label marked ""Gas"" in black letters. The marking shall be spaced at intervals not exceeding 5 feet (1524 mm). The marking shall not be required on piping located in the same room as the appliance served. CSST shall be identified as required by ANSI LC 1/CSA 6.26."
401.6,Section 401 (IFGC) General,Interconnections,,,,,,"Where two or more meters are installed on the same premises but supply separate consumers, the piping systems shall not be interconnected on the outlet side of the meters."
401.7,Section 401 (IFGC) General,Piping Meter Identification,,,,,,Piping from multiple meter installations shall be marked with an approved permanent identification by the installer so that the piping system supplied by each meter is readily identifiable.
401.8,Section 401 (IFGC) General,Minimum Sizes,,,,,,"Pipe utilized for the installation, extension and alteration of any piping system shall be sized to supply the full number of outlets for the intended purpose and shall be sized in accordance with Section 402."
401.9,Section 401 (IFGC) General,Identification,,,,,,"Each length of pipe and tubing and each pipe fitting, utilized in a fuel gas system, shall bear the identification of the manufacturer. Exceptions:Steel pipe sections that are 2 feet (610 mm) and less in length and are cut from longer sections of pipe.Steel pipe fittings 2 inches and less in size.Where identification is provided on the product packaging or crating.Where other approved documentation is provided."
401.10,Section 401 (IFGC) General,Piping Materials Standards,,,,,,"Piping, tubing and fittings shall be manufactured to the applicable referenced standards, specifications and performance criteria listed in Section 403 and shall be identified in accordance with Section 401.9."
402.1,Section 402 (IFGS) Pipe Sizing,General Considerations,,,,,,Piping systems shall be of such size and so installed as to provide a supply of gas sufficient to meet the maximum demand and supply gas to each appliance inlet at not less than the minimum supply pressure required by the appliance.
402.2,Section 402 (IFGS) Pipe Sizing,Maximum Gas Demand,,,,,,"The volumetric flow rate of gas to be provided shall be the sum of the maximum input of the appliances served. The total connected hourly load shall be used as the basis for pipe sizing, assuming that all appliances could be operating at full capacity simultaneously. Where a diversity of load can be established, pipe sizing shall be permitted to be based on such loads.The volumetric flow rate of gas to be provided shall be adjusted for altitude where the installation is above 2,000 feet (610 m) in elevation."
402.3,Section 402 (IFGS) Pipe Sizing,Sizing,,,,,,Gas piping shall be sized in accordance with one of the following: Pipe sizing tables or sizing equations in accordance with Section 402.4 or 402.5 as applicable.The sizing tables included in a listed piping system's manufacturer's installation instructions.Engineering methods.
