id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
A,,(IFGS) Sizing and Capacities of Gas Piping,,,,,,"This appendix is informative and is not part of the code.User note:About this appendix: Appendix A provides commentary, guidance and examples for sizing of gas piping systems."
A101,,General Piping Considerations,,,,,,"The first goal of determining the pipe sizing for a fuel gas piping system is to make sure that there is sufficient gas pressure at the inlet to each appliance. The majority of systems are residential and the appliances will all have the same, or nearly the same, requirement for minimum gas pressure at the appliance inlet. This pressure will be about 5-inch water column (w.c.) (1.25 kPa), which is enough for proper operation of the appliance regulator to deliver about 3.5-inches water column (w.c.) (875 kPa) to the burner itself. The pressure drop in the piping is subtracted from the source delivery pressure to verify that the minimum is available at the appliance. There are other systems, however, where the required inlet pressure to the different appliances may be quite varied. In such cases, the greatest inlet pressure required must be satisfied, as well as the farthest appliance, which is almost always the critical appliance in small systems.There is an additional requirement to be observed besides the capacity of the system at 100-percent flow. That requirement is that at minimum flow, the pressure at the inlet to any appliance does not exceed the pressure rating of the appliance regulator. This would seldom be of concern in small systems if the source pressure is 1/2 psi (14-inch w.c.) (3.5 kPa) or less but it should be verified for systems with greater gas pressure at the point of supply.To determine the size of piping used in a gas piping system, the following factors must be considered:Allowable loss in pressure from point of delivery to appliance.Maximum gas demand.Length of piping and number of fittings.Specific gravity of the gas.Diversity factor. For any gas piping system, or special appliance, or for conditions other than those covered by the tables provided in this code, such as longer runs, greater gas demands or greater pressure drops, the size of each gas piping system should be determined by standard engineering practices acceptable to the code official."
A102.1,Section A102 Description of Tables,General,,,,,,"The quantity of gas to be provided at each outlet should be determined, whenever possible, directly from the manufacturer's gas input Btu/h rating of the appliance that will be installed. In case the ratings of the appliances to be installed are not known, Table 402.2 shows the approximate consumption (in Btu per hour) of certain types of typical household appliances. To obtain the cubic feet per hour of gas required, divide the total Btu/h input of all appliances by the average Btu heating value per cubic feet of the gas. The average Btu per cubic feet of the gas in the area of the installation can be obtained from the serving gas supplier."
A102.2,Section A102 Description of Tables,Low-Pressure Natural Gas Tables,,,,,,"Capacities for gas at low pressure [less than 2.0 psig (13.8 kPa gauge)] in cubic feet per hour of 0.60 specific gravity gas for different sizes and lengths are shown in Tables 402.4(1) through 402.4(4) for iron pipe or equivalent rigid pipe; in Tables 402.4(8) through 402.4(11) for smooth wall semirigid tubing; in Tables 402.4(20) through 402.4(24) for polyethylene pipe and tubing; and in Tables 402.4(15) through 402.4(17) for corrugated stainless steel tubing. Tables 402.4(1), 402.4(8) and 402.4(20) are based on a pressure drop of 0.3-inch w.c. (75 Pa), whereas Tables 402.4(2), 402.4(9), 402.4(15) and 402.4(21) are based on a pressure drop of 0.5-inch w.c. (125 Pa). Tables 402.4(3), 402.4(4), 402.4(10), 402.4(11), 402.4(16) and 402.4(17) are special low-pressure applications based on pressure drops greater than 0.5-inch w.c. (125 Pa). In using these tables, an allowance (in equivalent length of pipe) should be considered for any piping run with four or more fittings (see Table A102.2).TABLE A102.2EQUIVALENT LENGTHS OF PIPE FITTINGS AND VALVESSCREWED FITTINGS190° WELDING ELBOWS AND SMOOTH BENDS245°/EII90°/EII180°close return bendsTeeR/d = 1R/d = 11/3R/d = 2R/d = 4R/d = 6R/d = 8k factor =0.420.902.001.800.480.360.270.210.270.36L/d' ratio4 n =14306760161297912Nominal pipe size, inchesInside diameter d, inches, Schedule 406L = Equivalent Length In Feet of Schedule 40 (Standard-weight) Straight Pipe61/20.6220.731.553.473.100.830.620.470.360.470.623/40.8240.962.064.604.121.100.820.620.480.620.8211.0491.222.625.825.241.401.050.790.610.791.0511/41.3801.613.457.666.901.841.381.030.811.031.3811/21.6101.884.028.958.042.141.611.210.941.211.6122.0672.415.1711.510.32.762.071.551.211.552.0721/22.4692.886.1613.712.33.292.471.851.441.852.4733.0683.587.6717.115.34.093.072.301.792.303.0744.0264.7010.122.420.25.374.033.022.353.024.0355.0475.8812.628.025.26.725.053.782.943.785.0566.0657.0715.233.830.48.096.074.553.544.556.0787.9819.3120.044.640.010.67.985.984.655.987.981010.0211.725.055.750.013.310.07.515.857.5110.01211.9413.929.866.359.615.911.98.956.968.9511.91413.1315.332.873.065.617.513.19.857.659.8513.11615.0017.537.583.575.020.015.011.28.7511.215.01816.8819.742.193.884.222.516.912.79.8512.716.92018.8122.047.0105.094.025.118.814.111.014.118.82422.6326.456.6126.0113.030.222.617.013.217.022.6MITER ELBOWS3 (No. of miters)WELDING TEESVALVES (screwed, flanged, or welded)1-45°1-60°1-90°2-90°53-90°5ForgedMiter3GateGlobeAngleSwing Checkk factor =0.450.901.800.600.451.351.800.21105.02.5L/d' ratio4 n =15306020154560733316783Nominal pipe size, inchesInside diameter d, inches, Schedule 406L = Equivalent Length In Feet of Schedule 40 (Standard-weight) Straight Pipe61/20.6220.781.553.101.040.782.333.100.3617.38.654.323/40.8241.032.064.121.371.033.094.120.4822.911.45.7211.0491.312.625.241.751.313.935.240.6129.114.67.2711/41.3801.723.456.902.301.725.176.900.8138.319.19.5811/21.6102.014.028.042.682.016.048.040.9444.722.411.222.0672.585.1710.33.452.587.7510.31.2157.428.714.421/22.4693.086.1612.34.113.089.2512.31.4468.534.317.133.0683.847.6715.35.113.8411.515.31.7985.242.621.344.0265.0410.120.26.715.0415.120.22.35112.056.028.055.0476.3012.625.28.406.3018.925.22.94140.070.035.066.0657.5815.230.410.17.5822.830.43.54168.084.142.187.9819.9720.040.013.39.9729.940.04.65222.0111.055.51010.0212.525.050.016.712.537.650.05.85278.0139.069.51211.9414.929.859.619.914.944.859.66.96332.0166.083.01413.1316.432.865.621.916.449.265.67.65364.0182.091.01615.0018.837.575.025.018.856.275.08.75417.0208.0104.01816.8821.142.184.228.121.163.284.29.85469.0234.0117.02018.8123.547.094.031.423.570.694.011.0522.0261.0131.02422.6328.356.6113.037.828.385.0113.013.2629.0314.0157.0For SI: 1 foot = 305 mm, 1 degree = 0.01745 rad.Note: Values for welded fittings are for conditions where bore is not obstructed by weld spatter or backing rings. If appreciably obstructed, use values for ""Screwed Fittings.""Flanged fittings have three-fourths the resistance of screwed elbows and tees.Tabular figures give the extra resistance due to curvature alone to which should be added the full length of travel.Small size socket-welding fittings are equivalent to miter elbows and miter tees.Equivalent resistance in number of diameters of straight pipe computed for a value of (f - 0.0075) from the relation (n - k/4f).For condition of minimum resistance where the centerline length of each miter is between d and 21/2d.For pipe having other inside diameters, the equivalent resistance can be computed from the above n values.Source: Crocker, S. Piping Handbook, 4th ed., Table XIV, pp. 100—101. Copyright 1945 by McGraw-Hill, Inc. Used by permission of McGraw-Hill Book Company."
A102.3,Section A102 Description of Tables,Undiluted Liquefied Petroleum Tables,,,,,,"Capacities in thousands of Btu per hour of undiluted liquefied petroleum gases based on a pressure drop of 0.5-inch w.c. (125 Pa) for different sizes and lengths are shown in Table 402.4(28) for iron pipe or equivalent rigid pipe, in Table 402.4(30) for smooth wall semi-rigid tubing, in Table 402.4(32) for corrugated stainless steel tubing, and in Tables 402.4(35) and 402.4(37) for polyethylene plastic pipe and tubing. Tables 402.4(33) and 402.4(34) for corrugated stainless steel tubing and 402.4(36) for polyethylene plastic pipe are based on operating pressures greater than 11/2 pounds per square inch (psi) (3.5 kPa) and pressure drops greater than 0.5-inch w.c. (125 Pa). In using these tables, an allowance (in equivalent length of pipe) should be considered for any piping run with four or more fittings (see Table A102.2)."
A102.4,Section A102 Description of Tables,Natural Gas Specific Gravity,,,,,,"Gas piping systems that are to be supplied with gas of a specific gravity of 0.70 or less can be sized directly from the tables provided in this code, unless the code official specifies that a gravity factor be applied. Where the specific gravity of the gas is greater than 0.70, the gravity factor should be applied. Application of the gravity factor converts the figures given in the tables provided in this code to capacities for another gas of different specific gravity. Such application is accomplished by multiplying the capacities given in the tables by the multipliers shown in Table A102.4. In case the exact specific gravity does not appear in the table, choose the next higher value specific gravity shown.TABLE A102.4MULTIPLIERS TO BE USED WITH TABLES 402.4(1) THROUGH 402.4(22) WHERE THE SPECIFIC GRAVITY OF THE GAS IS OTHER THAN 0.60 SPECIFIC GRAVITY MULTIPLIER SPECIFIC GRAVITY MULTIPLIER 0.35 1.31 1.00 0.78 0.40 1.23 1.10 0.74 0.45 1.16 1.20 0.71 0.50 1.10 1.30 0.68 0.55 1.04 1.40 0.66 0.60 1.00 1.50 0.63 0.65 0.96 1.60 0.61 0.70 0.93 1.70 0.59 0.75 0.90 1.80 0.58 0.80 0.87 1.90 0.56 0.85 0.84 2.00 0.55 0.90 0.82 2.10 0.54"
A102.5,Section A102 Description of Tables,Higher Pressure Natural Gas Tables,,,,,,Capacities for gas at pressures 2.0 psig (13.8 kPa) or greater in cubic feet per hour of 0.60 specific gravity gas for different sizes and lengths are shown in Tables 402.4(5) through 402.4(7) for iron pipe or equivalent rigid pipe; Tables 402.4(12) to 402.4(14) for semirigid tubing; Tables 402.4(18) and 402.4(19) for corrugated stainless steel tubing; and 402.4(22) for polyethylene plastic pipe.
A103.1,Section A103 Use of Capacity Tables,Longest Length Method,,,,,,"This sizing method is conservative in its approach by applying the maximum operating conditions in the system as the norm for the system and by setting the length of pipe used to size any given part of the piping system to the maximum value. To determine the size of each section of gas piping in a system within the range of the capacity tables, proceed as follows (also see sample calculations included in this Appendix):Divide the piping system into appropriate segments consistent with the presence of tees, branch lines and main runs. For each segment, determine the gas load (assuming all appliances operate simultaneously) and its overall length. An allowance (in equivalent length of pipe) as determined from Table A102.2 shall be considered for piping segments that include four or more fittings.Determine the gas demand of each appliance to be attached to the piping system. Where Tables 402.4(1) through 402.4(24) are to be used to select the piping size, calculate the gas demand in terms of cubic feet per hour for each piping system outlet. Where Tables 402.4(25) through 402.4(37) are to be used to select the piping size, calculate the gas demand in terms of thousands of Btu per hour for each piping system outlet.Where the piping system is for use with other than undiluted liquefied petroleum gases, determine the design system pressure, the allowable loss in pressure (pressure drop), and specific gravity of the gas to be used in the piping system.Determine the length of piping from the point of delivery to the most remote outlet in the building/piping system.In the appropriate capacity table, select the row showing the measured length or the next longer length if the table does not give the exact length. This is the only length used in determining the size of any section of gas piping. If the gravity factor is to be applied, the values in the selected row of the table are multiplied by the appropriate multiplier from Table A102.4.Use this horizontal row to locate ALL gas demand figures for this particular system of piping.Starting at the most remote outlet, find the gas demand for that outlet in the horizontal row just selected. If the exact figure of demand is not shown, choose the next larger figure left in the row.Opposite this demand figure, in the first row at the top, the correct size of gas piping will be found.Proceed in a similar manner for each outlet and each section of gas piping. For each section of piping, determine the total gas demand supplied by that section. Where a large number of piping components (such as elbows, tees and valves) are installed in a pipe run, additional pressure loss can be accounted for by the use of equivalent lengths. Pressure loss across any piping component can be equated to the pressure drop through a length of pipe. The equivalent length of a combination of only four elbows/tees can result in a jump to the next larger length row, resulting in a significant reduction in capacity. The equivalent lengths in feet shown in Table A102.2 have been computed on a basis that the inside diameter corresponds to that of Schedule 40 (standard-weight) steel pipe, which is close enough for most purposes involving other schedules of pipe. Where a more specific solution for equivalent length is desired, this can be made by multiplying the actual inside diameter of the pipe in inches by n/12, or the actual inside diameter in feet by n (n can be read from the table heading). The equivalent length values can be used with reasonable accuracy for copper or copper alloy fittings and bends although the resistance per foot of copper or copper alloy pipe is less than that of steel. For copper or copper alloy valves, however, the equivalent length of pipe should be taken as 45 percent longer than the values in the table, which are for steel pipe."
A103.2,Section A103 Use of Capacity Tables,Branch Length Method,,,,,,"This sizing method reduces the amount of conservatism built into the traditional Longest Length Method. The longest length as measured from the meter to the furthest remote appliance is only used to size the initial parts of the overall piping system. The Branch Length Method is applied in the following manner: Determine the gas load for each of the connected appliances.Starting from the meter, divide the piping system into a number of connected segments, and determine the length and amount of gas that each segment would carry assuming that all appliances were operated simultaneously. An allowance (in equivalent length of pipe) as determined from Table A102.2 should be considered for piping segments that include four or more fittings.Determine the distance from the outlet of the gas meter to the appliance furthest removed from the meter.Using the longest distance (found in Step 3), size each piping segment from the meter to the most remote appliance outlet.For each of these piping segments, use the longest length and the calculated gas load for all of the connected appliances for the segment and begin the sizing process in Steps 6 through 8.Referring to the appropriate sizing table (based on operating conditions and piping material), find the longest length distance in the first column or the next larger distance if the exact distance is not listed. The use of alternative operating pressures or pressure drops will require the use of a different sizing table, but will not alter the sizing methodology. In many cases, the use of alternative operating pressures or pressure drops will require the approval of both the code official and the local gas serving utility.Trace across this row until the gas load is found or the closest larger capacity if the exact capacity is not listed.Read up the table column and select the appropriate pipe size in the top row. Repeat Steps 6, 7 and 8 for each pipe segment in the longest run.Size each remaining section of branch piping not previously sized by measuring the distance from the gas meter location to the most remote outlet in that branch, using the gas load of attached appliances and following the procedures of Steps 2 through 8."
A103.3,Section A103 Use of Capacity Tables,Hybrid Pressure Method,,,,,,"The sizing of a 2 psi (13.8 kPa) gas piping system is performed using the traditional Longest Length Method but with modifications. The 2 psi (13.8 kPa) system consists of two independent pressure zones, and each zone is sized separately. The Hybrid Pressure Method is applied as follows: The sizing of the 2 psi (13.8 kPa) section (from the meter to the line regulator) is as follows:Calculate the gas load (by adding up the name plate ratings) from all connected appliances. (In certain circumstances the installed gas load can be increased up to 50 percent to accommodate future addition of appliances.) Ensure that the line regulator capacity is adequate for the calculated gas load and that the required pressure drop (across the regulator) for that capacity does not exceed 3/4 psi (5.2 kPa) for a 2 psi (13.8 kPa) system. If the pressure drop across the regulator is too high (for the connected gas load), select a larger regulator.Measure the distance from the meter to the line regulator located inside the building.If there are multiple line regulators, measure the distance from the meter to the regulator furthest removed from the meter.The maximum allowable pressure drop for the 2 psi (13.8 kPa) section is 1 psi (6.9 kPa).Referring to the appropriate sizing table (based on piping material) for 2 psi (13.8 kPa) systems with a 1 psi (6.9 kPa) pressure drop, find this distance in the first column, or the closest larger distance if the exact distance is not listed.Trace across this row until the gas load is found or the closest larger capacity if the exact capacity is not listed.Read up the table column to the top row and select the appropriate pipe size.If there are multiple regulators in this portion of the piping system, each line segment must be sized for its actual gas load, but using the longest length previously determined above. The low-pressure section (all piping downstream of the line regulator) is sized as follows:Determine the gas load for each of the connected appliances.Starting from the line regulator, divide the piping system into a number of connected segments or independent parallel piping segments, and determine the amount of gas that each segment would carry assuming that all appliances were operated simultaneously. An allowance (in equivalent length of pipe) as determined from Table A102.2 should be considered for piping segments that include four or more fittings.For each piping segment, use the actual length or longest length (if there are sub-branchlines) and the calculated gas load for that segment and begin the sizing process as follows:Referring to the appropriate sizing table (based on operating pressure and piping material), find the longest length distance in the first column or the closest larger distance if the exact distance is not listed. The use of alternative operating pressures and/or pressure drops will require the use of a different sizing table, but will not alter the sizing methodology. In many cases, the use of alternative operating pressures and/or pressure drops can require the approval of the code official.Trace across this row until the appliance gas load is found or the closest larger capacity if the exact capacity is not listed.Read up the table column to the top row and select the appropriate pipe size.Repeat this process for each segment of the piping system."
