id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
10,,"Boilers, Water Heaters and Pressure Vessels",,,,,,"User note:About this chapter: Chapter 10 addresses boilers, water heaters, expansion tanks and pressure vessels in general, such as compressed air vessels. This chapter includes requirements for components of hydronic HVAC systems, with the focus being on safety, maintenance, testing and safety control devices."
1001.1,Section 1001 General,Scope,,,,,,"This chapter shall govern the installation, alteration and repair of boilers, water heaters and pressure vessels. Exceptions: Pressure vessels used for unheated water supply.Portable unfired pressure vessels and Interstate Commerce Commission containers.Containers for bulk oxygen and medical gas.Unfired pressure vessels having a volume of 5 cubic feet (0.14 m3) or less operating at pressures not exceeding 250 pounds per square inch (psi) (1724 kPa) and located within occupancies of Groups B, F, H, M, R, S and U.Pressure vessels used in refrigeration systems that are regulated by Chapter 11 of this code.Pressure tanks used in conjunction with coaxial cables, telephone cables, power cables and other similar humidity control systems.Any boiler or pressure vessel subject to inspection by federal or state inspectors."
1002.1,Section 1002 Water Heaters,General,,,,,,"Potable water heaters and hot water storage tanks shall be listed and labeled and installed in accordance with the manufacturer's instructions, the International Plumbing Code and this code. Water heaters shall be capable of being removed without first removing a permanent portion of the building structure. The potable water connections and relief valves for all water heaters shall conform to the requirements of the International Plumbing Code. Domestic electric water heaters shall comply with UL 174 or UL 1453. Commercial electric water heaters shall comply with UL 1453. Oil-fired water heaters shall comply with UL 732. Solid-fuel-fired water heaters shall comply with UL 2523. Solar thermal water heating systems shall comply with Chapter 14 and ICC 900/SRCC 300."
1002.2,Section 1002 Water Heaters,Water Heaters Utilized for Space Heating,,,,,,Water heaters utilized both to supply potable hot water and provide hot water for space-heating applications shall be listed and labeled for such applications by the manufacturer and shall be installed in accordance with the manufacturer's instructions and the International Plumbing Code.
1002.2.1,Section 1002 Water Heaters,Sizing,,,,,,Water heaters utilized for both potable water heating and space-heating applications shall be sized to prevent the space-heating load from diminishing the required potable water-heating capacity.
1002.2.2,Section 1002 Water Heaters,Temperature Limitation,,,,,,"Where a combination potable water-heating and space-heating system requires water for space heating at temperatures higher than 140°F (60°C), a temperature-actuated mixing valve that conforms to ASSE 1017 shall be provided to temper the water supplied to the potable hot water distribution system to a temperature of 140°F (60°C) or less."
1002.3,Section 1002 Water Heaters,Supplemental Water-Heating Devices,,,,,,Potable water-heating devices that utilize refrigerant-to-water heat exchangers shall be approved and installed in accordance with the International Plumbing Code and the manufacturer's instructions.
1003.1,Section 1003 Pressure Vessels,General,,,,,,"All pressure vessels, unless otherwise approved, shall be constructed and certified in accordance with the ASME Boiler and Pressure Vessel Code, and shall be installed in accordance with the manufacturer's instructions and nationally recognized standards. Directly fired pressure vessels shall meet the requirements of Section 1004."
1003.2,Section 1003 Pressure Vessels,Piping,,,,,,"All piping materials, fittings, joints, connections and devices associated with systems utilized in conjunction with pressure vessels shall be designed for the specific application and shall be approved."
1003.3,Section 1003 Pressure Vessels,Welding,,,,,,"Welding on pressure vessels shall be performed by an R-Stamp holder in accordance with the National Board Inspection Code, Part 3 or in accordance with an approved standard."
