id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
11,,Refrigeration,,,,,,"User note:About this chapter: Chapter 11 provides for the protection of life and property from the potential fire and health hazards associated with refrigerant chemicals and the machinery that contains such chemicals. Some refrigerants are toxic, some are flammable and some are both. This chapter refers to the International Fire Code®, ASHRAE 15 and IIAR standards 2 through 5."
1101.1,Section 1101 General,Scope,,,,,,"This chapter shall govern the design, installation, construction and repair of refrigeration systems that vaporize and liquefy a fluid during the refrigerating cycle. Permanently installed refrigerant storage systems and other components shall be considered as part of the refrigeration system to which they are attached."
1101.1.1,Section 1101 General,Refrigerants Other Than Ammonia,,,,,,"Refrigerant piping design and installation for systems containing a refrigerant other than ammonia, including pressure vessels and pressure relief devices, shall comply with this chapter and ASHRAE 15."
1101.1.2,Section 1101 General,Ammonia Refrigerant,,,,,,"Refrigeration systems using ammonia as the refrigerant shall comply with IIAR 2, IIAR 3, IIAR 4 and IIAR 5 and shall not be required to comply with this chapter."
1101.2,Section 1101 General,Factory-Built Equipment and Appliances,,,,,,"Listed and labeled self-contained, factory-built equipment and appliances shall be tested in accordance with the applicable standards specified in Table 1101.2. Such equipment and appliances are deemed to meet the design, manufacture and factory test requirements of this code if installed in accordance with their listing and the manufacturer's instructions. TABLE 1101.2FACTORY-BUILT EQUIPMENT AND APPLIANCES EQUIPMENT STANDARDS Refrigeration fittings, including press-connect, flared and threaded UL 109 and UL 207 Air-conditioning equipment UL 1995 or UL/CSA 60335-2-40 Packaged terminal air conditioners and heat pumps UL 484 or UL/CSA 60335-2-40 Split-system air conditioners and heat pumps UL 1995 or UL/CSA 60335-2-40 Dehumidifiers UL 474 or UL/CSA 60335-2-40 Unit coolers UL 412 or UL/CSA 60335-2-89 Commercial refrigerators, freezers, beverage coolers and walk-in coolers UL 471 or UL/CSA 60335-2-89 Refrigerating units and walk-in coolers UL 427 or UL 60335-2-89 Refrigerant-containing components and accessories UL 207"
1101.3,Section 1101 General,Protection,,,,,,Any portion of a refrigeration system that is subject to physical damage shall be protected in an approved manner.
1101.4,Section 1101 General,Water Connection,,,,,,Water supply and discharge connections associated with refrigeration systems shall be made in accordance with this code and the International Plumbing Code.
1101.5,Section 1101 General,Fuel Gas Connection,,,,,,"Fuel gas devices, equipment and appliances used with refrigeration systems shall be installed in accordance with the International Fuel Gas Code."
1101.6,Section 1101 General,Maintenance,,,,,,"Mechanical refrigeration systems shall be maintained in proper operating condition, free from accumulations of oil, dirt, waste, excessive corrosion, other debris and leaks."
1101.7,Section 1101 General,Change in Refrigerant Type,,,,,,The type of refrigerant in refrigeration systems having a refrigerant circuit containing more than 220 pounds (99.8 kg) of Group A1 or 30 pounds (13.6 kg) of any other group refrigerant shall not be changed without prior notification to the code official and compliance with the applicable code provisions for the new refrigerant type.
1101.8,Section 1101 General,Refrigerant Discharge,,,,,,Notification of refrigerant discharge shall be provided in accordance with the International Fire Code.
1101.9,Section 1101 General,Locking Access Port Caps,,,,,,Refrigerant circuit access ports located outdoors shall be fitted with locking-type tamper-resistant caps or shall be otherwise secured to prevent unauthorized access. Exception: This section shall not apply to refrigerant circuit access ports on equipment installed in controlled areas such as on roofs with locked access hatches or doors.
1102.1,Section 1102 System Requirements,General,,,,,,"The system classification, allowable refrigerants, maximum quantity, enclosure requirements, location limitations, and field pressure test requirements shall be determined as follows: Determine the refrigeration system's classification, in accordance with Section 1103.3.Determine the refrigerant classification in accordance with Section 1103.1.Determine the maximum allowable quantity of refrigerant in accordance with Section 1104, based on type of refrigerant, system classification and occupancy.Determine the system enclosure requirements in accordance with Section 1104.Refrigeration equipment and appliance location and installation shall be subject to the limitations of Chapter 3.Nonfactory-tested, field-erected equipment and appliances shall be pressure tested in accordance with Section 1108."
1102.2,Section 1102 System Requirements,Refrigerants,,,,,,The refrigerant shall be that which the equipment or appliance was designed to utilize or converted to utilize. Refrigerants not identified in Table 1103.1 shall be approved before use.
1102.2.1,Section 1102 System Requirements,Mixing,,,,,,"Refrigerants, including refrigerant blends, with different designations in ASHRAE 34 shall not be mixed in a system. Exception: Addition of a second refrigerant is allowed where permitted by the equipment or appliance manufacturer to improve oil return at low temperatures. The refrigerant and amount added shall be in accordance with the manufacturer's instructions."
1102.2.2,Section 1102 System Requirements,Purity,,,,,,"Refrigerants used in refrigeration systems shall be new, recovered or reclaimed refrigerants in accordance with Section 1102.2.2.1, 1102.2.2.2 or 1102.2.2.3. Where required by the equipment or appliance owner or the code official, the installer shall furnish a signed declaration that the refrigerant used meets the requirements of Section 1102.2.2.1, 1102.2.2.2 or 1102.2.2.3.Exception: The refrigerant used shall meet the purity specifications set by the manufacturer of the equipment or appliance in which such refrigerant is used where such specifications are different from that specified in Sections 1102.2.2.1, 1102.2.2.2 and 1102.2.2.3."
1102.2.2.1,Section 1102 System Requirements,New Refrigerants,,,,,,Refrigerants shall be of a purity level specified by the equipment or appliance manufacturer.
1102.2.2.2,Section 1102 System Requirements,Recovered Refrigerants,,,,,,Refrigerants that are recovered from refrigeration and air-conditioning systems shall not be reused in other than the system from which they were recovered and in other systems of the same owner. Recovered refrigerants shall be filtered and dried before reuse. Recovered refrigerants that show clear signs of contamination shall not be reused unless reclaimed in accordance with Section 1102.2.2.3.
1102.2.2.3,Section 1102 System Requirements,Reclaimed Refrigerants,,,,,,Used refrigerants shall not be reused in a different owner's equipment or appliances unless tested and found to meet the purity requirements of AHRI 700. Contaminated refrigerants shall not be used unless reclaimed and found to meet the purity requirements of AHRI 700.
1102.3,Section 1102 System Requirements,Access Port Protection,,,,,,Refrigerant access ports shall be protected in accordance with Section 1101.9 whenever refrigerant is added to or recovered from refrigeration or air-conditioning systems.
