id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
12,,Hydronic Piping,,,,,,"User note:About this chapter: Chapter 12 addresses the piping systems used in heating and cooling systems. Such piping typically conveys water, water and antifreeze solutions, steam and condensate. The fluids conveyed are heated or cooled by boilers, chillers and heat pumps, which are all components of HVAC systems."
1201.1,Section 1201 General,Scope,,,,,,"The provisions of this chapter shall govern the construction, installation, alteration and repair of hydronic piping systems. This chapter shall apply to hydronic piping systems that are part of heating, ventilation and air-conditioning systems. Such piping systems shall include steam, hot water, chilled water, steam condensate and ground source heat pump loop systems. Potable cold and hot water distribution systems shall be installed in accordance with the International Plumbing Code."
1201.2,Section 1201 General,Sizing,,,,,,Piping and piping system components for hydronic systems shall be sized for the demand of the system.
1201.3,Section 1201 General,Standards,,,,,,"As an alternative to the provisions of Sections 1202 and 1203, piping shall be designed, installed, inspected and tested in accordance with ASME B31.9."
1202.1,Section 1202 Material,Piping,,,,,,Piping material shall conform to the standards cited in this section. Exception: Embedded piping regulated by Section 1209.
1202.2,Section 1202 Material,Used Materials,,,,,,"Reused pipe, fittings, valves or other materials shall be clean and free from foreign materials and shall be approved by the code official for reuse."
1202.3,Section 1202 Material,Material Rating,,,,,,Materials shall be rated for the operating temperature and pressure of the hydronic system. Materials shall be suitable for the type of fluid in the hydronic system.
1202.4,Section 1202 Material,Piping Materials Standards,,,,,,"Hydronic pipe shall conform to the standards listed in Table 1202.4. The exterior of the pipe shall be protected from corrosion and degradation. TABLE 1202.4HYDRONIC PIPE MATERIAL STANDARD (see Chapter 15) Acrylonitrile butadiene styrene (ABS) plastic pipe ASTM D1527; ASTM F2806 Chlorinated polyvinyl chloride (CPVC) plastic pipe ASTM D2846; ASTM F441; ASTM F442 Chlorinated polyvinyl chloride/aluminum/chlorinated polyvinyl chloride (CPVC/AL/CPVC) ASTM F2855 Copper or copper-alloy pipe ASTM B42; ASTM B43; ASTM B302 Copper or copper-alloy tube (Type K, L or M) ASTM B75; ASTM B88; ASTM B135; ASTM B251 Cross-linked polyethylene/aluminum/cross-linked polyethylene (PEX-AL-PEX) pressure pipe ASTM F1281; CSA CAN/CSA-B-137.10 Cross-linked polyethylene (PEX) tubing ASTM F876; ASTM F3253; CSA B137.5 Ductile iron pipe AWWA C115/A21.15; AWWA C151/A21.51 Lead pipe FS WW-P-325B Polyethylene/aluminum/polyethylene (PE-AL-PE) pressure pipe ASTM F1282; CSA B137.9 Polypropylene (PP) plastic pipe ASTM F2389 Polyvinyl chloride (PVC) plastic pipe ASTM D1785; ASTM D2241 Raised temperature polyethylene (PE-RT) ASTM F2623; ASTM F2769; CSA B137.18 Steel pipe ASTM A53; ASTM A106 Steel tubing ASTM A254"
1202.5,Section 1202 Material,Pipe Fittings,,,,,,"Hydronic pipe fittings shall be approved for installation with the piping materials to be installed, and shall conform to the respective pipe standards or to the standards listed in Table 1202.5.TABLE 1202.5HYDRONIC PIPE FITTINGS MATERIAL STANDARD (see Chapter 15) Copper and copper alloys ASME B16.15; ASME B16.18; ASME B16.22; ASME B16.24; ASME B16.26; ASME B16.51; ASSE 1061; ASTM F1974 CPVC ASSE 1061; ASTM D2846;ASTM F438; ASTM F439 Ductile iron and gray iron ANSI/AWWA C110/A21.10; ASTM A395; ASTM A536; ASTM F1476; ASTM F1548; AWWA C153/A21.53 Ductile iron ANSI/AWWA C153/A21.53 Gray iron ASTM A126 Malleable iron ASME B16.3 PE-RT fittings ASSE 1061; ASTM D3261; ASTM F1807; ASTM F2098; ASTM F2159; ASTM F2735; ASTM F2769; CSA B137.1; CSA B137.18 PEX fittings ASSE 1061; ASTM F877; ASTM F1807; ASTM F1960; ASTM F2080; ASTM F2159; ASTM F3253 Plastic ASTM D2466; ASTM D2467; ASTM D2846;ASTM F877; ASTM F2389; ASTM F2735 Steel ASME B16.5; ASME B16.9; ASME B16.11; ASME B16.28; ASTM A53; ASTM A106; ASTM A234; ASTM A395; ASTM A420; ASTM A536; ASTM F1476; ASTM F1548"
1202.6,Section 1202 Material,Valves,,,,,,Valves shall be constructed of materials that are compatible with the type of piping material and fluids in the system. Valves shall be rated for the temperatures and pressures of the systems in which the valves are installed.
