id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
13,,Fuel Oil Piping and Storage,,,,,,"User note:About this chapter: Chapter 13 is devoted to fuel oil piping and fuel oil storage related to heating appliances, power generators and similar equipment/appliances. The requirements focus on preventing fuel leaks and equipment failures that could result in severe fire hazards."
1301.1,Section 1301 General,Scope,,,,,,"This chapter shall govern the design, installation, construction and repair of fuel oil storage and piping systems. The storage of fuel oil and flammable and combustible liquids shall be in accordance with Chapters 6 and 57 of the International Fire Code."
1301.2,Section 1301 General,Storage and Piping Systems,,,,,,Fuel oil storage systems shall comply with Section 603.3 of the International Fire Code. Fuel oil piping systems shall comply with the requirements of this code.
1301.3,Section 1301 General,Fuel Type,,,,,,An appliance shall be designed for use with the type of fuel to which it will be connected. Such appliance shall not be converted from the fuel specified on the rating plate for use with a different fuel without securing reapproval from the code official.
1301.4,Section 1301 General,"Fuel Tanks, Piping, Fittings and Valves",,,,,,"The tank, piping, fittings and valves for appliances burning oil shall be installed in accordance with the requirements of this chapter. Where an oil burner is served by a tank, any part of which is above the level of the burner inlet connection and where the fuel supply line is taken from the top of the tank, an approved antisiphon valve or other siphon-breaking device shall be installed in lieu of the shutoff valve."
1301.5,Section 1301 General,Tanks Abandoned or Removed,,,,,,All exterior above-grade fill piping shall be removed when tanks are abandoned or removed. Tank abandonment and removal shall be in accordance with Section 5704.2.13 of the International Fire Code.
1302.1,Section 1302 Material,General,,,,,,Piping materials shall conform to the standards cited in this section.
1302.2,Section 1302 Material,Rated for System,,,,,,"All materials shall be rated for the operating temperatures and pressures of the system, and shall be compatible with the type of liquid."
1302.3,Section 1302 Material,Pipe Standards,,,,,,"Fuel oil pipe shall comply with one of the standards listed in Table 1302.3.TABLE 1302.3FUEL OIL PIPING AND FITTINGSMATERIALSTANDARD (see Chapter 15)Copper or copper-alloy pipe and fittingsASTM B42; ASTM B43; ASTM B302; ASTM F3226Copper or copper-alloy tubing and fittings (Type K, L or M)ASME B16.51; ASTM B75; ASTM B88; ASTM B280; ASTM F3226Labeled pipe(See Section 1302.4)Nonmetallic pipeASTM D2996Steel and stainless steel pipe and fittingsASTM A53; ASTM A106; A312/A312M; ASTM F3226Steel and stainless steel tubing and fittingsASTM A254; A269/A269M; ASTM A539; ASTM F3226"
1302.4,Section 1302 Material,Nonmetallic Pipe,,,,,,"Nonmetallic pipe shall be listed and labeled as being acceptable for the intended application for flammable and combustible liquids. Nonmetallic pipe shall be installed only outdoors, underground."
1302.5,Section 1302 Material,Fittings and Valves,,,,,,"Fittings and valves shall be approved for the piping systems, and shall be compatible with, or shall be of the same material as, the pipe or tubing."
1302.6,Section 1302 Material,Bending of Pipe,,,,,,Pipe shall be approved for bending. Pipe bends shall be made with approved equipment. The bend shall not exceed the structural limitations of the pipe.
1302.7,Section 1302 Material,Pumps,,,,,,Pumps that are not part of an appliance shall be of a positive-displacement type. The pump shall automatically shut off the supply when not in operation. Pumps shall be listed and labeled in accordance with UL 343.
1302.8,Section 1302 Material,Flexible Connectors and Hoses,,,,,,Flexible connectors and hoses shall be listed and labeled as being acceptable for the intended application for flammable and combustible liquids.
1302.9,Section 1302 Material,Piping Systems,,,,,,Above-ground piping systems shall be listed and labeled in accordance with UL 1369. Underground piping systems shall be listed and labeled in accordance with UL 971A.
1303.1,Section 1303 Joints and Connections,Approval,,,,,,"Joints and connections shall be approved and of a type approved for fuel oil piping systems. Threaded joints and connections shall be made tight with suitable lubricant or pipe compound. Unions requiring gaskets or packings, right or left couplings, and sweat fittings employing solder having a melting point of less than 1,000°F (538°C) shall not be used in oil lines. Cast-iron fittings shall not be used. Joints and connections shall be tight for the pressure required by test."
1303.1.1,Section 1303 Joints and Connections,Joints Between Different Piping Materials,,,,,,Joints between different piping materials shall be made with approved adapter fittings. Joints between different metallic piping materials shall be made with approved dielectric fittings or copper-alloy converter fittings.
1303.2,Section 1303 Joints and Connections,Preparation of Pipe Ends,,,,,,"Pipe shall be cut square, reamed and chamfered and be free from all burrs and obstructions. Pipe ends shall have full-bore openings and shall not be undercut."
