id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
14,,Solar Thermal Systems,,,,,,"User note:About this chapter: Chapter 14 addresses solar thermal systems, not photovoltaic systems. The provisions are intended to protect property and life from the hazards associated with high-temperature liquids, pressurized systems and toxic fluids. There are also provisions to protect the building structure and the solar thermal system components from damage."
1401.1,Section 1401 General,Scope,,,,,,"This chapter shall govern the design, construction, installation, alteration and repair of solar thermal systems, equipment and appliances intended to utilize solar energy for space heating or cooling, domestic hot water heating, swimming pool heating or process heating."
1401.2,Section 1401 General,Potable Water Supply,,,,,,"Potable water supplies to solar systems shall be protected against contamination in accordance with the International Plumbing Code. Exception: Where all solar system piping is a part of the potable water distribution system, in accordance with the requirements of the International Plumbing Code, and all components of the piping system are listed for potable water use, cross-connection protection measures shall not be required."
1401.3,Section 1401 General,Heat Exchangers,,,,,,Heat exchangers used in domestic water-heating systems shall be approved for the intended use. The system shall have adequate protection to ensure that the potability of the water supply and distribution system is properly safeguarded.
1401.4,Section 1401 General,Solar Thermal Equipment and Appliances,,,,,,Solar thermal equipment and appliances shall conform to the requirements of this chapter and ICC 900/SRCC 300. Solar thermal systems shall be listed and labeled in accordance with ICC 900/SRCC 300 and shall be installed in accordance with the manufacturer's instructions and ICC 900/SRCC 300.
1401.4.1,Section 1401 General,Collectors and Panels,,,,,,Solar thermal collectors and panels shall be listed and labeled in accordance with ICC 901/SRCC 100.
1402.1,Section 1402 Design and Installation,General,,,,,,The design and installation of solar thermal systems shall comply with Sections 1402.1 through 1402.8. Solar thermal systems shall be listed and labeled in accordance with ICC 900/SRCC 300 and shall be installed in accordance with the manufacturer's instructions and ICC 900/SRCC 300.
1402.2,Section 1402 Design and Installation,Access,,,,,,"Access shall be provided to solar thermal equipment for maintenance. Solar thermal systems and appurtenances shall not obstruct or interfere with the operation of any doors, windows or other building components requiring operation or access. Roof-mounted solar thermal equipment shall not obstruct or interfere with the operation of roof-mounted equipment, appliances, chimneys, roof hatches, smoke vents, skylights and other roof penetrations and openings."
1402.3,Section 1402 Design and Installation,Pressure and Temperature,,,,,,Solar thermal system components containing pressurized fluids shall be protected against pressures and temperatures exceeding design limitations with pressure and temperature relief valves or pressure relief valves. System components shall have a working pressure rating of not less than the setting of the pressure relief device.
1402.3.1,Section 1402 Design and Installation,Relief Device,,,,,,"Each section of the system in which excessive pressures are capable of developing shall have a relief device located so that a section cannot be valved off or otherwise isolated from a relief device. Relief valves shall comply with the requirements of Section 1006.6. For indirect solar systems, pressure relief valves in solar loops shall also comply with ICC 900/SRCC 300."
1402.3.2,Section 1402 Design and Installation,Vacuum,,,,,,System components that might be subjected to a vacuum while in operation or during shutdown shall be designed to withstand such vacuum or shall be protected with vacuum relief valves.
1402.4,Section 1402 Design and Installation,Protection From Freezing,,,,,,System components shall be protected from damage by freezing of heat transfer liquids at the lowest ambient temperatures that will be encountered during the operation of the system. Freeze protection shall be provided in accordance with ICC 900/SRCC 300. Drain-back systems shall be installed in compliance with Section 1402.4.1 and systems utilizing freeze-protection valves shall comply with Section 1402.4.2.
1402.4.1,Section 1402 Design and Installation,Drain-Back Systems,,,,,,"Drain-back systems shall be designed and installed to allow for manual gravity draining of fluids from areas subject to freezing to locations not subject to freezing, and air filling of the components and piping. Such piping and components shall maintain a horizontal slope in the direction of flow of not less than 1/4 unit vertical in 12 units horizontal (2-percent slope). Piping and components subject to manual gravity draining shall permit subsequent air filling upon drainage and air storage or venting upon refilling."
1402.4.2,Section 1402 Design and Installation,Freeze-Protection Valves,,,,,,Freeze-protection valves shall discharge in a manner that does not create a hazard or structural damage.
1402.5,Section 1402 Design and Installation,Protection of Potable Water,,,,,,"Where a solar thermal system heats potable water to supply a potable hot water distribution or any other type of heating system, the solar thermal system shall be in accordance with Sections 1402.5.1 through 1402.5.3 as applicable."
1402.5.1,Section 1402 Design and Installation,Indirect Systems,,,,,,Water supplies of any type shall not be connected to the solar heating loop of an indirect solar thermal hot water heating system. This requirement shall not prohibit the presence of inlets or outlets on the solar heating loop for the purposes of servicing the fluid in the solar heating loop.
1402.5.2,Section 1402 Design and Installation,Direct Systems for Potable Water Distribution Systems,,,,,,"Where a solar thermal system directly heats potable water for a potable water distribution system, the pipe, fittings, valves and other components that are in contact with the potable water in the system shall comply with the requirements of the International Plumbing Code."
1402.5.3,Section 1402 Design and Installation,Direct Systems for Other Than Potable Water Distribution Systems,,,,,,"Where a solar thermal system directly heats water for a system other than a potable water distribution system, a potable water supply connected to such system shall be protected against backflow in accordance with the International Plumbing Code."
1402.6,Section 1402 Design and Installation,Protection of Equipment,,,,,,Solar thermal equipment exposed to vehicular traffic shall be installed not less than 6 feet (1829 mm) above the finished floor.Exception: This section shall not apply where the equipment is protected from motor vehicle impact.
1402.7,Section 1402 Design and Installation,Protection of Structure,,,,,,"In the process of installing or repairing any part of a solar thermal system, the building or structure shall be left in a safe structural condition in accordance with Sections 302, 1402.7.1 and 1402.7.2."
1402.7.1,Section 1402 Design and Installation,Controlling Condensation,,,,,,"Where attics or structural spaces are part of a passive solar system, ventilation of such spaces, as required by Section 406, is not required where other approved means of controlling condensation are provided."
1402.7.2,Section 1402 Design and Installation,Penetrations,,,,,,"Roof and wall penetrations shall be flashed and sealed to prevent entry of water, rodents and insects in accordance with Section 302."
1402.8,Section 1402 Design and Installation,Equipment,,,,,,The solar thermal system shall be equipped in accordance with the requirements of Sections 1402.8.1 through 1402.8.5.3.
1402.8.1,Section 1402 Design and Installation,Collectors and Panels,,,,,,Solar collectors and panels shall comply with Sections 1402.8.1.1 through 1402.8.1.4.
1402.8.1.1,Section 1402 Design and Installation,Design,,,,,,Solar thermal collectors and panels shall be listed and labeled in accordance with ICC 901/SRCC 100.
1402.8.1.2,Section 1402 Design and Installation,Rooftop-Mounted Solar Thermal Collectors and Systems,,,,,,"The roof shall be constructed to support the loads imposed by roof-mounted solar collectors. Where mounted on or above the roof covering, the collector array, mounting systems and their attachments to the roof shall be constructed of noncombustible materials or fire-retardant-treated wood conforming to the International Building Code to the extent required for the type of roof construction of the building to which the collectors are accessory."
1402.8.1.3,Section 1402 Design and Installation,Collectors as Roof Covering,,,,,,Roof-mounted solar collectors that also serve as a roof covering shall conform to the requirements for roof coverings in accordance with the International Building Code. Exception: The use of plastic solar collector covers shall be limited to those approved light-transmitting plastics meeting the requirements for plastic roof panels in Section 2609 of the International Building Code.
1402.8.1.4,Section 1402 Design and Installation,Collector Sensors,,,,,,"Collector sensor installation, sensor location and the protection of exposed sensor wires from degradation shall be in accordance with ICC 900/SRCC 300, NFPA 70 and the collector manufacturer's instructions."
1402.8.2,Section 1402 Design and Installation,Ducts,,,,,,Ducts utilized in solar heating and cooling systems shall be constructed and installed in accordance with Chapter 6.
1402.8.2.1,Section 1402 Design and Installation,Filtering,,,,,,Air transported to occupied spaces through dust-producing materials by means other than natural convection shall be filtered before entering the occupied space in accordance with Section 605.
1402.8.3,Section 1402 Design and Installation,Piping,,,,,,Potable piping shall be installed in accordance with the International Plumbing Code. Hydronic piping shall be installed in accordance with Chapter 12 of this code. Mechanical system piping shall be supported in accordance with Section 305.
1402.8.3.1,Section 1402 Design and Installation,Piping Insulation,,,,,,"Piping shall be insulated in accordance with the requirements of the International Energy Conservation Code. Exterior insulation shall be protected from degradation. The entire solar loop shall be insulated. Where split-style insulation is used, the seam shall be sealed. Fittings shall be fully insulated. Insulation shall comply with Section 1204.1. Exceptions: Those portions of the piping that are used to help prevent the system from overheating shall not be required to be insulated.Those portions of piping that are exposed to solar radiation, made of the same material as the solar collector absorber plate and covered in the same manner as the solar collector absorber, or that are used to collect additional solar energy, shall not be required to be insulated.Piping in solar thermal systems using unglazed solar collectors to heat a swimming pool shall not be required to be insulated."
1402.8.4,Section 1402 Design and Installation,Heat Exchangers,,,,,,Heat exchangers used in domestic water-heating systems shall be approved for the intended use. The system shall have adequate protection to ensure that the potability of the water supply and distribution system is properly safeguarded.
1402.8.4.1,Section 1402 Design and Installation,Double-Wall Heat Exchangers,,,,,,Heat exchangers utilizing a nonfood-grade fluid shall be separated from the potable water by double-wall construction. An air gap open to the atmosphere shall be provided between the two walls. The discharge location from the double-wall heat exchanger shall be visible.
1402.8.4.2,Section 1402 Design and Installation,Single-Wall Heat Exchangers,,,,,,Food-grade fluids shall be used as the heat transfer fluid in single-wall heat exchangers.
1402.8.5,Section 1402 Design and Installation,Water Heaters and Hot Water Storage Tanks,,,,,,"Auxiliary water heaters, boilers and water storage tanks associated with solar thermal systems shall comply with Chapter 10 and ICC 900/SRCC 300."
1402.8.5.1,Section 1402 Design and Installation,Hot Water Storage Tank Insulation,,,,,,Hot water storage tanks shall be insulated and such insulation shall have an R-value of not less than R-12.5.
1402.8.5.2,Section 1402 Design and Installation,Outdoor Locations,,,,,,Storage tanks and heating equipment installed in outdoor locations shall be designed for outdoor installation.
1402.8.5.3,Section 1402 Design and Installation,Storage Tank Sensors,,,,,,Storage tank sensors shall comply with ICC 900/SRCC 300.
1402.8.6,Section 1402 Design and Installation,Solar Loop,,,,,,Solar loops shall be in accordance with Sections 1402.8.6.1 and 1402.8.6.2.
1402.8.6.1,Section 1402 Design and Installation,Solar Loop Isolation,,,,,,Valves shall be installed to allow the solar loop to be isolated from the remainder of the system.
