id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
3,,General Regulations,,,,,,"User note:About this chapter: Chapter 3 contains broadly applicable requirements that are necessarily placed in an overarching ""general"" chapter. These general requirements would not be suitably located in any other chapter that is specific to unique subject matter. General requirements include those related to installation, access, location, testing, structural and clearances."
301.1,Section 301 General,Scope,,,,,,This chapter shall govern the approval and installation of all equipment and appliances that comprise parts of the building mechanical systems regulated by this code in accordance with Section 101.2.
301.2,Section 301 General,Energy Utilization,,,,,,"Heating, ventilating and air-conditioning systems of all structures shall be designed and installed for efficient utilization of energy in accordance with the International Energy Conservation Code."
301.3,Section 301 General,Identification,,,,,,Each length of pipe and tubing and each pipe fitting utilized in a mechanical system shall bear the identification of the manufacturer.
301.4,Section 301 General,"Plastic Pipe, Fittings and Components",,,,,,"Plastic pipe, fittings and components shall be third-party certified as conforming to NSF 14."
301.5,Section 301 General,Third-Party Testing and Certification,,,,,,"Piping, tubing and fittings shall comply with the applicable referenced standards, specifications and performance criteria of this code and shall be identified in accordance with Section 301.3. Piping, tubing and fittings shall either be tested by an approved third-party testing agency or certified by an approved third-party certification agency."
301.6,Section 301 General,Fuel Gas Appliances and Equipment,,,,,,"The approval and installation of fuel gas distribution piping and equipment, fuel gas-fired appliances and fuel gas-fired appliance venting systems shall be in accordance with the International Fuel Gas Code."
301.7,Section 301 General,Listed and Labeled,,,,,,"Appliances regulated by this code shall be listed and labeled for the application in which they are installed and used, unless otherwise approved in accordance with Section 105. Exception: Listing and labeling of equipment and appliances used for refrigeration shall be in accordance with Section 1101.2."
301.8,Section 301 General,Labeling,,,,,,Labeling shall be in accordance with the procedures set forth in Sections 301.8.1 through 301.8.2.3.
301.8.1,Section 301 General,Testing,,,,,,An approved agency shall test a representative sample of the mechanical equipment and appliances being labeled to the relevant standard or standards. The approved agency shall maintain a record of all of the tests performed. The record shall provide sufficient detail to verify compliance with the test standard.
301.8.2,Section 301 General,Inspection and Identification,,,,,,"The approved agency shall periodically perform an inspection, which shall be in-plant if necessary, of the mechanical equipment and appliances to be labeled. The inspection shall verify that the labeled mechanical equipment and appliances are representative of the mechanical equipment and appliances tested."
301.8.2.1,Section 301 General,Independent,,,,,,"The agency to be approved shall be objective and competent. To confirm its objectivity, the agency shall disclose all possible conflicts of interest."
301.8.2.2,Section 301 General,Equipment,,,,,,An approved agency shall have adequate equipment to perform all required tests. The equipment shall be periodically calibrated.
301.8.2.3,Section 301 General,Personnel,,,,,,"An approved agency shall employ experienced personnel educated in conducting, supervising and evaluating tests."
301.9,Section 301 General,Label Information,,,,,,"A permanent factory-applied nameplate(s) shall be affixed to appliances on which shall appear in legible lettering, the manufacturer's name or trademark, the model number, serial number and the seal or mark of the approved agency. A label shall include the following: Electrical equipment and appliances: Electrical rating in volts, amperes and motor phase; identification of individual electrical components in volts, amperes or watts, motor phase; Btu/h (W) output; and required clearances.Absorption units: Hourly rating in Btu/h (W); minimum hourly rating for units having step or automatic modulating controls; type of fuel; type of refrigerant; cooling capacity in Btu/h (W); and required clearances.Fuel-burning units: Hourly rating in Btu/h (W); type of fuel approved for use with the appliance; and required clearances.Electric comfort heating appliances: electric rating in volts, amperes and phase; Btu/h (W) output rating; individual marking for each electrical component in amperes or watts, volts and phase; and required clearances from combustibles."
301.10,Section 301 General,Electrical,,,,,,"Electrical wiring, controls and connections to equipment and appliances regulated by this code shall be in accordance with NFPA 70."
301.11,Section 301 General,Plumbing Connections,,,,,,Potable water supply and building drainage system connections to equipment and appliances regulated by this code shall be in accordance with the International Plumbing Code.
301.12,Section 301 General,Fuel Types,,,,,,"Fuel-fired appliances shall be designed for use with the type of fuel to which they will be connected and the altitude at which they are installed. Appliances that comprise parts of the building mechanical system shall not be converted for the usage of a different fuel, except where approved and converted in accordance with the manufacturer's instructions. The fuel input rate shall not be increased or decreased beyond the limit rating for the altitude at which the appliance is installed."
301.13,Section 301 General,Vibration Isolation,,,,,,"Where vibration isolation of equipment and appliances is employed, an approved means of supplemental restraint shall be used to accomplish the support and restraint."
301.14,Section 301 General,Repair,,,,,,Defective material or parts shall be replaced or repaired in such a manner so as to preserve the original approval or listing.
301.15,Section 301 General,Wind Resistance,,,,,,"Mechanical equipment, appliances and supports that are exposed to wind shall be designed and installed to resist the wind pressures determined in accordance with the International Building Code."
301.16,Section 301 General,Flood Hazard,,,,,,"For structures located in flood hazard areas, mechanical systems, equipment and appliances shall be located at or above the elevation required by Section 1612 of the International Building Code for utilities and attendant equipment. Exception: Mechanical systems, equipment and appliances are permitted to be located below the elevation required by Section 1612 of the of the International Building Code for utilities and attendant equipment provided that they are designed and installed to prevent water from entering or accumulating within the components and to resist hydrostatic and hydrodynamic loads and stresses, including the effects of buoyancy, during the occurrence of flooding up to such elevation."
301.16.1,Section 301 General,Coastal High-Hazard Areas and Coastal A Zones,,,,,,"In coastal high-hazard areas and coastal A zones, mechanical systems and equipment shall not be mounted on or penetrate walls intended to break away under flood loads."
301.17,Section 301 General,Rodentproofing,,,,,,"Buildings or structures and the walls enclosing habitable or occupiable rooms and spaces in which persons live, sleep or work, or in which feed, food or foodstuffs are stored, prepared, processed, served or sold, shall be constructed to protect against the entrance of rodents in accordance with the International Building Code."
301.18,Section 301 General,Seismic Resistance,,,,,,"Where earthquake loads are applicable in accordance with the International Building Code, mechanical system supports, anchorage and bracing shall be designed and installed for seismic forces in accordance with Chapter 16 of the International Building Code."
302.1,Section 302 Protection of Structure,Structural Safety,,,,,,"The building or structure shall not be weakened by the installation of mechanical systems. Where floors, walls, ceilings or any other portion of the building or structure are required to be altered or replaced in the process of installing or repairing any system, the building or structure shall be left in a safe structural condition in accordance with the International Building Code."
302.2,Section 302 Protection of Structure,Penetrations of Floor/Ceiling Assemblies and Fire-Resistance-Rated Assemblies,,,,,,Penetrations of floor/ceiling assemblies and assemblies required to have a fire-resistance rating shall be protected in accordance with Chapter 7 of the International Building Code.
302.3,Section 302 Protection of Structure,"Cutting, Notching and Boring in Wood Framing",,,,,,"The cutting, notching and boring of wood framing members shall comply with Sections 302.3.1 through 302.3.4."
302.3.1,Section 302 Protection of Structure,Joist Notching,,,,,,"Notches on the ends of joists shall not exceed one-fourth the joist depth. Holes bored in joists shall not be within 2 inches (51 mm) of the top or bottom of the joist, and the diameter of any such hole shall not exceed one-third the depth of the joist. Notches in the top or bottom of joists shall not exceed one-sixth the depth and shall not be located in the middle third of the span."
302.3.2,Section 302 Protection of Structure,Stud Cutting and Notching,,,,,,"In exterior walls and bearing partitions, a wood stud shall not be cut or notched in excess of 25 percent of its depth. In nonbearing partitions that do not support loads other than the weight of the partition, a stud shall not be cut or notched in excess of 40 percent of its depth."
302.3.3,Section 302 Protection of Structure,Bored Holes,,,,,,"The diameter of bored holes in wood studs shall not exceed 40 percent of the stud depth. The diameter of bored holes in wood studs shall not exceed 60 percent of the stud depth in nonbearing partitions. The diameter of bored holes in wood studs shall not exceed 60 percent of the stud depth in any wall where each stud is doubled, provided that not more than two such successive doubled studs are so bored. The edge of the bored hole shall be not closer than 5/8 inch (15.9 mm) to the edge of the stud. Bored holes shall be not located at the same section of stud as a cut or notch."
302.3.4,Section 302 Protection of Structure,Engineered Wood Products,,,,,,"Cuts, notches and holes bored in trusses, structural composite lumber, structural glue-laminated members and I-joists are prohibited except where permitted by the manufacturer's recommendations or where the effects of such alterations are specifically considered in the design of the member by a registered design professional."
