id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
5,,Exhaust Systems,,,,,,"User note:About this chapter: Chapter 5 addresses exhaust systems for, among others, kitchens, laboratories, processes, garages, hazardous systems, clothes dryers and smoke control systems. Many provisions are linked to the International Fire Code®. Exhaust systems mitigate health and fire hazards by removing and diluting contaminants in buildings. Exhaust system discharge location is also addressed as an important concern."
501.1,Section 501 General,Scope,,,,,,"This chapter shall govern the design, construction and installation of mechanical exhaust systems, including exhaust systems serving clothes dryers and cooking appliances; hazardous exhaust systems; dust, stock and refuse conveyor systems; subslab soil exhaust systems; smoke control systems; energy recovery ventilation systems and other systems specified in Section 502."
501.2,Section 501 General,Independent System Required,,,,,,"Single or combined mechanical exhaust systems for environmental air shall be independent of all other exhaust systems. Dryer, domestic kitchen and hazardous exhaust shall be independent of all other systems. Type I exhaust systems shall be independent of all other exhaust systems except as provided in Section 506.3.5. Single or combined Type II exhaust systems for food-processing operations shall be independent of all other exhaust systems. Commercial kitchen exhaust systems shall be constructed in accordance with Sections 506 through 509."
501.3,Section 501 General,Exhaust Discharge,,,,,,"The air removed by every mechanical exhaust system shall be discharged outdoors at a point where it will not cause a public nuisance and not less than the distances specified in Section 501.3.1. The air shall be discharged to a location from which it cannot again be readily drawn in by a ventilating system. Air shall not be exhausted into an attic or crawl space, or be directed onto walkways. Exceptions:Whole-house ventilation-type attic fans shall be permitted to discharge into the attic space of dwelling units having private attics.Commercial cooking recirculating systems.Where installed in accordance with the manufacturer's instructions and where mechanical or natural ventilation is otherwise provided in accordance with Chapter 4, listed and labeled domestic ductless range hoods shall not be required to discharge to the outdoors."
501.3.1,Section 501 General,Location of Exhaust Outlets,,,,,,"The termination point of exhaust outlets and ducts discharging to the outdoors shall be located with the following minimum distances: For ducts conveying explosive or flammable vapors, fumes or dusts: 30 feet (9144 mm) from property lines; 10 feet (3048 mm) from operable openings into buildings; 6 feet (1829 mm) from exterior walls and roofs; 30 feet (9144 mm) from combustible walls and operable openings into buildings that are in the direction of the exhaust discharge; 10 feet (3048 mm) above adjoining grade.For other product-conveying outlets: 10 feet (3048 mm) from the property lines; 3 feet (914 mm) from exterior walls and roofs; 10 feet (3048 mm) from operable openings into buildings; 10 feet (3048 mm) above adjoining grade.For all environmental air exhaust: 3 feet (914 mm) from property lines; 3 feet (914 mm) from operable openings into buildings for all occupancies other than Group U; and 10 feet (3048 mm) from mechanical air intakes. Such exhaust shall not be considered hazardous or noxious. Separation is not required between intake air openings and living space exhaust air openings of an individual dwelling unit or sleeping unit where an approved factory-built intake/exhaust combination termination fitting is used to separate the air streams in accordance with the manufacturer's instructions.Exhaust outlets serving structures in flood hazard areas shall be installed at or above the elevation required by Section 1612 of the International Building Code for utilities and attendant equipment.For specific systems, see the following sections:5.1. Clothes dryer exhaust, Section 504.4.5.2. Kitchen hoods and other kitchen exhaust equipment, Sections 506.3.13, 506.4 and 506.5.5.3. Dust, stock and refuse conveying systems, Section 511.2.5.4. Subslab soil exhaust systems, Section 512.4.5.5. Smoke control systems, Section 513.10.3.5.6. Refrigerant discharge, Section 1105.7.5.7. Machinery room discharge, Section 1105.6.1."
501.3.2,Section 501 General,Exhaust Opening Protection,,,,,,"Exhaust openings that terminate outdoors shall be protected with corrosion-resistant screens, louvers or grilles. Openings in screens, louvers and grilles shall be sized not less than 1/4 inch (6.4 mm) and not larger than 1/2 inch (12.7 mm). Openings shall be protected against local weather conditions. Louvers that protect exhaust openings in structures located in hurricane-prone regions, as defined in the International Building Code, shall comply with AMCA Standard 550. Outdoor openings located in exterior walls shall meet the provisions for exterior wall opening protectives in accordance with the International Building Code."
501.4,Section 501 General,Pressure Equalization,,,,,,"Mechanical exhaust systems shall be sized to remove the quantity of air required by this chapter to be exhausted. The system shall operate when air is required to be exhausted. Where mechanical exhaust is required in a room or space in other than occupancies in Group R-3 and dwelling units in Group R-2, such space shall be maintained with a neutral or negative pressure. If a greater quantity of air is supplied by a mechanical ventilating supply system than is removed by a mechanical exhaust for a room, adequate means shall be provided for the natural or mechanical exhaust of the excess air supplied. If only a mechanical exhaust system is installed for a room or if a greater quantity of air is removed by a mechanical exhaust system than is supplied by a mechanical ventilating supply system for a room, adequate makeup air shall be provided to satisfy the deficiency."
501.5,Section 501 General,Ducts,,,,,,"Where exhaust duct construction is not specified in this chapter, such construction shall comply with Chapter 6."
502.1,Section 502 Required Systems,General,,,,,,"An exhaust system shall be provided, maintained and operated as specifically required by this section and for all occupied areas where machines, vats, tanks, furnaces, forges, salamanders and other appliances, equipment and processes in such areas produce or throw off dust or particles sufficiently light to float in the air, or emit heat, odors, fumes, spray, gas or smoke in such quantities so as to be irritating or injurious to health or safety."
502.1.1,Section 502 Required Systems,Exhaust Location,,,,,,The inlet to an exhaust system shall be located in the area of heaviest concentration of contaminants.
502.1.2,Section 502 Required Systems,Fuel-Dispensing Areas,,,,,,The bottom of an air inlet or exhaust opening in fuel-dispensing areas shall be located not more than 18 inches (457 mm) above the floor.
502.1.3,Section 502 Required Systems,"Equipment, Appliance and Service Rooms",,,,,,"Equipment, appliance and system service rooms that house sources of odors, fumes, noxious gases, smoke, steam, dust, spray or other contaminants shall be designed and constructed so as to prevent spreading of such contaminants to other occupied parts of the building."
502.1.4,Section 502 Required Systems,Hazardous Exhaust,,,,,,The mechanical exhaust of high concentrations of dust or hazardous vapors shall conform to the requirements of Section 510.
502.2,Section 502 Required Systems,Aircraft Fueling and Defueling,,,,,,"Compartments housing piping, pumps, air eliminators, water separators, hose reels and similar equipment used in aircraft fueling and defueling operations shall be adequately ventilated at floor level or within the floor itself."
502.3,Section 502 Required Systems,Battery-Charging Areas for Powered Industrial Trucks and Equipment,,,,,,Ventilation shall be provided in an approved manner in battery-charging areas for powered industrial trucks and equipment to prevent a dangerous accumulation of flammable gases.
502.4,Section 502 Required Systems,Stationary Storage Battery Systems,,,,,,Stationary storage battery systems shall be regulated and ventilated in accordance with Section 1207.6.1 of the International Fire Code and the general requirements of this chapter.
