id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
1,,Scope and Administration,,,,,,"User note:About this chapter: Chapter 1 establishes the limits of applicability of this code and describes how the code is to be applied and enforced. Chapter 1 is in two parts: Part 1—Scope and Application (Sections 101 and 102) and Part 2—Administration and Enforcement (Sections 103—115). Section 101 identifies which buildings and structures come under its purview and references other I-Codes as applicable. Standards and codes are scoped to the extent referenced (see Section 102.8).This code is intended to be adopted as a legally enforceable document and it cannot be effective without adequate provisions for its administration and enforcement. The provisions of Chapter 1 establish the authority and duties of the code official appointed by the authority having jurisdiction and also establish the rights and privileges of the design professional, contractor and property owner."
101.2,Section 101 Scope and General Requirements,Scope,,,,,,"The provisions of this code shall apply to the erection, installation, alteration, repairs, relocation, replacement, addition to, use or maintenance of plumbing systems within this jurisdiction. This code shall regulate nonflammable medical gas, inhalation anesthetic, vacuum piping, nonmedical oxygen systems and sanitary and condensate vacuum collection systems. The installation of fuel gas distribution piping and equipment, fuel-gas-fired water heaters and water heater venting systems shall be regulated by the International Fuel Gas Code. Provisions in the appendices shall not apply unless specifically adopted. Exception: Detached one- and two-family dwellings and townhouses not more than three stories above grade plane in height with a separate means of egress, and their accessory structures not more than three stories above grade plane in height, shall comply with this code or the International Residential Code."
101.3,Section 101 Scope and General Requirements,Purpose,,,,,,"The purpose of this code is to establish minimum requirements to provide a reasonable level of safety, health, property protection and general welfare by regulating and controlling the design, construction, installation, quality of materials, location, operation and maintenance or use of plumbing equipment and systems."
101.4,Section 101 Scope and General Requirements,Severability,,,,,,"If any section, subsection, sentence, clause or phrase of this code is for any reason held to be unconstitutional, such decision shall not affect the validity of the remaining portions of this code."
102.1,Section 102 Applicability,General,,,,,,"Where there is a conflict between a general requirement and a specific requirement, the specific requirement shall govern. Where, in any specific case, different sections of this code specify different materials, methods of construction or other requirements, the most restrictive shall govern."
102.2,Section 102 Applicability,Existing Installations,,,,,,"Plumbing systems lawfully in existence at the time of the adoption of this code shall be permitted to have their use and maintenance continued if the use, maintenance or repair is in accordance with the original design and hazard to life, health or property is not created by such plumbing system."
102.2.1,Section 102 Applicability,Existing Buildings,,,,,,"Additions, alterations, renovations or repairs related to building or structural issues shall be regulated by the International Existing Building Code."
102.3,Section 102 Applicability,Maintenance,,,,,,"Plumbing systems, materials and appurtenances, both existing and new, and parts thereof, shall be maintained in proper operating condition in accordance with the original design in a safe and sanitary condition. Devices or safeguards required by this code shall be maintained in compliance with the edition of the code under which they were installed.The owner or the owner's authorized agent shall be responsible for maintenance of plumbing systems. To determine compliance with this provision, the code official shall have the authority to require any plumbing system to be reinspected."
102.4,Section 102 Applicability,"Additions, Alterations or Repairs",,,,,,"Additions, alterations, renovations or repairs to any plumbing system shall conform to that required for a new plumbing system without requiring the existing plumbing system to comply with all of the requirements of this code. Additions, alterations or repairs shall not cause an existing system to become unsafe, unsanitary or overloaded. Minor additions, alterations, renovations and repairs to existing plumbing systems shall meet the provisions for new construction, unless such work is done in the same manner and arrangement as was in the existing system, is not hazardous and is approved."
102.5,Section 102 Applicability,Change in Occupancy,,,,,,"It shall be unlawful to make any change in the occupancy of any structure that will subject the structure to any special provision of this code applicable to the new occupancy without approval of the code official. The code official shall certify that such structure meets the intent of the provisions of law governing building construction for the proposed new occupancy and that such change of occupancy does not result in any hazard to the public health, safety or welfare."
102.6,Section 102 Applicability,Historic Buildings,,,,,,"The provisions of this code relating to the construction, alteration, repair, enlargement, restoration, relocation or moving of buildings or structures shall not be mandatory for existing buildings or structures identified and classified by the state or local jurisdiction as historic buildings where such buildings or structures are judged by the code official to be safe and in the public interest of health, safety and welfare regarding any proposed construction, alteration, repair, enlargement, restoration, relocation or moving of buildings."
102.7,Section 102 Applicability,Moved Buildings,,,,,,"Except as determined by Section 102.2, plumbing systems that are a part of buildings or structures moved into or within the jurisdiction shall comply with the provisions of this code for new installations."
102.8,Section 102 Applicability,Referenced Codes and Standards,,,,,,The codes and standards referenced in this code shall be those that are listed in Chapter 15 and such codes and standards adopted or recognized by the Plumbing Board shall be considered as part of the requirements of this code to the prescribed extent of each such reference.
102.8.1,Section 102 Applicability,Conflicts,,,,,,"Where conflicts occur between provisions of this code and the referenced standards, the provisions of this code shall apply."
102.8.2,Section 102 Applicability,Provisions in Referenced Codes and Standards,,,,,,"Where the extent of the reference to a referenced code or standard includes subject matter that is within the scope of this code, the provisions of this code, as applicable, shall take precedence over the provisions in the referenced code or standard."
102.9,Section 102 Applicability,Requirements Not Covered by Code,,,,,,"Any requirements necessary for the strength, stability or proper operation of an existing or proposed plumbing system, or for the public safety, health and general welfare, not specifically covered by this code shall be determined by the code official."
102.10,Section 102 Applicability,Other Laws,,,,,,"The provisions of this code shall not be deemed to nullify any provisions of local, state or federal law."
102.11,Section 102 Applicability,Application of References,,,,,,"Reference to chapter section numbers, or to provisions not specifically identified by number, shall be construed to refer to such chapter, section or provision of this code."
105.1,Section 105 Approval,Modifications,,,,,,"Where there are practical difficulties involved in carrying out the provisions of this code, the code official shall have the authority to grant modifications for individual cases, upon application of the owner or owner's authorized agent, provided that the code official shall first find that special individual reason makes the strict letter of this code impractical and the modification conforms to the intent and purpose of this code and that such modification does not lessen health, life and fire safety requirements. The details of action granting modifications shall be recorded and entered in the files of the plumbing inspection department.Exception: Where emergency plumbing is performed, the required permit maybe obtained the following business day after the work has been started (i.e.,broken water lines, broken drain lines, water heater replacements)."
105.2,Section 105 Approval,"Alternative Materials, Design and Methods of Construction and Equipment",,,,,,"The provisions of this code are not intended to prevent the installation of any material or to prohibit any design or method of construction not specifically prescribed by this code, provided that any such alternative has been approved. An alternative material or method of construction shall be approved where the code official finds that the proposed design is satisfactory and complies with the intent of the provisions of this code, and that the material, method or work offered is, for the purpose intended, not less than the equivalent of that prescribed in this code in quality, strength, effectiveness, fire resistance, durability and safety. Where the alternative material, design or method of construction is not approved, the code official shall respond in writing, stating the reasons why the alternative was not approved."
105.2.1,Section 105 Approval,Research Reports,,,,,,"Supporting data, where necessary to assist in the approval of materials or assemblies not specifically provided for in this code, shall consist of valid research reports from approved sources."
105.3,Section 105 Approval,Required Testing,,,,,,"Where there is insufficient evidence of compliance with the provisions of this code, or evidence that a material or method does not conform to the requirements of this code, or in order to substantiate claims for alternative materials or methods, the code official shall have the authority to require tests as evidence of compliance to be made at no expense to the jurisdiction."
105.3.1,Section 105 Approval,Test Methods,,,,,,"Test methods shall be as specified in this code or by other recognized test standards. In the absence of recognized and accepted test methods, the code official shall approve the testing procedures."
105.3.2,Section 105 Approval,Testing Agency,,,,,,Tests shall be performed by an approved agency.
105.3.3,Section 105 Approval,Test Reports,,,,,,Reports of tests shall be retained by the code official for the period required for retention of public records.
105.4,Section 105 Approval,Approved Materials and Equipment,,,,,,"Materials, equipment and devices approved by the code official shall be constructed and installed in accordance with such approval."
105.4.1,Section 105 Approval,Material and Equipment Reuse,,,,,,"Materials, equipment and devices shall not be reused unless such elements have been reconditioned, tested, placed in good and proper working condition and approved."
106.1,Section 106 Permits,Where Required,,,,,,"Any owner, owner's authorized agent or contractor who desires to construct, enlarge, alter, repair, move, demolish or change the occupancy of a building or structure, or to erect, install, enlarge, alter, repair, remove, convert or replace any plumbing system, the installation of which is regulated by this code, or to cause any such work to be performed, shall first make application to the code official and obtain the required permit for the work."
106.1.1,Section 106 Permits,Annual Permit,,,,,,"Instead of an individual construction permit for each alteration to an already approved system or equipment or appliance installation, the code official is authorized to issue an annual permit upon application therefor to any person, firm or corporation regularly employing one or more qualified tradespersons in the building, structure or on the premises owned or operated by the applicant for the permit."
106.1.2,Section 106 Permits,Annual Permit Records,,,,,,The person to whom an annual permit is issued shall keep a detailed record of alterations made under such annual permit. The code official shall have access to such records at all times or such records shall be filed with the code official as designated.
106.3,Section 106 Permits,Application for Permit,,,,,,"Each application for a permit, with the required fee, shall be filed with the code official on a form furnished for that purpose and shall contain a general description of the proposed work and its location. The application shall be signed by the owner or owner's authorized agent. The permit application shall indicate the proposed occupancy of all parts of the building and of that portion of the site or lot, if any, not covered by the building or structure and shall contain such other information required by the code official."
106.3.1,Section 106 Permits,Preliminary Inspection,,,,,,"Before a permit is issued, the code official shall be authorized to inspect and evaluate the systems, equipment, buildings, devices, premises and spaces or areas to be used."
106.3.2,Section 106 Permits,Time Limitation of Application,,,,,,"An application for a permit for any proposed work shall be deemed to have been abandoned 180 days after the date of filing, unless such application has been pursued in good faith or a permit has been issued; except that the code official shall have the authority to grant one or more extensions of time for additional periods not exceeding 180 days each. The extension shall be requested in writing and justifiable cause demonstrated."
106.4,Section 106 Permits,By Whom Application Is Made,,,,,,"Application for a permit shall be made by the person or agent to install all or part of any plumbing system. The applicant shall meet all qualifications established by statute, or by rules promulgated by this code, or by ordinance or by resolution. The full name and address of the applicant shall be stated in the application."
106.5,Section 106 Permits,Permit Issuance,,,,,,"The application, construction documents and other data filed by an applicant for permit shall be reviewed by the code official. If the code official finds that the proposed work conforms to the requirements of this code and all laws and ordinances applicable thereto, and that the fees specified in Section 109.1 have been paid, a permit shall be issued to the applicant.Exception:Where emergency plumbing is performed, the required permit maybe obtained the following business day after the work has been started (i.e.,broken water lines, broken drain lines, water heater replacements)."
106.5.5,Section 106 Permits,Suspension or Revocation of Permit,,,,,,"The code official shall have the authority to suspend or revoke a permit issued under the provisions of this code wherever the permit is issued in error or on the basis of incorrect, inaccurate or incomplete information, or in violation of any ordinance or regulation or any of the provisions of this code."
new_107.1,"Section 107 Temporary Equipment, Systems and Uses",General,,,,,,"The code official is authorized to issue apermit for temporary equipment, systems and uses. Suchpermits shall be limited as to time of service, but shall not bepermitted for more than 180 days. The code official is authorized to grant extensions for demonstrated cause."
new_107.2,"Section 107 Temporary Equipment, Systems and Uses",Conformance,,,,,,"Temporary equipment, systemsand uses shall conform to the structural strength, fire safety,means of egress, accessibility, light, ventilation and sanitaryrequirements of this code as necessary to ensure the publichealth, safety and general welfare."
new_107.3,"Section 107 Temporary Equipment, Systems and Uses",Temporary Utilities,,,,,,"The code official is authorizedto give permission to temporarily supply utilitiesbefore an installation has been fully completed and the finalcertificate of completion has been issued. The part coveredby the temporary certificate shall comply with the requirementsspecified for temporary lighting, heat or power in thecode."
new_107.4,"Section 107 Temporary Equipment, Systems and Uses",Termination of Approval,,,,,,"The code official isauthorized to terminate such permit for temporary equipment,systems or uses and to order the temporary equipment,systems or uses to be discontinued."
new_108.1,Section 108 Inspections and Testing,General,,,,,,"The code official is authorized to conduct such inspections as are deemed necessary to determine compliance with the provisions of this code. Construction or work for which a permit is required shall be subject to inspection by the code official, and such construction or work shall remain visible and able to be accessed for inspection purposes until approved. Approval as a result of an inspection shall not be construed to be an approval of a violation of the provisions of this code or of other ordinances of the jurisdiction. Inspections presuming to give authority to violate or cancel the provisions of this code or of other ordinances of the jurisdiction shall not be valid. It shall be the duty of the permit applicant to cause the work to remain visible and able to be accessed for inspection purposes. Neither the code official nor the jurisdiction shall be liable for expenses entailed in the removal or replacement of any material required to allow inspection."
