id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
11,,Storm Drainage,,,,,,User note:About this chapter: Rainfall onto buildings must be removed and directed to a location that can accommodate storm water. Chapter 11 specifies the design rainfall event for the geographic area and provides sizing methods for piping and gutter systems to convey the storm water away from the building. Included in this chapter are regulations for piping materials and subsoil drainage systems.
1101.1,Section 1101 General,Scope,,,,,,"The provisions of this chapter shall govern the materials, design, construction and installation of storm drainage."
1101.2,Section 1101 General,Disposal,,,,,,"Rainwater from roofs and storm water from paved areas, yards, courts and courtyards shall drain to an approved place of disposal. For one- and two-family dwellings, and where approved, storm water is permitted to discharge onto flat areas, such as streets or lawns, provided that the storm water flows away from the building."
1101.3,Section 1101 General,Prohibited Drainage,,,,,,Storm water shall not be drained into sewers intended for sewage only. Storm water from roof drains shall not discharge over public walkways exceptwhen an approved grated trough or trench drain sized to accept the calculateddischarge is installed in the walkway. The discharge shall be diverted verticallyfrom a height not greater than 12 inches to the grate.Exception:Secondary drains.
1101.4,Section 1101 General,Tests,,,,,,The conductors and the building storm drain shall be tested in accordance with Section 312.
1101.5,Section 1101 General,Change in Size,,,,,,The size of a drainage pipe shall not be reduced in the direction of flow.
1101.6,Section 1101 General,Fittings and Connections,,,,,,Connections and changes in direction of the storm drainage system shall be made with approved drainage-type fittings in accordance with Table 706.3. The fittings shall not obstruct or retard flow in the system.
1101.7,Section 1101 General,Roof Design,,,,,,"Roofs shall be designed for the maximum possible depth of water that will pond thereon as determined by the relative levels of roof deck and overflow weirs, scuppers, edges or serviceable drains in combination with the deflected structural elements. In determining the maximum possible depth of water, all primary roof drainage means shall be assumed to be blocked. The maximum possible depth of water on the roof shall include the height of the water required above the inlet of the secondary roof drainage means to achieve the required flow rate of the secondary drainage means to accommodate the design rainfall rate as required by Section 1106."
1101.8,Section 1101 General,Cleanouts Required,,,,,,Cleanouts shall be installed in the storm drainage system and shall comply with the provisions of this code for sanitary drainage pipe cleanouts.Exception: Subsurface drainage system.
1101.9,Section 1101 General,Backwater Valves,,,,,,Storm drainage systems shall be provided with backwater valves as required for sanitary drainage systems in accordance with Section 714.
1102.1,Section 1102 Materials,General,,,,,,The materials and methods utilized for the construction and installation of storm drainage systems shall comply with this section and the applicable provisions of Chapter 7.
1102.2,Section 1102 Materials,Inside Storm Drainage Conductors,,,,,,Inside storm drainage conductors installed above ground shall conform to one of the standards listed in Table 702.1.
1102.3,Section 1102 Materials,Underground Building Storm Drain Pipe,,,,,,Underground building storm drain pipe shall conform to one of the standards listed in Table 702.2.
1102.4,Section 1102 Materials,Building Storm Sewer Pipe,,,,,,"Building storm sewer pipe shall conform to one of the standards listed in Table 1102.4.TABLE 1102.4BUILDING STORM SEWER PIPE MATERIAL STANDARD Acrylonitrile butadiene styrene (ABS) plastic pipe in IPS diameters, including Schedule 40, DR 22 (PS 200) and DR 24 (PS 140); with a solid, cellular core or composite wall ASTM D2661; ASTM F628; ASTM F1488; CSA B181.1; CSA B182.1 Cast-iron pipe ASTM A74; ASTM A888; CISPI 301 Concrete pipe ASTM C14; ASTM C76; CSA A257.1; CSA A257.2 Copper or copper-alloy tubing (Type K, L, M or DWV) ASTM B75; ASTM B88; ASTM B251; ASTM B306 Polyethylene (PE) plastic pipe ASTM F667; ASTM F2306/F2306M; ASTM F2648/F2648M Polypropylene (PP) pipe ASTM F2881; CSA B182.13 Polyvinyl chloride (PVC) plastic pipe (Type DWV, SDR26, SDR35, SDR41, PS50 or PS100) in IPS diameters, including Schedule 40, DR 22 (PS 200) and DR 24 (PS 140); with a solid, cellular core or composite wall ASTM D2665; ASTM D3034; ASTM F891; ASTM F1488; CSA B181.2; CSA B182.2; CSA B182.4 Stainless steel drainage systems, Type 316L ASME A112.3.1 Vitrified clay pipe ASTM C4; ASTM C700"
