id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
13,,Nonpotable Water Systems,,,,,,"User note:About this chapter: Storm water and some liquid waste from a building can be a source of nonpotable water that can be used to reduce the volume of potable water supplied to the building. Chapter 13 provides the requirements for storage, treatment and distribution of this resource. This chapter also regulates the piping systems for reclaimed water supplied by a wastewater treatment facility."
1301.1,Section 1301 General,General,,,,,,"The provisions of Chapter 13 shall govern the materials, design, construction and installation of systems for the collection, storage, treatment and distribution of nonpotable water. For nonpotable rainwater systems, the provisions of CSA B805/ICC 805 shall be an alternative for regulating the materials, design, construction and installation of systems for rainwater collection, storage, treatment and distribution of nonpotable water. The use and application of nonpotable water shall comply with laws, rules and ordinances applicable in the jurisdiction."
1301.2,Section 1301 General,Water Quality,,,,,,"Nonpotable water for each end use application shall meet the minimum water quality requirements as established for the intended application by the laws, rules and ordinances applicable in the jurisdiction. Where nonpotable water from different sources is combined in a system, the system shall comply with the most stringent of the requirements of this code that are applicable to such sources."
1301.2.1,Section 1301 General,Residual Disinfectants,,,,,,"Where chlorine is used for disinfection, the nonpotable water shall contain not more than 4 ppm (4 mg/L) of chloramines or free chlorine when tested in accordance with ASTM D1253. Where ozone is used for disinfection, the nonpotable water shall not contain gas bubbles having elevated levels of ozone at the point of use. Exception: Reclaimed water sources shall not be required to comply with these requirements."
1301.2.2,Section 1301 General,Filtration Required,,,,,,Nonpotable water utilized for water closet and urinal flushing application shall be filtered by a 100-micron or fine filter.Exception: Reclaimed water sources shall not be required to comply with these requirements. Graywater treatment systems installed in accordance with Section 1302.6.1 do not need to meet additional filtration requirements.
1301.3,Section 1301 General,Signage Required,,,,,,"Nonpotable water outlets such as hose connections, open-ended pipes and faucets shall be identified at the point of use for each outlet with signage that reads as follows: ""Nonpotable water is utilized for [application name]. CAUTION: NONPOTABLE WATER — DO NOT DRINK."" The words shall be legibly and indelibly printed on a tag or sign constructed of corrosion-resistant waterproof material or shall be indelibly printed on the fixture. The letters of the words shall be not less than 0.5 inch (12.7 mm) in height and in colors in contrast to the background on which they are applied. In addition to the required wordage, the pictograph shown in Figure 1301.3 shall appear on the signage required by this section. FIGURE 1301.3PICTOGRAPH—DO NOT DRINK"
new_1301.3.1,Section 1301 General,Distribution Pipe Labeling and Marking,,,,,,Nonpotable distribution piping shall comply with Section 608.8.2 as amended inRule 1.2(E)(1)(u).
new_1301.3.2,Section 1301 General,Signage Required Graywater Treatment Works,,,,,,"For each room that contains graywater treatment works components, a sign thatsays ""CAUTION GRAYWATER TREATMENT WORKS, DO NOT DRINK, DONOT CONNECT TO THE POTABLE DRINKING WATER SYSTEM. NOTICE:CONTACT BUILDING MANAGEMENT BEFORE PERFORMINGANY WORK ON THIS WATER SYSTEM"" must be posted on any door providingentrance to the room."
1301.4,Section 1301 General,Permits,,,,,,"Permits shall be required for the construction, installation, alteration and repair of nonpotable water systems. Construction documents, engineering calculations, diagrams and other such data pertaining to the nonpotable water system shall be submitted with each permit application.1310.4 Typical Graywater Collection System(This figure is typical only, not a schematic)"
1301.5,Section 1301 General,Potable Water Connections,,,,,,"Where a potable system is connected to a nonpotable water system, the potable water supply shall be protected against backflow in accordance with Section 608.Typical graywater system for toilet and urinal flushing"
1301.6,Section 1301 General,Components and Materials,,,,,,"Piping, plumbing components and materials used in collection and conveyance systems shall be of material approved by the manufacturer for the intended application.Typical graywater system for disbursed subsurface irrigation system"
1301.7,Section 1301 General,Insect and Vermin Control,,,,,,The system shall be protected to prevent the entrance of insects and vermin into storage tanks and piping systems. Screen materials shall be compatible with contacting system components and shall not accelerate the corrosion of system components.Typical graywater system for mulch basin subsurface irrigation
1301.8,Section 1301 General,Freeze Protection,,,,,,"Where sustained freezing temperatures occur, provisions shall be made to keep storage tanks and the related piping from freezing."
1301.9,Section 1301 General,Nonpotable Water Storage Tanks,,,,,,Nonpotable water storage tanks shall comply with Sections 1301.9.1 through 1301.9.10.
1301.9.1,Section 1301 General,Location,,,,,,"Any storage tank or portion thereof that is above grade shall be protected from direct exposure to sunlight by one of the following methods:Tank construction using opaque, UV-resistant materials such as heavily tinted plastic, fiberglass, lined metal, concrete, wood, or painted to prevent algae growth.Specially constructed sun barriers.Installation in garages, crawl spaces or sheds."
1301.9.2,Section 1301 General,Materials,,,,,,"Where collected on-site, water shall be collected in an approved tank constructed of durable, nonabsorbent and corrosion-resistant materials. The storage tank shall be constructed of materials compatible with any disinfection systems used to treat water upstream of the tank and with any systems used to maintain water quality in the tank. Wooden storage tanks that are not equipped with a makeup water source shall be provided with a flexible liner.Exception: Tanks are not required if the graywater use is comprised of only subsurface irrigation and flows into a mulch basin system, where the mulch basin volume is three times the anticipated average daily flow."
1301.9.3,Section 1301 General,Foundation and Supports,,,,,,Storage tanks shall be supported on a firm base capable of withstanding the weight of the storage tank when filled to capacity. Storage tanks shall be supported in accordance with the International Building Code.
1301.9.3.1,Section 1301 General,Ballast,,,,,,"Where the soil can become saturated, an underground storage tank shall be ballasted, or otherwise secured, to prevent the tank from floating out of the ground when empty. The combined weight of the tank and hold-down ballast shall meet or exceed the buoyancy force of the tank. Where the installation requires a foundation, the foundation shall be flat and shall be designed to support the weight of the storage tank when full, consistent with the bearing capability of adjacent soil."
1301.9.3.2,Section 1301 General,Structural Support,,,,,,"Where installed below grade, storage tank installations shall be designed to withstand earth and surface structural loads without damage and with minimal deformation when empty or filled with water."
1301.9.4,Section 1301 General,Makeup Water,,,,,,"Where an uninterrupted supply is required for the intended application, potable or reclaimed water shall be provided as a source of makeup water for the storage tank. The makeup water supply shall be protected against backflow in accordance with Section 608. A full-open valve located on the makeup water supply line to the storage tank shall be provided. Inlets to the storage tank shall be controlled by fill valves or other automatic supply valves installed to prevent the tank from overflowing and to prevent the water level from dropping below a predetermined point. Where makeup water is provided, the water level shall not be permitted to drop below the source water inlet or the intake of any attached pump."
1301.9.5,Section 1301 General,Overflow,,,,,,"The storage tank shall be equipped with an overflow pipe having a diameter not less than that shown in Table 606.5.4. The overflow pipe shall be protected from insects or vermin. The overflow drain shall not be equipped with a shutoff valve and shall discharge into the sanitary sewer either directly, or indirectly with a trap in the drain line to keep odors from escaping the tank. A cleanout shall be provided on each overflow pipe in accordance with Section 708."
1301.9.6,Section 1301 General,Access,,,,,,"Not less than one access opening shall be provided to allow inspection and cleaning of the tank interior. Access openings shall have an approved locking device or other approved method of securing access. Below-grade storage tanks, located outside of the building, shall be provided with a manhole either not less than 24 inches (610 mm) square or with an inside diameter not less than 24 inches (610 mm). Manholes shall extend not less than 4 inches (102 mm) above ground or shall be designed to prevent water infiltration. Finished grade shall be sloped away from the manhole to divert surface water. Manhole covers shall be secured to prevent unauthorized access. Service ports in manhole covers shall be not less than 8 inches (203 mm) in diameter and shall be not less than 4 inches (102 mm) above the finished grade level. The service port shall be secured to prevent unauthorized access.Exception: Treated-water storage tanks that are less than 800 gallons (3028 L) in volume and installed below grade shall not be required to be equipped with a manhole provided that the tank has a service port of not less than 8 inches (203 mm) in diameter."
1301.9.7,Section 1301 General,Venting,,,,,,Storage tanks shall be provided with a vent sized in accordance with Chapter 9 and based on the aggregate diameter of all tank influent pipes. The reservoir vent shall not be connected to sanitary drainage system vents. Vents shall be protected from contamination by means of an approved cap or U-bend installed with the opening directed downward. Vent outlets shall extend not less than 4 inches (102 mm) above grade or as necessary to prevent surface water from entering the storage tank. Vent openings shall be protected against the entrance of vermin and insects in accordance with the requirements of Section 1301.7.
1301.9.8,Section 1301 General,Draining of Tanks,,,,,,"Tanks shall be provided with a means of emptying the contents for the purpose of service or cleaning. Tanks shall be drained by using a pump or by a drain located at the lowest point in the tank. The tank drain pipe shall discharge into the sanitary sewer either directly, or indirectly with atrap in the drain line to keep odors from escaping the tank shall not be smaller in size than specified in Table 606.5.7. Not less than one cleanout shall be provided on each drain pipe in accordance with Section 708."
1301.9.9,Section 1301 General,Marking and Signage,,,,,,"Each nonpotable water storage tank shall be labeled with its rated capacity. The contents of storage tanks shall be identified with the words ""CAUTION: NONPOTABLE WATER — DO NOT DRINK."" Where an opening is provided that could allow the entry of personnel, the opening shall be marked with the words, ""DANGER — CONFINED SPACE."" Markings shall be indelibly printed on the tank or on a tag or sign constructed of corrosion-resistant waterproof material that is mounted on the tank. The letters of the words shall be not less than 0.5 inch (12.7 mm) in height and shall be of a color in contrast with the background on which they are applied."
1301.9.10,Section 1301 General,Storage Tank Tests,,,,,,"Storage tanks shall be tested in accordance with the following: Storage tanks shall be filled with water to the overflow line prior to and during inspection. Seams and joints shall be left exposed and the tank shall remain watertight without leakage for a period of 24 hours.After 24 hours, supplemental water shall be introduced for a period of 15 minutes to verify proper drainage of the overflow system and that there are no leaks.The tank drain shall be observed for proper operation.The makeup water system shall be observed for proper operation and successful automatic shutoff of the system at the refill threshold shall be verified."
1301.10,Section 1301 General,System Abandonment,,,,,,"If the owner of an on-site nonpotable water reuse system or rainwater collection and conveyance system elects to cease use of, or fails to properly maintain such system, the system shall be abandoned and shall comply with the following: All system piping connecting to a utility-provided water system shall be removed or disabled.The distribution piping system shall be replaced with an approved potable water supply piping system. Where an existing potable pipe system is already in place, the fixtures shall be connected to the existing system.The storage tank shall be secured from accidental access by sealing or locking tank inlets and access points, or filling with sand or equivalent."
1302.1,Section 1302 On-Site Nonpotable Water Reuse Systems,General,,,,,,"The provisions of ASTM E2635 and Section 1302 shall govern the construction, installation, alteration and repair of on-site nonpotable water reuse systems for the collection, storage, treatment and distribution of on-site sources of nonpotable water as permitted by the jurisdiction. All plumbing systems utilizing nonpotable water reuse systems shall have a reduced pressure backflow preventer device installed at the water service entrance immediately downstream of the building water service shut off valve."
1302.2,Section 1302 On-Site Nonpotable Water Reuse Systems,Sources,,,,,,"On-site nonpotable water reuse systems shall collect waste discharge from only the following sources: bathtubs, showers, lavatories, clothes washers and laundry trays. Where approved and as appropriate for the intended application, water from other nonpotable sources shall be collected for reuse by on-site nonpotable water reuse systems."
1302.2.1,Section 1302 On-Site Nonpotable Water Reuse Systems,Prohibited Sources,,,,,,"Wastewater containing urine or fecal matter shall not be diverted to on-site nonpotable water reuse systems and shall discharge to the sanitary drainage system of the building or premises in accordance with Chapter 7. Reverse osmosis system reject water, water softener discharge water, kitchen sink wastewater, dishwasher wastewater and wastewater discharged from wet-hood scrubbers shall not be collected for reuse in an on-site nonpotable water reuse system."
1302.3,Section 1302 On-Site Nonpotable Water Reuse Systems,Traps,,,,,,Traps serving fixtures and devices discharging wastewater to on-site nonpotable water reuse systems shall comply with Section 1002.4.
1302.4,Section 1302 On-Site Nonpotable Water Reuse Systems,Collection Pipe,,,,,,On-site nonpotable water reuse systems shall utilize drainage piping approved for use in plumbing drainage systems to collect and convey untreated water for reuse. Vent piping approved for use in plumbing venting systems shall be utilized for vents in the graywater system. Collection and vent piping materials shall comply with Section 702.
1302.4.1,Section 1302 On-Site Nonpotable Water Reuse Systems,Installation,,,,,,Collection piping conveying untreated water for reuse shall be installed in accordance with Section 704.
