id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
4,,"Fixtures, Faucets and Fixture Fittings",,,,,,"User note:About this chapter: Plumbing fixtures are required to be installed for nearly every building as toilet facilities (water closets and lavatories) are needed by the occupants of a building. Additional fixtures for washing, bathing and culinary purposes are also necessary where occupants dwell in buildings. Chapter 4 specifies the minimum number and type of plumbing fixtures for buildings based on the description of use of the building. Because fixture design and quality are paramount to ensure that plumbing fixtures operate properly, this chapter also specifies numerous product and material standards for plumbing fixtures."
401.1,Section 401 General,Scope,,,,,,"This chapter shall govern the materials, design and installation of plumbing fixtures, faucets and fixture fittings in accordance with the type of occupancy, and shall provide for the minimum number of fixtures for various types of occupancies."
401.2,Section 401 General,Prohibited Fixtures and Connections,,,,,,Water closets having a concealed trap seal or an unventilated space or having walls that are not thoroughly washed at each discharge in accordance with ASME A112.19.2/CSA B45.1 shall be prohibited. Any water closet that permits siphonage of the contents of the bowl back into the tank shall be prohibited. Trough urinals shall be prohibited.
401.3,Section 401 General,Water Conservation,,,,,,The maximum water flow rates and flush volume for plumbing fixtures and fixture fittings shall comply with Section 604.4.
402.1,Section 402 Fixture Materials,Quality of Fixtures,,,,,,"Plumbing fixtures shall be constructed of approved materials, with smooth, impervious surfaces, free from defects and concealed fouling surfaces, and shall conform to standards cited in this code. Porcelain enameled surfaces on plumbing fixtures shall be acid resistant."
402.2,Section 402 Fixture Materials,Materials for Specialty Fixtures,,,,,,"Materials for specialty fixtures not otherwise covered in this code shall be of stainless steel, soapstone, chemical stoneware or plastic, or shall be lined with lead, copper-base alloy, nickel-copper alloy, corrosion-resistant steel or other material especially suited to the application for which the fixture is intended."
402.3,Section 402 Fixture Materials,Sheet Copper,,,,,,Sheet copper for general applications shall conform to ASTM B152 and shall not weigh less than 12 ounces per square foot (3.7 kg/m2).
402.4,Section 402 Fixture Materials,Sheet Lead,,,,,,Sheet lead for pans shall not weigh less than 4 pounds per square foot (19.5 kg/m2) and shall be coated with an asphalt paint or other approved coating.
403.1,Section 403 Minimum Plumbing Facilities,Minimum Number of Fixtures,,,,,,"Plumbing fixtures shall be provided in the minimum number as shown in Table 403.1, based on the actual use of the building or space. Uses not shown in Table 403.1 shall be considered individually by the code official. The number of occupants shall be determined by the International Building Code.TABLE 403.1MINIMUM NUMBER OF REQUIRED PLUMBING FIXTURESa (See Sections 403.1.1 and 403.2)NO.CLASSIFICATIONDESCRIPTIONWATER CLOSETS (URINALS: SEE SECTION 424.2)LAVATORIESBATHTUBS/ SHOWERSDRINKING FOUNTAIN (SEE SECTION 410)OTHERMALEFEMALEMALEFEMALE1AssemblyTheaters and other buildings for the performing arts and motion picturesd1 per 1251 per 651 per 200—1 per 5001 service sinkNightclubs, bars, taverns, dance halls and buildings for similar purposesd1 per 401 per 401 per 75—1 per 5001 service sinkRestaurants, banquet halls and food courtsd1 per 751 per 751 per 200—1 per 5001 service sinkCasino gaming areas1 per 100 for the first 400 and 1 per 250 for the remainder exceeding 4001 per 50 for the first 400 and 1 per 150 for the remainder exceeding 4001 per 250 for the first 750 and 1 per 500 for the remainder exceeding 750—1 per 1,0001 service sinkAuditoriums without permanent seating, art galleries, exhibition halls, museums, lecture halls, libraries, arcades and gymnasiumsd1 per 1251 per 651 per 200—1 per 5001 service sinkPassenger terminals and transportation facilitiesd1 per 5001 per 5001 per 750—1 per 1,0001 service sinkPlaces of worship and other religious servicesd1 per 1501 per 751 per 200—1 per 1,0001 service sinkColiseums, arenas, skating rinks, pools and tennis courts for indoor sporting events and activities1 per 75 for the first 1,500 and 1 per 120 for the remainder exceeding 1,5001 per 40 for the first 1,520 and 1 per 60 for the remainder exceeding 1,5201 per 2001 per 150—1 per 1,0001 service sinkStadiums, amusement parks, bleachers and grandstands for outdoor sporting events and activitiesf1 per 75 for the first 1,500 and 1 per 120 for the remainder exceeding 1,5001 per 40 for the first 1,520 and 1 per 60 for the remainder exceeding 1,5201 per 2001 per 150—1 per 1,0001 service sink2BusinessBuildings for the transaction of business, professional services, other services involving merchandise, office buildings, banks, ambulatory care, light industrial and similar uses1 per 25 for the first 50 and 1 per 50 for the remainder exceeding 501 per 40 for the first 80 and 1 per 80 for the remainder exceeding 80—1 per 1001 service sinke3EducationalEducational facilities1 per 501 per 50—1 per 1001 service sink4Factory and industrialStructures in which occupants are engaged in work fabricating, assembly or processing of products or materials1 per 1001 per 100—1 per 4001 service sink5InstitutionalCustodial care facilities1 per 101 per 101 per 81 per 1001 service sinkMedical care recipients in hospitals and nursing homes1 per roomc1 per roomc1 per 151 per 1001 service sink per floorEmployees in hospitals and nursing homesb1 per 251 per 35—1 per 100—Visitors in hospitals and nursing homes1 per 751 per 100—1 per 500—Prisonsb1 per cell1 per cell1 per 151 per 1001 service sinkReformatories, detention centers, and correctional centersb1 per 151 per 151 per 151 per 1001 service sinkEmployees in reformitories, detention centers and correctional centersb1 per 251 per 35—1 per 100—Adult day care and child day care1 per 151 per 1511 per 1001 service sink6MercantileRetail stores, service stations, shops, salesrooms, markets and shopping centers1 per 5001 per 750—1 per 1,0001 service sinke7ResidentialHotels, motels, boarding houses (transient)1 per sleeping unit1 per sleeping unit1 per sleeping unit—1 service sinkDormitories, fraternities, sororities and boarding houses (not transient)1 per 101 per 101 per 81 per 1001 service sinkApartment house1 per dwelling unit1 per dwelling unit1 per dwelling unit—1 kitchen sink per dwelling unit; 1 automatic clothes washer connection per 20 dwelling unitsOne- and two-family dwellings and lodging houses with five or fewer guestrooms1 per dwelling unit1 per dwelling unit1 per dwelling unit—1 kitchen sink per dwelling unit; 1 automatic clothes washer connection per dwelling unitCongregate living facilities with 16 or fewer persons1 per 101 per 101 per 81 per 1001 service sink8StorageStructures for the storage of goods, warehouses, storehouse and freight depots. Low and Moderate Hazard.1 per 1001 per 100—1 per 1,0001 service sinkThe fixtures shown are based on one fixture being the minimum required for the number of persons indicated or any fraction of the number of persons indicated. The number of occupants shall be determined by the International Building Code.Toilet facilities for employees shall be separate from facilities for inmates or care recipients.A single-occupant toilet room with one water closet and one lavatory serving not more than two adjacent patient sleeping units shall be permitted provided that each patient sleeping unit has direct access to the toilet room and provision for privacy for the toilet room user is provided.The occupant load for seasonal outdoor seating and entertainment areas shall be included when determining the minimum number of facilities required.For business and mercantile classifications with an occupant load of 15 or fewer, service sinks shall not be required.The required number and type of plumbing fixtures for outdoor public swimming pools shall be in accordance with Section 609 of the International Swimming Pool and Spa Code.Lavatory to water closet or urinal ratios in accordance with Table 403.1 shall bemaintained in all restrooms."
403.1.1,Section 403 Minimum Plumbing Facilities,Fixture Calculations,,,,,,"To determine the occupant load of each sex, the total occupant load shall be divided in half. To determine the required number of fixtures, the fixture ratio or ratios for each fixture type shall be applied to the occupant load of each sex in accordance with Table 403.1. Fractional numbers resulting from applying the fixture ratios of Table 403.1 shall be rounded up to the next whole number. For calculations involving multiple occupancies, such fractional numbers for each occupancy shall first be summed and then rounded up to the next whole number. Exceptions: The total occupant load shall not be required to be divided in half where approved statistical data indicate a distribution of the sexes of other than 50 percent of each sex.Where multiple-user facilities are designed to serve all genders, the minimum fixture count shall be calculated 100 percent, based on total occupant load. In such multiple-user facilities, each fixture type shall be in accordance with ICC A117.1 and each urinal that is provided shall be located in a stall.Distribution of the sexes is not required where single-user water closets and bathing room fixtures are provided in accordance with Section 403.1.2."
