id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
6,,Water Supply and Distribution,,,,,,"User note:About this chapter: Many plumbing fixtures require a supply of potable water. Other fixtures could be supplied with nonpotable water such as reclaimed water. Chapter 6 covers the requirements for water distribution piping systems to and within buildings. The regulations include the types of materials and the connection methods for such systems. The prevention of backflow of contaminated or polluted water into any potable water system is critical for protection of users of potable water. This chapter regulates the assemblies, devices and methods that are used for this purpose."
601.1,Section 601 General,Scope,,,,,,"This chapter shall govern the materials, design and installation of water supply systems, both hot and cold, for utilization in connection with human occupancy and habitation and shall govern the installation of individual water supply systems."
601.2,Section 601 General,Solar Energy Utilization,,,,,,Solar energy systems used for heating potable water or using an independent medium for heating potable water shall comply with the applicable requirements of this code. The use of solar energy shall not compromise the requirements for cross connection or protection of the potable water supply system required by this code.
601.3,Section 601 General,Existing Piping Used for Grounding,,,,,,Existing metallic water service piping used for electrical grounding shall not be replaced with nonmetallic pipe or tubing until other approved means of grounding is provided.
601.4,Section 601 General,Tests,,,,,,The potable water distribution system shall be tested in accordance with Section 312.5.
601.5,Section 601 General,Rehabilitation of Piping Systems,,,,,,"Where pressure piping systems are rehabilitated using an epoxy lining system, such lining system shall comply with ASTM F2831."
602.1,Section 602 Water Required,General,,,,,,Structures equipped with plumbing fixtures and utilized for human occupancy or habitation shall be provided with a potable supply of water in the amounts and at the pressures specified in this chapter.
602.2,Section 602 Water Required,Potable Water Required,,,,,,"Only potable water shall be supplied to plumbing fixtures that provide water for drinking, bathing or culinary purposes, or for the processing of food, medical or pharmaceutical products. Unless otherwise provided in this code, potable water shall be supplied to all plumbing fixtures."
602.3,Section 602 Water Required,Individual Water Supply,,,,,,"Where a potable public water supply is not available, individual sources of potable water supply shall be utilized."
602.3.1,Section 602 Water Required,Sources,,,,,,"Dependent on geological and soil conditions and the amount of rainfall, individual water supplies are of the following types: drilled well, driven well, dug well, bored well, spring, stream or cistern. Surface bodies of water and land cisterns shall not be sources of individual water supply unless properly treated by approved means to prevent contamination. Individual water supplies shall be constructed and installed in accordance with the applicable state and local laws. Where such laws do not address all of the requirements set forth in NGWA-01, individual water supplies shall comply with NGWA-01 for those requirements not addressed by state and local laws."
