id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
7,,Sanitary Drainage,,,,,,"User note:About this chapter: Chapter 7 regulates the methods and piping systems that remove water that has served a purpose such as flushing water closets, bathing, culinary activities and equipment discharges. The types of materials, drainage fitting and the connection methods are covered for these systems that begin at the receiving fixtures and end at the point of disposal for the liquid waste. A design method for a gravity flow system of vertical and horizontal piping is provided based on the probability of flows from specific fixtures. Vacuum and pumped types of liquid waste removal methods are also regulated by this chapter."
701.1,Section 701 General,Scope,,,,,,"The provisions of this chapter shall govern the materials, design, construction and installation of sanitary drainage systems."
701.2,Section 701 General,Connection to Sewer Required,,,,,,"Sanitary drainage piping from plumbing fixtures in buildings and sanitary drainage piping systems from premises shall be connected to a public sewer. Where a public sewer is not available, the sanitary drainage piping and systems shall be connected to a private sewage disposal system in compliance with state or local requirements. Where state or local requirements do not exist for private sewage disposal systems, the sanitary drainage piping and systems shall be connected to an approved private sewage disposal system that is in accordance with the International Private Sewage Disposal Code. Exception: Sanitary drainage piping and systems that convey only the discharge from bathtubs, showers, lavatories, clothes washers and laundry trays shall not be required to connect to a public sewer or to a private sewage disposal system provided that the piping or systems are connected to a system in accordance with Chapter 13 or 14.Exception 2:Floor drains or trench drains installed in utility buildings andresidential garages may be daylighted or discharged to an approved alternativedisposal system when written approval has been provided from the jurisdictionhaving authority through CDPHE or sewer purveyor."
701.3,Section 701 General,Separate Sewer Connection,,,,,,"A building having plumbing fixtures installed and intended for human habitation, occupancy or use on premises abutting on a street, alley or easement in which there is a public sewer shall have a separate connection with the sewer. Where located on the same lot, multiple buildings shall not be prohibited from connecting to a common building sewer that connects to the public sewer."
701.4,Section 701 General,Sewage Treatment,,,,,,Sewage or other waste from a plumbing system that is deleterious to surface or subsurface waters shall not be discharged into the ground or into any waterway unless it has first been rendered innocuous through subjection to an approved form of treatment.
701.5,Section 701 General,Damage to Drainage System or Public Sewer,,,,,,Waste detrimental to the public sewer system or to the functioning of the sewage-treatment plant shall be treated and disposed of in accordance with Section 1003 as directed by the code official.
701.6,Section 701 General,Tests,,,,,,The sanitary drainage system shall be tested in accordance with Section 312.
701.7,Section 701 General,Engineered Systems,,,,,,Engineered sanitary drainage systems shall conform to the provisions of Sections 316 and 713.
702.1,Section 702 Materials,Above-Ground Sanitary Drainage and Vent Pipe,,,,,,"Above-ground soil, waste and vent pipe shall conform to one of the standards listed in Table 702.1. TABLE 702.1ABOVE-GROUND DRAINAGE AND VENT PIPE MATERIAL STANDARD Acrylonitrile butadiene styrene (ABS) plastic pipe in IPS diameters, including Schedule 40, DR 22 (PS 200) and DR 24 (PS 140); with a solid, cellular core or composite wall ASTM D2661; ASTM F628; ASTM F1488; CSA B181.1 Cast-iron pipe ASTM A74; ASTM A888; CISPI 301 Copper or copper-alloy pipe ASTM B42; ASTM B43; ASTM B302 Copper or copper-alloy tubing (Type K, L, M or DWV) ASTM B75; ASTM B88; ASTM B251; ASTM B306 Galvanized steel pipe ASTM A53 Glass pipe ASTM C1053 Polyolefin pipe ASTM F1412; CSA B181.3 Polyvinyl chloride (PVC) plastic pipe in IPS diameters, including Schedule 40, DR 22 (PS 200), and DR 24 (PS 140); with a solid, cellular core or composite wall ASTM D2665; ASTM F891; ASTM F1488; CSA B181.2 Polyvinyl chloride (PVC) plastic pipe with a 3.25-inch O.D. and a solid, cellular core or composite wall ASTM D2949; ASTM F1488 Polyvinylidene fluoride (PVDF) plastic pipe ASTM F1673; CSA B181.3 Stainless steel drainage systems, Types 304 and 316L ASME A112.3.1"
702.2,Section 702 Materials,Underground Building Sanitary Drainage and Vent Pipe,,,,,,"Underground building sanitary drainage and vent pipe shall conform to one of the standards listed in Table 702.2. TABLE 702.2UNDERGROUND BUILDING DRAINAGE AND VENT PIPE MATERIAL STANDARD Acrylonitrile butadiene styrene (ABS) plastic pipe in IPS diameters, including Schedule 40, DR 22 (PS 200) and DR 24 (PS 140); with a solid, cellular core or composite wall ASTM D2661; ASTM F628; ASTM F1488; CSA B181.1 Cast-iron pipe ASTM A74; ASTM A888; CISPI 301 Copper or copper-alloy tubing (Type K, L, M or DWV) ASTM B75; ASTM B88; ASTM B251; ASTM B306 Polyethylene (PE) plastic pipe (SDR-PR) ASTM F714 Polyolefin pipe ASTM F714; ASTM F1412; CSA B181.3 Polyvinyl chloride (PVC) plastic pipe in IPS diameters, including Schedule 40, DR 22 (PS 200) and DR 24 (PS 140); with a solid, cellular core or composite wall ASTM D2665; ASTM F891; ASTM F1488; CSA B181.2 Polyvinyl chloride (PVC) plastic pipe with a 3.25-inch O.D. and a solid, cellular core or composite wall ASTM D2949; ASTM F1488 Polyvinylidene fluoride (PVDF) plastic pipe ASTM F1673; CSA B181.3 Stainless steel drainage systems, Type 316L ASME A112.3.1 For SI: 1 inch = 25.4 mm."
702.3,Section 702 Materials,Building Sewer Pipe,,,,,,"Building sewer pipe shall conform to one of the standards listed in Table 702.3.TABLE 702.3BUILDING SEWER PIPEMATERIALSTANDARDAcrylonitrile butadiene styrene (ABS) plastic pipe in IPS diameters, including Schedule 40, DR 22 (PS 200) and DR 24 (PS 140); with a solid, cellular core or composite wallASTM D2661; ASTM D2680; ASTM F628; ASTM F1488; CSA B181.1Acrylonitrile butadiene styrene (ABS) plastic pipe in sewer and drain diameters, including SDR 42 (PS 20), PS 35, SDR 35 (PS 45), PS 50, PS 100, PS 140, SDR 23.5 (PS 150) and PS 200; with a solid, cellular core or composite wallASTM D2751; ASTM F1488Cast-iron pipeASTM A74; ASTM A888; CISPI 301Concrete pipeASTM C14; ASTM C76; CSA A257.1; CSA A257.2Copper or copper-alloy tubing (Type K or L)ASTM B75; ASTM B88; ASTM B251Polyethylene (PE) plastic pipe (SDR-PR)ASTM F714Polypropylene (PP) plastic pipeASTM F2736; ASTM F2764; CSA B182.13Polyvinyl chloride (PVC) plastic pipe in IPS diameters, including Schedule 40, DR 22 (PS 200) and DR 24 (PS 140); with a solid, cellular core or composite wallASTM D2665; ASTM F891; ASTM F1488Polyvinyl chloride (PVC) plastic pipe in sewer and drain diameters, including PS 25, SDR 41 (PS 28), PS 35, SDR 35 (PS 46), PS 50, PS 100, SDR 26 (PS 115), PS 140 and PS 200; with a solid, cellular core or composite wallASTM F891; ASTM F1488; ASTM D3034; CSA B182.2; CSA B182.4Polyvinyl chloride (PVC) plastic pipe with a 3.25-inch O.D. and a solid, cellular core or composite wallASTM D2949; ASTM F1488Polyvinylidene fluoride (PVDF) plastic pipeASTM F1673; CSA B181.3Stainless steel drainage systems, Types 304 and 316LASME A112.3.1Vitrified clay pipeASTM C4; ASTM C700For SI: 1 inch = 25.4 mm."
