id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
9,,Vents,,,,,,"User note:About this chapter: Chapter 9 regulates connection locations, various venting system arrangements and the sizing of piping for vent systems. The proper operation of a gravity flow drainage system (Chapter 7) depends on maintaining an air path throughout the system to prevent waste and odor ""blow back"" into fixtures and siphoning of the trap seal in fixture traps (Chapter 10)."
901.1,Section 901 General,Scope,,,,,,"The provisions of this chapter shall govern the materials, design, construction and installation of vent systems."
901.2,Section 901 General,Trap Seal Protection,,,,,,The plumbing system shall be provided with a system of vent piping that will permit the admission or emission of air so that the seal of any fixture trap shall not be subjected to a pressure differential of more than 1 inch of water column (249 Pa).
901.2.1,Section 901 General,Venting Required,,,,,,Traps and trapped fixtures shall be vented in accordance with one of the venting methods specified in this chapter.
901.3,Section 901 General,Chemical Waste Vent Systems,,,,,,The vent system for a chemical waste system shall be independent of the sanitary vent system and shall terminate separately through the roof to the outdoors or to an air admittance valve that complies with ASSE 1049. Air admittance valves for chemical waste systems shall be constructed of materials approved in accordance with Section 702.6 and shall be tested for chemical resistance in accordance with ASTM F1412.
901.4,Section 901 General,Use Limitations,,,,,,The plumbing vent system shall not be utilized for purposes other than the venting of the plumbing system.
901.5,Section 901 General,Tests,,,,,,The vent system shall be tested in accordance with Section 312.
901.6,Section 901 General,Engineered Systems,,,,,,Engineered venting systems shall conform to the provisions of Section 919.
902.1,Section 902 Materials,Vents,,,,,,The materials and methods utilized for the construction and installation of venting systems shall comply with the applicable provisions of Section 702.
902.2,Section 902 Materials,Sheet Copper,,,,,,Sheet copper for vent pipe flashings shall conform to ASTM B152 and shall weigh not less than 8 ounces per square foot (2.5 kg/m2).
902.3,Section 902 Materials,Sheet Lead,,,,,,Sheet lead for vent pipe flashings shall weigh not less than 3 pounds per square foot (15 kg/m2) for field-constructed flashings and not less than 21/2 pounds per square foot (12 kg/m2) for prefabricated flashings.
903.1,Section 903 Vent Terminals,Vent Terminal Required,,,,,,The vent pipe shall terminate by extending to the outdoors through the roof or the side wall in accordance with one of the methods identified in Sections 903.1.1 through 903.1.4.
903.1.1,Section 903 Vent Terminals,Roof Extension Unprotected,,,,,,All Open vent pipes that extend through a roof shall be terminated at least 6 inches above the roof.
903.1.2,Section 903 Vent Terminals,Roof Used for Recreational or Assembly Purposes,,,,,,"Where a roof is to be used as a promenade, restaurant, bar, or sunbathing deck, as an observation deck, or for similar purposes, open vent pipes shall terminate not less than 7 feet (2134 mm) above the roof."
903.1.3,Section 903 Vent Terminals,Protected Vent Terminal,,,,,,"Where an open vent pipe terminates above a sloped roof and is covered by either a roof-mounted panel (such as a solar collector or photovoltaic panel mounted over the vent opening) or a roof element (such as an architectural feature or a decorative shroud), the vent pipe shall terminate not less than 4 inches (102 mm) above the roof surface. Such roof elements shall be designed to prevent the adverse effects of snow accumulation and wind on the function of the vent. The placement of a panel over a vent pipe and the design of a roof element covering the vent pipe shall provide for an open area for the vent pipe to the outdoors that is not less than the area of the pipe, as calculated from the inside diameter of the pipe. Such vent terminals shall be protected by a method that prevents birds and rodents from entering or blocking the vent pipe opening."
903.1.4,Section 903 Vent Terminals,Sidewall Vent Terminal,,,,,,Vent terminals extending through the wall shall terminate not less than 10 feet (3048 mm) from the lot line and 10 feet (3048 mm) above the highest adjacent grade within 10 feet (3048 mm) horizontally of the vent terminal. Vent terminals shall not terminate under the overhang of a structure with soffit vents. Sidewall vent terminals shall be protected to prevent birds and rodents from entering or blocking the vent opening.
903.3,Section 903 Vent Terminals,Flashings,,,,,,The juncture of each vent pipe with the roof line shall be made watertight by an approved flashing.
903.4,Section 903 Vent Terminals,Prohibited Use,,,,,,A vent terminal shall not be used for any purpose other than a vent terminal.
903.5,Section 903 Vent Terminals,Location of Vent Terminal,,,,,,"An open vent terminal from a drainage system shall not be located directly beneath any door, openable window, or other air intake opening of the building or of an adjacent building, and any such vent terminal shall not be within 10 feet (3048 mm) horizontally of such an opening unless it is 3 feet (914 mm) or more above the top of such opening."
903.6,Section 903 Vent Terminals,Extension Outside a Structure,,,,,,"In climates where the 97.5-percent value for outside design temperature is less than 0°F (-18°C), vent pipes installed on the exterior of the structure shall be protected against freezing by insulation, heat or both."
904.1,Section 904 Outdoor Vent Extensions,Required Vent Extension,,,,,,The vent system serving each building drain shall have not less than one vent pipe that extends to the outdoors.
