id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
20,,Boilers and Water Heaters,,,,mechanical_systems,mechanical_engineer,"User notes:About this chapter: Chapter 20 is specific to boilers and water heaters. The provisions of this chapter apply to appliances generally without regard to the energy source. Gas-fired boilers and water heaters are also addressed in Chapter 24; therefore, Chapters 20 and 24 both apply to such appliances.Code development reminder: Code change proposals to this chapter will be considered by the IRC—Plumbing/Mechanical Code Development Committee during the 2021 (Group A) Code Development Cycle."
M2001.1,Section M2001 Boilers,Installation,,,,mechanical_systems,mechanical_engineer,"In addition to the requirements of this code, the installation of boilers shall conform to the manufacturer's instructions. The manufacturer's rating data, the nameplate and operating instructions of a permanent type shall be attached to the boiler. Boilers shall have their controls set, adjusted and tested by the installer. A complete control diagram together with complete boiler operating instructions shall be furnished by the installer. Solid and liquid fuel-burning boilers shall be provided with combustion air as required by Chapter 17."
M2001.1.1,Section M2001 Boilers,Standards,,,,mechanical_systems,mechanical_engineer,"Packaged oil-fired boilers shall be listed and labeled in accordance with UL 726. Packaged electric boilers shall be listed and labeled in accordance with UL 834. Solid fuel-fired boilers shall be listed and labeled in accordance with UL 2523. Boilers shall be designed, constructed and certified in accordance with the ASME Boiler and Pressure Vessel Code, Section I or IV. Controls and safety devices for boilers with fuel input ratings of 12,500,000 Btu/hr (3663 kW) or less shall meet the requirements of ASME CSD-1. Gas-fired boilers shall conform to the requirements listed in Chapter 24."
M2001.2,Section M2001 Boilers,Clearance,,,,mechanical_systems,mechanical_engineer,Boilers shall be installed in accordance with their listing and label.
M2001.3,Section M2001 Boilers,Valves,,,,mechanical_systems,mechanical_engineer,"Every boiler or modular boiler shall have a shutoff valve in the supply and return piping. For multiple boiler or multiple modular boiler installations, each boiler or modular boiler shall have individual shutoff valves in the supply and return piping.Exception: Shutoff valves are not required in a system having a single low-pressure steam boiler."
M2001.4,Section M2001 Boilers,Flood-Resistant Installation,,,,mechanical_systems,mechanical_engineer,"In flood hazard areas established in Table R301.2, boilers, water heaters and their control systems shall be located or installed in accordance with Section R322.1.6."
M2002.1,Section M2002 Operating and Safety Controls,Safety Controls,,,,mechanical_systems,mechanical_engineer,Electrical and mechanical operating and safety controls for boilers shall be listed and labeled.
M2002.2,Section M2002 Operating and Safety Controls,Hot Water Boiler Gauges,,,,mechanical_systems,mechanical_engineer,"Every hot water boiler shall have a pressure gauge and a temperature gauge, or combination pressure and temperature gauge. The gauges shall indicate the temperature and pressure within the normal range of the system's operation."
M2002.3,Section M2002 Operating and Safety Controls,Steam Boiler Gauges,,,,mechanical_systems,mechanical_engineer,Every steam boiler shall have a water-gauge glass and a pressure gauge. The pressure gauge shall indicate the pressure within the normal range of the system's operation. The gauge glass shall be installed so that the midpoint is at the normal water level.
M2002.4,Section M2002 Operating and Safety Controls,Pressure Relief Valve,,,,mechanical_systems,mechanical_engineer,Boilers shall be equipped with pressure relief valves with minimum rated capacities for the equipment served. Pressure relief valves shall be set at the maximum rating of the boiler. Discharge shall be piped to drains by gravity to within 18 inches (457 mm) of the floor or to an open receptor.
M2002.5,Section M2002 Operating and Safety Controls,Boiler Low-Water Cutoff,,,,mechanical_systems,mechanical_engineer,Steam and hot water boilers shall be protected with a low-water cutoff control.Exception: A low-water cutoff is not required for coil-type and water-tube-type boilers that require forced circulation of water through the boiler and that are protected with a flow-sensing control.
M2002.6,Section M2002 Operating and Safety Controls,Operation,,,,mechanical_systems,mechanical_engineer,"Low-water cutoff controls and flow-sensing controls required by Section M2002.5 shall automatically stop the combustion operation of the appliance when the water level drops below the lowest safe water level as established by the manufacturer or when the water circulation flow is less than that required for safe operation of the appliance, respectively."
M2003.1,Section M2003 Expansion Tanks,General,,,,mechanical_systems,mechanical_engineer,Hot water boilers shall be provided with expansion tanks. Nonpressurized expansion tanks shall be securely fastened to the structure or boiler and supported to carry twice the weight of the tank filled with water. Provisions shall be made for draining nonpressurized tanks without emptying the system.
M2003.1.1,Section M2003 Expansion Tanks,Pressurized Expansion Tanks,,,,mechanical_systems,mechanical_engineer,Pressurized expansion tanks shall be consistent with the volume and capacity of the system. Tanks shall be capable of withstanding a hydrostatic test pressure of two and one-half times the allowable working pressure of the system.
M2003.2,Section M2003 Expansion Tanks,Minimum Capacity,,,,mechanical_systems,mechanical_engineer,"The minimum capacity of expansion tanks shall be determined from Table M2003.2.TABLE M2003.2EXPANSION TANK MINIMUM CAPACITYa FOR FORCED HOT-WATER SYSTEMSSYSTEM VOLUMEb (gallons)PRESSURIZED DIAPHRAGM TYPENONPRESSURIZED TYPE101.01.5201.53.0302.54.5403.06.0504.07.5605.09.0706.010.5806.512.0907.513.51008.015.0For SI: 1 gallon = 3.785 L, 1 pound per square inch gauge = 6.895 kPa, °C = [(°F) — 32]/1.8.Based on average water temperature of 195°F, fill pressure of 12 psig and an operating pressure of not greater than 30 psig.System volume includes volume of water in boiler, convectors and piping, not including the expansion tank."
M2004.1,Section M2004 Water Heaters Used for Space Heating,General,,,,mechanical_systems,mechanical_engineer,"Water heaters used to supply both potable hot water and hot water for space heating shall be installed in accordance with this chapter, Chapter 24, Chapter 28 and the manufacturer's instructions."
M2005.1,Section M2005 Water Heaters,General,,,,mechanical_systems,mechanical_engineer,"Water heaters shall be installed in accordance with Chapter 28, the manufacturer's instructions and the requirements of this code. Water heaters installed in an attic shall comply with the requirements of Section M1305.1.2. Gas-fired water heaters shall comply with the requirements in Chapter 24. Domestic electric water heaters shall comply with UL 174. Oiled-fired water heaters shall comply with UL 732. Solar thermal water heating systems shall comply with Chapter 23 and ICC 900/SRCC 300. Solid fuel-fired water heaters shall comply with UL 2523."
M2005.2,Section M2005 Water Heaters,Prohibited Locations,,,,mechanical_systems,mechanical_engineer,Fuel-fired water heaters shall not be installed in a room used as a storage closet. Water heaters located in a bedroom or bathroom shall be installed in a sealed enclosure so that combustion air will not be taken from the living space. Installation of direct-vent water heaters within an enclosure is not required.
M2005.2.1,Section M2005 Water Heaters,Water Heater Access,,,,mechanical_systems,mechanical_engineer,Access to water heaters that are located in an attic or underfloor crawl space is permitted to be through a closet located in a sleeping room or bathroom where ventilation of those spaces is in accordance with this code.
M2005.3,Section M2005 Water Heaters,Electric Water Heaters,,,,mechanical_systems,mechanical_engineer,Electric water heaters shall be installed in accordance with the applicable provisions of Chapters 34 through 43.
M2005.4,Section M2005 Water Heaters,Supplemental Water-Heating Devices,,,,mechanical_systems,mechanical_engineer,Potable water-heating devices that use refrigerant-to-water heat exchangers shall be approved and installed in accordance with the manufacturer's instructions.
M2006.1,Section M2006 Pool Heaters,General,,,,mechanical_systems,mechanical_engineer,"Pool and spa heaters shall be installed in accordance with the manufacturer's installation instructions. Oil-fired pool heaters shall comply with UL 726. Electric pool and spa heaters shall comply with UL 1261. Pool and spa heat pump water heaters shall comply with UL 1995, UL/CSA/ANCE 60335-2-40 or CSA C22.2 No. 236.Exception: Portable residential spas and portable residential exercise spas shall comply with UL 1563 or CSA C22.2 No. 218.1."
M2006.2,Section M2006 Pool Heaters,Clearances,,,,mechanical_systems,mechanical_engineer,"The clearances shall not interfere with combustion air, draft hood or flue terminal relief, or accessibility for servicing."
M2006.3,Section M2006 Pool Heaters,Bypass Valves,,,,mechanical_systems,mechanical_engineer,"Where an integral bypass system is not provided as a part of the pool heater, a bypass line and valve shall be installed between the inlet and outlet piping for use in adjusting the flow of water through the heater."
