id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
21,,Hydronic Piping,,,,mechanical_systems,mechanical_engineer,"User notes:About this chapter: Chapter 21 is specific to hydronic piping, which includes steam, hot water and ground-source heat-pump system loop piping. This chapter addresses piping materials, joining methods, support, protection of the structure, testing, protection of potable water and general installation requirements.Code development reminder: Code change proposals to this chapter will be considered by the IRC—Plumbing/Mechanical Code Development Committee during the 2021 (Group A) Code Development Cycle."
M2101.1,Section M2101 Hydronic Piping Systems Installation,General,,,,mechanical_systems,mechanical_engineer,"Hydronic piping shall conform to Table M2101.1. Approved piping, valves, fittings and connections shall be installed in accordance with the manufacturer's instructions. Pipe and fittings shall be rated for use at the operating temperature and pressure of the hydronic system. Used pipe, fittings, valves or other materials shall be free of foreign materials.TABLE M2101.1HYDRONIC PIPING AND FITTING MATERIALSMATERIALUSE CODEaSTANDARDbJOINTSNOTESAcrylonitrile butadiene styrene (ABS) plastic pipe1, 5ASTM D1527, ASTM F2806, ASTM F2969Solvent cement joints—Chlorinated poly (vinyl chloride) (CPVC) pipe and tubing1, 2, 3ASTM D2846Solvent cement joints, compression joints and threaded adapters—Copper and copper-alloy pipe1ASTM B42, ASTM B43, ASTM B302Brazed, soldered and mechanical fittings threaded, welded and flanged—Copper and copper-alloy tubing (Type K, L or M)1, 2ASME B16.51, ASTM B75, ASTM B88, ASTM B135, ASTM B251, ASTM B306Brazed, soldered, press-connected and flared mechanical fittingsJoints embedded in concrete shall be brazedCross-linked polyethylene (PEX)1, 2, 3ASTM F876; ASTM F3253(See PEX fittings)Install in accordance with manufacturer's instructionsCross-linked polyethylene/ aluminum/cross-linked polyethylene (PEX-AL-PEX) pressure pipe1, 2ASTM F1281 or CAN/CSA B137.10Mechanical, crimp/insertInstall in accordance with manufacturer's instructionsPEX fittings—ASTM F877, ASTM F1807, ASTM F1960, ASTM F2098, ASTM F2159, ASTM F2735, ASTM F3253Copper crimp/insert fittings, cold expansion fittings, stainless steel clamp, insert fittingsInstall in accordance with manufacturer's instructionsPolybutylene (PB) pipe and tubing1, 2, 3ASTM D3309Heat-fusion, crimp/insert and compressionJoints in concrete shall be heat-fusedPolyethylene/aluminum/polyethylene (PE-AL-PE) pressure pipe1, 2, 3ASTM F1282, CSA B137.9Mechanical, crimp/insert—Polypropylene (PP)1, 2, 3ISO 15874, ASTM F2389Heat-fusion joints, mechanical fittings, threaded adapters, compression joints—Raised temperature polyethylene (PE-RT)1, 2, 3ASTM F2623, ASTM F2769, CSA B137.18Copper crimp/insert fitting, stainless steel clamp, insert fittings—Raised temperature polyethylene (PE-RT) fittings1, 2, 3ASTM D3261, ASTM F1807, ASTM F2098, ASTM F2159, ASTM F2735, ASTM F2769, CSA B137.18Copper crimp/insert fitting, stainless steel clamp, insert fittings—Steel pipe1, 2ASTM A53, ASTM A106Brazed, welded, threaded, flanged and mechanical fittingsJoints in concrete shall be welded. Galvanized pipe shall not be welded or brazed.Steel tubing1ASTM A254Mechanical fittings, welded—For SI: °C = [(°F) — 32]/1.8.Use code:Above ground.Embedded in radiant systems.Temperatures below 180°F only.Low-temperature (below 130°F) applications only.Temperatures below 160°F only.Standards as listed in Chapter 44."
M2101.2,Section M2101 Hydronic Piping Systems Installation,System Drain Down,,,,mechanical_systems,mechanical_engineer,"Hydronic piping systems shall be installed to permit draining of the system. Where the system drains to the plumbing drainage system, the installation shall conform to the requirements of Chapters 25 through 32 of this code.Exception: The buried portions of systems embedded underground or under floors."
M2101.3,Section M2101 Hydronic Piping Systems Installation,Protection of Potable Water,,,,mechanical_systems,mechanical_engineer,The potable water system shall be protected from backflow in accordance with the provisions listed in Section P2902.
M2101.4,Section M2101 Hydronic Piping Systems Installation,Pipe Penetrations,,,,mechanical_systems,mechanical_engineer,Openings through concrete or masonry building elements shall be sleeved.
M2101.5,Section M2101 Hydronic Piping Systems Installation,Contact With Building Material,,,,mechanical_systems,mechanical_engineer,A hydronic piping system shall not be in direct contact with any building material that causes the piping material to degrade or corrode.
M2101.6,Section M2101 Hydronic Piping Systems Installation,Drilling and Notching,,,,mechanical_systems,mechanical_engineer,"Wood-framed structural members shall be drilled, notched or altered in accordance with the provisions of Sections R502.8, R602.6, R602.6.1 and R802.7. Holes in load-bearing members of cold-formed steel light-frame construction shall be permitted only in accordance with Sections R505.2.6, R603.2.6 and R804.2.6. In accordance with the provisions of Sections R505.3.5, R603.3.4 and R804.3.3, cutting and notching of flanges and lips of load-bearing members of cold-formed steel light-frame construction shall not be permitted. Structural insulated panels (SIPs) shall be drilled and notched or altered in accordance with the provisions of Section R610.7."
M2101.7,Section M2101 Hydronic Piping Systems Installation,Prohibited Tee Applications,,,,mechanical_systems,mechanical_engineer,Fluid in the supply side of a hydronic system shall not enter a tee fitting through the branch opening.
M2101.8,Section M2101 Hydronic Piping Systems Installation,"Expansion, Contraction and Settlement",,,,mechanical_systems,mechanical_engineer,"Piping shall be installed so that piping, connections and equipment shall not be subjected to excessive strains or stresses. Provisions shall be made to compensate for expansion, contraction, shrinkage and structural settlement."
M2101.9,Section M2101 Hydronic Piping Systems Installation,Piping Support,,,,mechanical_systems,mechanical_engineer,"Hangers and supports shall be of material of sufficient strength to support the piping, and shall be fabricated from materials compatible with the piping material. Piping shall be supported at intervals not exceeding the spacing specified in Table M2101.9.TABLE M2101.9HANGER SPACING INTERVALSPIPING MATERIALMAXIMUM HORIZONTAL SPACING (feet)MAXIMUM VERTICAL SPACING (feet)ABS410aCPVC ≤ 1-inch pipe or tubing35aCPVC ≥ 11/4 inches410aCopper or copper-alloy pipe1210Copper or copper-alloy tubing610PB pipe or tubing2.674PE pipe or tubing2.674PE-RT ≤ 1 inch2.6710aPE-RT ≥ 11/4 inches410aPEX tubing ≤ 1 inch2.674PEX tubing ≥ 11/4 inches410aPP < 1-inch pipe or tubing2.674PP > 11/4 inches410aPVC410aSteel pipe1215Steel tubing810For SI: 1 inch = 25.4 mm, 1 foot = 304.8 mm.For sizes 2 inches and smaller, a guide shall be installed midway between required vertical supports. Such guides shall prevent pipe movement in a direction perpendicular to the axis of the pipe."
