id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
38,,Wiring Methods,,,,electrical_systems,electrical_engineer,"ICC user note:About this chapter: Chapter 38 provides installation details for the wiring methods commonly found in dwelling unit construction, and it dictates where and under what conditions specific wiring methods can be used."
E3801.1,Section E3801 General Requirements,Scope,,,,electrical_systems,electrical_engineer,"This chapter covers the wiring methods for services, feeders and branch circuits for electrical power and distribution. (300.1)"
E3801.2,Section E3801 General Requirements,Allowable Wiring Methods,,,,electrical_systems,electrical_engineer,"The allowable wiring methods for electrical installations shall be those listed in Table E3801.2. Single conductors shall be used only where part of one of the recognized wiring methods listed in Table E3801.2. As used in this code, abbreviations of the wiring-method types shall be as indicated in Table E3801.2. [110.8, 300.3(A)]TABLE E3801.2ALLOWABLE WIRING METHODSALLOWABLE WIRING METHODDESIGNATED ABBREVIATIONArmored cableACElectrical metallic tubingEMTElectrical nonmetallic tubingENTFlexible metal conduitFMCIntermediate metal conduitIMCLiquidtight flexible conduitLFCMetal-clad cableMCNonmetallic sheathed cableNMRigid metallic conduitRMCRigid polyvinyl chloride conduit (Type PVC)RNCReinforced thermosetting resin conduit (Type RTRC)RTRCService entrance cableSESurface racewaysSRUnderground feeder cableUFUnderground service cableUSE"
E3801.3,Section E3801 General Requirements,Circuit Conductors,,,,electrical_systems,electrical_engineer,"All conductors of a circuit, including equipment grounding conductors and bonding conductors, shall be contained in the same raceway, trench, cable or cord. [300.3(B)]"
E3801.4,Section E3801 General Requirements,Wiring Method Applications,,,,electrical_systems,electrical_engineer,"Wiring methods shall be applied in accordance with Table E3801.4. (Chapter 3 and 300.2)TABLE E3801.4 (Chapter 3 and 300.2)ALLOWABLE APPLICATIONS FOR WIRING METHODSa, b, c, d, e, f, g, h, i, j, kALLOWABLE APPLICATIONS (application allowed where marked with an ""A"")ACEMTENTFMCIMCRMCRNCRTRCLFCa, gMCNMSRSEUFUSEServices—AAhAiAAiA——A—AFeedersAAAAAAAA—AbAAbBranch circuitsAAAAAAAAAAcA—Inside a buildingAAAAAAAAAAA—Wet locations exposed to sunlight—AAh—AAAk——AAeAeDamp locations—AAAdAAA——AAAEmbedded in noncinder concrete in dry location—AA—AAj——————In noncinder concrete in contact with grade—AfA—AfAj——————Embedded in plaster not exposed to dampnessAAAAAAA——AA—Embedded in masonry—AA—AfAA—————In masonry voids and cells exposed to dampness or below grade line—AfAAdAfAA——AA—Fished in masonry voidsA——A—AAA—AA—In masonry voids and cells not exposed to dampnessAAAAAAAA—AA—Run exposedAAAAAAAAAAA—Run exposed and subject to physical damage————Ag———————For direct burial—Af——AfAAf———AAFor SI: 1 foot = 304.8 mm.Liquidtight flexible nonmetallic conduit without integral reinforcement within the conduit wall shall not exceed 6 feet in length.Type USE cable shall not be used inside buildings.The grounded conductor shall be insulated.Conductors shall be a type approved for wet locations and the installation shall prevent water from entering other raceways.Shall be listed as ""Sunlight Resistant.""Metal raceways shall be protected from corrosion and approved for the application. Aluminum RMC requires approved supplementary corrosion protection.RNC shall be Schedule 80. RTRC shall be RTRC-XWShall be listed as ""Sunlight Resistant"" where exposed to the direct rays of the sun.Conduit shall not exceed 6 feet in length.Liquidtight flexible nonmetallic conduit is permitted to be encased in concrete where listed for direct burial and only straight connectors listed for use with LFNC are used.In wet locations where a corrosion-resistant jacket is provided over the metallic covering and any of the following conditions are met:The metallic covering is impervious to moisture.A jacket resistant to moisture is provided under the metal covering.The insulated conductors under the metallic covering are listed for use in wet locations."
E3802.1,Section E3802 Above-Ground Installation Requirements,Installation and Support Requirements,,,,electrical_systems,electrical_engineer,"Wiring methods shall be installed and supported in accordance with Table E3802.1. (Chapter 3 and 300.11)TABLE E3802.1 (Chapter 3)GENERAL INSTALLATION AND SUPPORT REQUIREMENTS FOR WIRING METHODSa, b, c, d, e, f, g, h, i, j, kINSTALLATION REQUIREMENTS (Requirement applicable only to wiring methods marked ""A"" )ACMCEMTIMCRMCENTFMCLFCNMUFRNCRTRCSESRaUSEWhere run parallel with the framing member or furring strip, the wiring shall be not less than 11/4 inches from the edge of a furring strip or a framing member such as a joist, rafter or stud or shall be physically protected.A—AAA—A——Bored holes in framing members for wiring shall be located not less than 11/4 inches from the edge of the framing member or shall be protected with a minimum 0.0625-inch steel plate or sleeve, a listed steel plate or other physical protection.Ak—AkAkAk—Ak——Where installed in grooves, to be covered by wallboard, siding, paneling, carpeting, or similar finish, wiring methods shall be protected by 0.0625-inch-thick steel plate, sleeve, or equivalent, a listed steel plate or by not less than 11/4-inch free space for the full length of the groove in which the cable or raceway is installed.A—AAA—AAASecurely fastened bushings or grommets shall be provided to protect wiring run through openings in metal framing members.——Aj—Aj—Aj——The maximum number of 90-degree bends shall not exceed four between junction boxes.—AAA—A———Bushings shall be provided where entering a box, fitting or enclosure unless the box or fitting is designed to afford equivalent protection.AAAA—A—A—Ends of raceways shall be reamed to remove rough edges.—AAA—A—A—Maximum allowable on center support spacing for the wiring method in feet.4.5b, c103b4.5b4.5i3d2.5e—2.5Maximum support distance in inches from box or other terminations.12b, f363612b, g12h, i3612——For SI: 1 inch = 25.4 mm, 1 foot = 304.8 mm, 1 degree = 0.0175 rad.Installed in accordance with listing requirements.Supports not required in accessible ceiling spaces between light fixtures where lengths do not exceed 6 feet.Six feet for MC cable.Five feet for trade sizes 11/4 through 2 inches, 6 feet for trade sizes 21/2 through 3, 7 feet for trade sizes 31/2 through 5 inches, 8 feet for trade size 6 inches.Two and one-half feet where used for service or outdoor feeder and 4.5 feet where used for branch circuit or indoor feeder.Twenty-four inches for Type AC cable and 36 inches for interlocking Type MC cable where flexibility is necessary.Where flexibility after installation is necessary, lengths of flexible metal conduit and liquidtight flexible metal conduit measured from the last point where the raceway is securely fastened shall not exceed: 36 inches for trade sizes 1/2 through 11/4, 48 inches for trade sizes 11/2 through 2, and 5 feet for trade sizes 21/2 and larger.Within 8 inches of boxes without cable clamps.Flat cables shall not be stapled on edge.Bushings and grommets shall remain in place and shall be listed for the purpose of cable protection.See Sections R502.8 and R802.7 for additional limitations on the location of bored holes in horizontal framing members."
E3802.2,Section E3802 Above-Ground Installation Requirements,Cables in Accessible Attics,,,,electrical_systems,electrical_engineer,Cables in attics or roof spaces provided with access shall be installed as specified in Sections E3802.2.1 and E3802.2.2. (320.3 and 334.23)
E3802.2.1,Section E3802 Above-Ground Installation Requirements,Across Structural Members,,,,electrical_systems,electrical_engineer,"Where run across the top of floor joists, or run within 7 feet (2134 mm) of floor or floor joists across the face of rafters or studding, in attics and roof spaces that are provided with access, the cable shall be protected by substantial guard strips that are at least as high as the cable. Where such spaces are not provided with access by permanent stairs or ladders, protection shall only be required within 6 feet (1829 mm) of the nearest edge of the attic entrance. [320.23(A) and 334.23]"
E3802.2.2,Section E3802 Above-Ground Installation Requirements,Cable Installed Through or Parallel to Framing Members,,,,electrical_systems,electrical_engineer,"Where cables are installed through or parallel to the sides of rafters, studs or floor joists, guard strips and running boards shall not be required, and the installation shall comply with Table E3802.1. [300.4(D), 320.23(B) and 334.23]"
E3802.3,Section E3802 Above-Ground Installation Requirements,Exposed Cable,,,,electrical_systems,electrical_engineer,"In exposed work, except as provided for in Sections E3802.2 and E3802.4, cable assemblies shall be installed as specified in Sections E3802.3.1 and E3802.3.2. (320.15, 330.15 and 334.15)"
E3802.3.1,Section E3802 Above-Ground Installation Requirements,Surface Installation,,,,electrical_systems,electrical_engineer,Cables shall closely follow the surface of the building finish or running boards. [334.15(A)]
E3802.3.2,Section E3802 Above-Ground Installation Requirements,Protection From Physical Damage,,,,electrical_systems,electrical_engineer,"Where subject to physical damage, cables shall be protected by rigid metal conduit, intermediate metal conduit, electrical metallic tubing, Schedule 80 PVC conduit, RTRC-XW or other approved means. Where passing through a floor, the cable shall be enclosed in rigid metal conduit, intermediate metal conduit, electrical metallic tubing, Schedule 80 PVC conduit RTRC-XW or other approved means extending not less than 6 inches (152 mm) above the floor. [334.15(B)]"
E3802.3.3,Section E3802 Above-Ground Installation Requirements,Locations Exposed to Direct Sunlight,,,,electrical_systems,electrical_engineer,"Insulated conductors and cables used where exposed to direct rays of the sun shall be listed or listed and marked, as being ""sunlight resistant,"" or shall be covered with insulating material, such as tape or sleeving, that is listed or listed and marked as being ""sunlight resistant."" [310.10(D)]"
