id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
E,,Supplementary Accessibility Requirements,,,,,,"The provisions contained in this appendix are not mandatory unless specifically referenced in the adopting ordinance.User note:About this appendix: The Architectural and Transportation Barriers Compliance Board (U.S. Access Board) has revised and updated its accessibility guidelines for buildings and facilities covered by the Americans with Disabilities Act (ADA) and the Architectural Barriers Act (ABA). Appendix E includes scoping requirements contained in the 2010 ADA Standards for Accessible Design that are not in Chapter 11 and not otherwise mentioned or mainstreamed throughout the code. Items in this appendix address subjects not typically addressed in building codes (for example, beds, room signage, transportation facilities)."
E101.1,Section E101 General,Scope,,,,,,The provisions of this appendix shall control the supplementary requirements for the design and construction of facilities for accessibility for individuals with disabilities.
E101.2,Section E101 General,Design,,,,,,Technical requirements for items herein shall comply with this code and ICC A117.1.
E102.1,Section E102 Definitions,General,,,,,,"The following words and terms shall, for the purposes of this appendix, have the meanings shown herein. Refer to Chapter 2 of this code for general definitions.CLOSED-CIRCUIT TELEPHONE. A telephone with a dedicated line such as a house phone, courtesy phone or phone that must be used to gain entrance to a facility.MAILBOXES. Receptacles for the receipt of documents, packages or other deliverable matter. Mailboxes include, but are not limited to, post office boxes and receptacles provided by commercial mail-receiving agencies, apartment houses and schools.TRANSIENT LODGING. A building, facility or portion thereof, excluding inpatient medical care facilities and long-term care facilities, that contains one or more dwelling units or sleeping units. Examples of transient lodging include, but are not limited to, resorts, group homes, hotels, motels, dormitories, homeless shelters, halfway houses and social service lodging."
E103.1,Section E103 Accessible Route,Raised Platforms,,,,,,"In banquet rooms or spaces where a head table or speaker's lectern is located on a raised platform, an accessible route shall be provided to the platform."
E104.1,Section E104 Special Occupancies,General,,,,,,Transient lodging facilities shall be provided with accessible features in accordance with Section E104.2. Group I-3 occupancies shall be provided with accessible features in accordance with Section E104.2.
E104.2,Section E104 Special Occupancies,Communication Features,,,,,,Accessible communication features shall be provided in accordance with Sections E104.2.1 through E104.2.4.
E104.2.1,Section E104 Special Occupancies,Transient Lodging,,,,,,"In transient lodging facilities, sleeping units with accessible communication features shall be provided in accordance with Table E104.2.1. Units required to comply with Table E104.2.1 shall be dispersed among the various classes of units. TABLE E104.2.1DWELLING OR SLEEPING UNITS WITH ACCESSIBLE COMMUNICATION FEATURES TOTAL NUMBER OF DWELLING OR SLEEPING UNITS PROVIDED MINIMUM REQUIRED NUMBER OF DWELLING OR SLEEPING UNITS WITH ACCESSIBLE COMMUNICATION FEATURES 1 1 2 to 25 2 26 to 50 4 51 to 75 7 76 to 100 9 101 to 150 12 151 to 200 14 201 to 300 17 301 to 400 20 401 to 500 22 501 to 1,000 5% of total 1,001 and over 50 plus 3 for each 100 over 1,000"
E104.2.2,Section E104 Special Occupancies,Group I-3,,,,,,"In Group I-3 occupancies at least 2 percent of the total number of general holding cells and general housing cells equipped with audible emergency notification systems, and not less than one cell, shall be provided with visual notification devices. Permanently installed telephones within the cell shall comply with Section E104.2.4."
E104.2.3,Section E104 Special Occupancies,Dwelling Units and Sleeping Units,,,,,,"Where dwelling units and sleeping units are altered or added, the requirements of Section E104.2 shall apply only to the units being altered or added until the number of units with accessible communication features complies with the minimum number required for new construction."
E104.2.4,Section E104 Special Occupancies,Notification Devices,,,,,,Visual notification devices shall be provided to alert room occupants of incoming telephone calls and a door knock or bell. Notification devices shall not be connected to visual alarm signal appliances. Permanently installed telephones shall have volume controls and an electrical outlet complying with ICC A117.1 located within 48 inches (1219 mm) of the telephone to facilitate the use of a TTY.
E105.1,Section E105 Other Features and Facilities,Portable Toilets and Bathing Rooms,,,,,,"Where multiple single-user portable toilet or bathing units are clustered at a single location, at least 5 percent, but not less than one toilet unit or bathing unit at each cluster, shall be accessible. Signs containing the International Symbol of Accessibility shall identify accessible portable toilets and bathing units.Exception: Portable toilet units provided for use exclusively by construction personnel on a construction site."
E105.2,Section E105 Other Features and Facilities,Laundry Equipment,,,,,,"Where provided in spaces required to be accessible, washing machines and clothes dryers shall comply with this section."
E105.2.1,Section E105 Other Features and Facilities,Washing Machines,,,,,,"Where three or fewer washing machines are provided, one or more shall be accessible. Where more than three washing machines are provided, two or more shall be accessible."
