id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
AE,,Manufactured Housing Used as Dwellings,,,,,,"The provisions contained in this appendix are not mandatory unless specifically referenced in the adopting ordinance.User note:About this appendix: Appendix AE regulates the installation, relocation, maintenance and repair of manufactured housing, including mobile homes. It addresses permits, fees, inspections, utility service, location on a lot and foundation systems. This appendix is not intended to regulate the design and construction of those portions of manufactured housing or mobile homes that are above the foundation system except where manufactured housing or mobile homes are moved or altered. Federal standards regulate those portions of manufactured housing and mobile homes that are above the foundation system."
AE101.1,Section AE101 Scope,General,,,,,,"The provisions of Appendix AE shall be applicable only to a manufactured home used as a single dwelling unit and shall apply to the following:Construction, alteration and repair of any foundation system necessary to provide for the installation of a manufactured home unit.Construction, installation, addition, alteration, repair or maintenance of the building service equipment necessary for connecting manufactured homes to water, fuel or power supplies and sewage systems.Alterations, additions or repairs to existing manufactured homes. The construction, alteration, moving, demolition, repair and use of accessory buildings and structures and their building service equipment shall comply with the requirements of the Connecticut State Building Code.These provisions shall not be applicable to the design and construction of manufactured homes and shall not be deemed to authorize either modifications or additions to manufactured homes where otherwise prohibited."
AE101.2,Section AE101 Scope,Flood Hazard Areas,,,,,,New and replacement manufactured homes to be installed in flood hazard areas as established in Table R301.2 shall meet the applicable requirements of Section R322.
AE102.1,Section AE102 Application to Existing Manufactured Homes and Building Service Equipment,General,,,,,,"Manufactured homes and their building service equipment to which additions, alterations or repairs are made shall comply with all the requirements of these provisions for new facilities, except as specifically provided in this section."
AE102.2,Section AE102 Application to Existing Manufactured Homes and Building Service Equipment,"Additions, Alterations or Repairs",,,,,,"Additions made to a manufactured home shall conform to one of the following:Be certified under the National Manufactured Housing Construction and Safety Standards Act of 1974 (42 U.S.C. Section 5401, et seq.).Be designed and constructed to comply with the applicable provisions of the National Manufactured Housing Construction and Safety Standards Act of 1974 (42 U.S.C. Section 5401, et seq.).Be designed and constructed in compliance with the code adopted by this jurisdiction.Additions shall be structurally separated from the manufactured home.Exception: A structural separation need not be provided where structural calculations are provided to justify the omission of such separation.Alterations or repairs may be made to any manufactured home or to its building service equipment without requiring the existing manufactured home or its building service equipment to comply with all the requirements of these provisions, provided that the alteration or repair conforms to that required for new construction, and provided further that hazard to life, health or safety will not be created by such additions, alterations or repairs.Alterations or repairs to an existing manufactured home, which are nonstructural and do not adversely affect any structural member or any part of the building or structure having required fire protection, shall be made with materials equivalent to those of which the manufactured home structure is constructed, subject to approval by the building official.Exception: The installation or replacement of glass shall be required for new installations.Minor additions, alterations and repairs to existing building service equipment installations may be made in accordance with the codes in effect at the time the original installation was made, subject to the approval of the building official, and provided that such additions, alterations and repairs will not cause the existing building service equipment to become unsafe, insanitary or overloaded."
AE102.3,Section AE102 Application to Existing Manufactured Homes and Building Service Equipment,Existing Installations,,,,,,"Building service equipment lawfully in existence at the time of the adoption of the applicable codes shall have their use, maintenance or repair continued if the use, maintenance or repair is in accordance with the original design and hazard to life, health or property has not been created by such building service equipment."
AE102.4,Section AE102 Application to Existing Manufactured Homes and Building Service Equipment,Existing Occupancy,,,,,,"Manufactured homes that are in existence at the time of the adoption of these provisions shall have their existing use or occupancy continued if such use or occupancy was legal at the time of the adoption of these provisions, provided that such continued use is not dangerous to life, health and safety.The use or occupancy of any existing manufactured home shall not be changed unless evidence satisfactory to the building official is provided to show compliance with all applicable provisions of the codes adopted by this jurisdiction. Upon any change in use or occupancy, the manufactured home shall cease to be classified as such within the intent of these provisions."
AE102.5,Section AE102 Application to Existing Manufactured Homes and Building Service Equipment,Maintenance,,,,,,"Manufactured homes and their building service equipment, existing and new, and all parts thereof, shall be maintained in a safe and sanitary condition. Devices or safeguards that are required by applicable codes or by the Manufactured Home Standards shall be maintained in conformance to the code or standard under which it was installed. The owner or the owner's designated agent shall be responsible for the maintenance of manufactured homes, accessory buildings, structures and their building service equipment. To determine compliance with this section, the building official has the authority to cause any manufactured home, accessory building or structure to be reinspected."
AE102.6,Section AE102 Application to Existing Manufactured Homes and Building Service Equipment,Relocation,,,,,,Manufactured homes that are to be relocated within this jurisdiction shall comply with these provisions.
AE103.1,Section AE103 Definitions,General,,,,,,"For the purpose of these provisions, certain abbreviations, terms, phrases, words and their derivatives shall be construed as defined or specified herein.ACCESSORY BUILDING. Any building or structure or portion thereto, located on the same property as a manufactured home, which does not qualify as a manufactured home as defined herein.BUILDING SERVICE EQUIPMENT. Refers to the plumbing, mechanical and electrical equipment, including piping, wiring, fixtures and other accessories that provide sanitation, lighting, heating, ventilation, cooling, fire protection and facilities essential for the habitable occupancy of a manufactured home or accessory building or structure for its designated use and occupancy.MANUFACTURED HOME. A structure transportable in one or more sections that, in the traveling mode, is 8 body feet (2438 body mm) or more in width or 40 body feet (12 192 body mm) or more in length or, where erected on site, is 320 or more square feet (30 m2), and is built on a permanent chassis and designed to be used as a dwelling with or without a permanent foundation when connected to the required utilities, and includes the plumbing, heating, air-conditioning and electrical systems contained therein; except that such term shall include any structure that meets all of the requirements of this paragraph, except the size requirements and with respect to which the manufacturer voluntarily files a certification required by the Secretary of the US Department of Housing and Urban Development (HUD) and complies with the standards established under this title.For mobile homes built prior to June 15, 1976, a label certifying compliance with the Standard for Mobile Homes, NFPA 501, ANSI 119.1, in effect at the time of manufacture, is required. For the purpose of these provisions, a mobile home shall be considered to be a manufactured home.MANUFACTURED HOME INSTALLATION. Construction that is required for the installation of a manufactured home, including the construction of the foundation system, required structural connections thereto and the installation of on-site water, gas, electrical and sewer systems and connections thereto that are necessary for the normal operation of the manufactured home.MANUFACTURED HOME STANDARDS. The Manufactured Home Construction and Safety Standards as promulgated by the HUD.PRIVATELY OWNED (NONRENTAL) LOT. A parcel of real estate outside of a manufactured home rental community (park) where the land and the manufactured home to be installed thereon are held in common ownership."
