id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
AH,,Patio Covers,,,,,,"The provisions contained in this appendix are not mandatory unless specifically referenced in the adopting ordinance.User note:About this appendix: Appendix AH relaxes certain provisions contained in the body of the code as related to patio covers, including those regarding: permitted uses; exterior wall insect screens; glazing and translucent or transparent plastic; light, ventilation and emergency egress; height; structural design loads; and footings. This appendix also includes provisions that are specifically applicable to hurricane-prone regions."
AH101.1,Section AH101 General,Scope,,,,,,Patio covers shall conform to the requirements of Sections AH101 through AH106.
AH101.2,Section AH101 General,Permitted Uses,,,,,,"Patio covers detached from or attached to dwelling units shall be used only for recreational, outdoor living purposes, and not as carports, garages, storage rooms or habitable rooms."
AH102.1,Section AH102 Definition,General,,,,,,"The following word and term shall, for the purposes of this appendix, have the meaning shown herein.PATIO COVER. A structure with open or glazed walls that is used for recreational, outdoor living purposes associated with a dwelling unit."
AH103.1,Section AH103 Exterior Walls and Openings,Enclosure Walls,,,,,,"Enclosure walls shall be permitted to be of any configuration, provided that the open or glazed area of the longer wall and one additional wall is not less than 65 percent of the area below 6 feet 8 inches (2032 mm) of each wall, measured from the floor. Openings shall be enclosed with any of the following:Insect screening.Approved translucent or transparent plastic not more than 0.125 inch (3.2 mm) in thickness.Glass conforming to the provisions of Section R308.Any combination of the foregoing."
AH103.2,Section AH103 Exterior Walls and Openings,"Light, Ventilation and Emergency Egress",,,,,,"Exterior openings required for light and ventilation into a patio structure conforming to Section AH101 shall be unenclosed where such openings serve as emergency egress or rescue openings from sleeping rooms. Where such exterior openings serve as an exit from the dwelling unit, the patio structure, unless unenclosed, shall be provided with exits conforming to the provisions of Section R311."
AH104.1,Section AH104 Height,Height,,,,,,Patio covers are limited to one-story structures not exceeding 12 feet (3657 mm) in height.
AH105.1,Section AH105 Structural Provisions,Design Loads,,,,,,"Patio covers shall be designed and constructed to sustain, within the stress limits of this code, all dead loads plus a vertical live load of not less than 10 pounds per square foot (0.48 kN/m2), except that snow loads shall be used where such snow loads exceed this minimum. Such covers shall be designed to resist the minimum wind loads set forth in Section R301.2.1."
AH105.2,Section AH105 Structural Provisions,Footings,,,,,,"In areas with a frostline depth of zero as specified in Table R301.2, for patio covers supported on a slab-on-grade without footings, the slab shall conform to the provisions of Section R506, shall be not less than 3.5 inches (89 mm) thick and the columns shall not support live and dead loads in excess of 750 pounds (3.34 kN) per column."
AH106.1,Section AH106 Special Provisions for Aluminum Screen Enclosures in Hurricane-Prone Regions,General,,,,,,Screen enclosures in hurricane-prone regions shall be in accordance with the provisions of this section.
AH106.1.1,Section AH106 Special Provisions for Aluminum Screen Enclosures in Hurricane-Prone Regions,Habitable Spaces,,,,,,Screen enclosures shall not be considered habitable spaces.
AH106.1.2,Section AH106 Special Provisions for Aluminum Screen Enclosures in Hurricane-Prone Regions,Minimum Ceiling Height,,,,,,Screen enclosures shall have a ceiling height of not less than 7 feet (2134 mm).
AH106.2,Section AH106 Special Provisions for Aluminum Screen Enclosures in Hurricane-Prone Regions,Definition,,,,,,"The following word and term shall, for the purposes of this appendix, have the meaning shown herein.SCREEN ENCLOSURE. A building or part thereof, in whole or in part self-supporting, and having walls of insect screening, and a roof of insect screening, plastic, aluminum or similar lightweight material."
AH106.3,Section AH106 Special Provisions for Aluminum Screen Enclosures in Hurricane-Prone Regions,Screen Enclosures,,,,,,Screen enclosures shall comply with Sections AH106.3.1 and AH106.3.2.
AH106.3.1,Section AH106 Special Provisions for Aluminum Screen Enclosures in Hurricane-Prone Regions,Thickness,,,,,,Actual wall thickness of extruded aluminum members shall be not less than 0.040 inch (1.02 mm).
AH106.3.2,Section AH106 Special Provisions for Aluminum Screen Enclosures in Hurricane-Prone Regions,Density,,,,,,Screen density shall be not more than 20 threads per inch by 20 threads per inch mesh.
AH106.4,Section AH106 Special Provisions for Aluminum Screen Enclosures in Hurricane-Prone Regions,Design,,,,,,The structural design of screen enclosures shall comply with Sections AH106.4.1 through AH106.4.3.
AH106.4.1,Section AH106 Special Provisions for Aluminum Screen Enclosures in Hurricane-Prone Regions,Wind Load,,,,,,"Structural members supporting screen enclosures shall be designed to support the minimum wind loads given in Tables AH106.4.1(1) and AH106.4.1(2) for the ultimate design wind speed, Vult, determined from Figure AH106.4.1. Where any value is less than 10 pounds per square foot (psf) (0.479 kN/m2) use 10 pounds per square foot (0.479 kN/m2).For SI: 1 foot = 304.8 mm, 1 mph = 0.447 m/s.Notes:Values are nominal design 3-second gust wind speeds in miles per hour (m/s) at 33 feet above ground for Exposure C category.Linear interpolation between contours is permitted.Islands and coastal areas outside the last contour shall use the last wind speed contour of the coastal area.Mountainous terrain, gorges, ocean promontories and special wind regions shall be examined for unusual wind conditions.Wind speeds correspond to approximately a 7-percent probability of exceedence in 50 years (Annual Exceedence Probability = 0.00143, MRI = 700 years).FIGURE AH106.4.1ULTIMATE DESIGN WIND SPEEDS FOR PATIO COVERS AND SCREEN ENCLOSURESTABLE AH106.4.1(1)DESIGN WIND PRESSURES FOR SCREEN ENCLOSURE FRAMINGa, b, e, f, g, hLOAD CASEWALLULTIMATE DESIGN WIND SPEED, Vult (mph)9095100105110120130140150160170180Exposure Category B Design Pressure (psf)AcWindward and leeward walls (flow thru) and windward wall (nonflow thru) L/W = 0-1566789111314161821AcWindward and leeward walls (flow thru) and windward wall (nonflow thru) L/W = 26778911121416192124BdWindward: Nongable roof789101113151821232630BdWindward: Gable roof101011131416192226293337ROOFAlleRoof-screen222333445677AlleRoof-solid6678810121315182022For SI: 1 inch = 25.4 mm, 1 mile per hour = 0.44 m/s, 1 pound per square foot = 0.0479 kPa, 1 foot = 304.8 mm.Design pressure shall be not less than 10 psf in accordance with Section AH106.4.1.Loads are applicable to screen enclosures with a mean roof height of 30 feet or less in Exposure B. For screen enclosures of different heights or exposure, the pressures given shall be adjusted by multiplying the table pressure by the adjustment factor given in Table AH106.4.1(2).For Load Case A flow-thru condition, the pressure given shall be applied simultaneously to both the upwind and downwind screen walls acting in the same direction as the wind. The structure shall be analyzed for wind coming from the opposite direction. For the nonflow-thru condition, the screen enclosure wall shall be analyzed for the load applied acting toward the interior of the enclosure.For Load Case B, the table pressure multiplied by the projected frontal area of the screen enclosure is the total drag force, including drag on screen surfaces parallel to the wind, that must be transmitted to the ground. Use Load Case A for members directly supporting the screen surface perpendicular to the wind. Load Case B loads shall be applied only to structural members that carry wind loads from more than one surface.The roof structure shall be analyzed for the pressure given occurring both upward and downward.Table pressures are MWFRS loads. The design of solid roof panels and their attachments shall be based on component and cladding loads for enclosed or partially enclosed structures as appropriate.Table pressures apply to 20-inch by 20-inch by 0.013-inch mesh screen. For 18-inch by 14-inch by 0.013-inch mesh screen, pressures on screen surfaces shall be permitted to be multiplied by 0.88. For screen densities greater than 20 inches by 20 inches by 0.013 inch, pressures for enclosed buildings shall be used.Linear interpolation shall be permitted.TABLE AH106.4.1(2)ADJUSTMENT FACTOR FOR BUILDING HEIGHT AND EXPOSUREMEAN ROOF HEIGHT (feet)EXPOSUREBCD151.001.211.47201.001.291.55251.001.351.61301.001.401.66351.051.451.70401.091.491.74451.121.531.78501.161.561.81551.191.591.84601.221.621.87For SI: 1 foot = 304.8 mm."
AH106.4.2,Section AH106 Special Provisions for Aluminum Screen Enclosures in Hurricane-Prone Regions,Deflection Limit,,,,,,"For members supporting screen surfaces only, the total load deflection shall not exceed l/60. Screen surfaces shall be permitted to include not more than 25-percent solid flexible finishes."
AH106.4.3,Section AH106 Special Provisions for Aluminum Screen Enclosures in Hurricane-Prone Regions,Roof Live Load,,,,,,The roof live load shall be not less than 10 psf (0.479 kN/m2).
AH106.5,Section AH106 Special Provisions for Aluminum Screen Enclosures in Hurricane-Prone Regions,Footings,,,,,,"In areas with a frost line depth of zero, screen enclosures supported on a concrete slab-on-grade without footings shall conform to the provisions of Section R506, be not less than 31/2 inches (89 mm) thick and the columns shall not support loads in excess of 750 pounds (3.36 kN) per column."
