id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
3,,General Regulations,,,,,,"User note:About this chapter: Chapter 3 addresses many unrelated topics that would be out of place in other chapters that address specific subjects. Topics include listing and labeling, structural safety, appliance locations, access, combustion air, installation requirements, clearances, electrical bonding and condensate disposal."
301.1,Section 301 (IFGC) General,Scope,,,,,,This chapter shall govern the approval and installation of all equipment and appliances that comprise parts of the installations regulated by this code in accordance with Section 101.2.
301.1.1,Section 301 (IFGC) General,Other Fuels,,,,,,The requirements for combustion and dilution air for gas-fired appliances shall be governed by Section 304. The requirements for combustion and dilution air for appliances operating with fuels other than fuel gas shall be regulated by the International Mechanical Code.
301.2,Section 301 (IFGC) General,Energy Utilization,,,,,,"Heating, ventilating and air-conditioning systems of all structures shall be designed and installed for efficient utilization of energy in accordance with the International Energy Conservation Code."
301.3,Section 301 (IFGC) General,Listed and Labeled,,,,,,Appliances regulated by this code shall be listed and labeled for the application in which they are used unless otherwise approved in accordance with Section 105. The approval of unlisted appliances in accordance with Section 105 shall be based on approved engineering evaluation.
301.4,Section 301 (IFGC) General,Labeling,,,,,,Labeling shall be in accordance with the procedures set forth in Sections 301.4.1 through 301.4.2.3.
301.4.1,Section 301 (IFGC) General,Testing,,,,,,An approved agency shall test a representative sample of the appliances being labeled to the relevant standard or standards. The approved agency shall maintain a record of all of the tests performed. The record shall provide sufficient detail to verify compliance with the test standard.
301.4.2,Section 301 (IFGC) General,Inspection and Identification,,,,,,"The approved agency shall periodically perform an inspection, which shall be in-plant if necessary, of the appliances to be labeled. The inspection shall verify that the labeled appliances are representative of the appliances tested."
301.4.2.1,Section 301 (IFGC) General,Independent,,,,,,"The agency to be approved shall be objective and competent. To confirm its objectivity, the agency shall disclose all possible conflicts of interest."
301.4.2.2,Section 301 (IFGC) General,Equipment,,,,,,An approved agency shall have adequate equipment to perform all required tests. The equipment shall be periodically calibrated.
301.4.2.3,Section 301 (IFGC) General,Personnel,,,,,,"An approved agency shall employ experienced personnel educated in conducting, supervising and evaluating tests."
301.5,Section 301 (IFGC) General,Label Information,,,,,,"A permanent factory-applied nameplate(s) shall be affixed to appliances on which shall appear in legible lettering, the manufacturer's name or trademark, the model number, serial number and, for listed appliances, the seal or mark of the testing agency. A label shall include the hourly rating in British thermal units per hour (Btu/h) (W); the type of fuel approved for use with the appliance; and the minimum clearance requirements."
301.6,Section 301 (IFGC) General,Plumbing Connections,,,,,,Potable water supply and building drainage system connections to appliances regulated by this code shall be in accordance with the International Plumbing Code.
301.7,Section 301 (IFGC) General,Fuel Types,,,,,,Appliances shall be designed for use with the type of fuel gas that will be supplied to them.
301.7.1,Section 301 (IFGC) General,Appliance Fuel Conversion,,,,,,"Appliances shall not be converted to utilize a different fuel gas except where complete instructions for such conversion are provided in the installation instructions, by the serving gas supplier or by the appliance manufacturer."
301.8,Section 301 (IFGC) General,Vibration Isolation,,,,,,"Where means for isolation of vibration of an appliance is installed, an approved means for support and restraint of that appliance shall be provided."
301.9,Section 301 (IFGC) General,Repair,,,,,,Defective material or parts shall be replaced or repaired in such a manner so as to preserve the original approval or listing.
301.10,Section 301 (IFGC) General,Wind Resistance,,,,,,Appliances and supports that are exposed to wind shall be designed and installed to resist the wind pressures determined in accordance with the International Building Code.
301.11,Section 301 (IFGC) General,Flood Hazard,,,,,,"For structures located in flood hazard areas, the appliance, equipment and system installations regulated by this code shall be located at or above the elevation required by Section 1612 of the International Building Code for utilities and attendant equipment. Exception: The appliance, equipment and system installations regulated by this code are permitted to be located below the elevation required by Section 1612 of the International Building Code for utilities and attendant equipment provided that they are designed and installed to prevent water from entering or accumulating within the components and to resist hydrostatic and hydrodynamic loads and stresses, including the effects of buoyancy, during the occurrence of flooding to such elevation."
301.12,Section 301 (IFGC) General,Seismic Resistance,,,,,,"Where earthquake loads are applicable in accordance with the International Building Code, the supports shall be designed and installed for the seismic forces in accordance with that code."
301.13,Section 301 (IFGC) General,Ducts,,,,,,Ducts required for the installation of systems regulated by this code shall be designed and installed in accordance with the International Mechanical Code.
301.14,Section 301 (IFGC) General,Rodentproofing,,,,,,"Buildings or structures and the walls enclosing habitable or occupiable rooms and spaces in which persons live, sleep or work, or in which feed, food or foodstuffs are stored, prepared, processed, served or sold, shall be constructed to protect against rodents in accordance with the International Building Code."
301.15,Section 301 (IFGC) General,Prohibited Location,,,,,,"The appliances, equipment and systems regulated by this code shall not be located in an elevator shaft."
302.1,Section 302 (IFGC) Structural Safety,Structural Safety,,,,,,"The building shall not be weakened by the installation of any gas piping. In the process of installing or repairing any gas piping, the finished floors, walls, ceilings, tile work or any other part of the building or premises that is required to be changed or replaced shall be left in a safe structural condition in accordance with the requirements of the International Building Code."
