id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
5,,Chimneys and Vents,,,,,,"User note:About this chapter: The majority of gas-fired appliances have their combustion products vented to the outdoors. Venting is by means of chimneys, vents, integral vents, direct-vents and power exhausters. Chapter 5 includes design, sizing and installation requirements for chimneys and vents and requirements for matching the appliance type to the appropriate venting system. Venting system termination location requirements are also addressed."
501.1,Section 501 (IFGC) General,Scope,,,,,,"This chapter shall govern the installation, maintenance, repair and approval of factory-built chimneys, chimney liners, vents and connectors and the utilization of masonry chimneys serving gas-fired appliances. The requirements for the installation, maintenance, repair and approval of factory-built chimneys, chimney liners, vents and connectors serving appliances burning fuels other than fuel gas shall be regulated by the International Mechanical Code. The construction, repair, maintenance and approval of masonry chimneys shall be regulated by the International Building Code."
501.2,Section 501 (IFGC) General,General,,,,,,"Every appliance shall discharge the products of combustion to the outdoors, except for appliances exempted by Section 501.8."
501.3,Section 501 (IFGC) General,Masonry Chimneys,,,,,,Masonry chimneys shall be constructed in accordance with Section 503.5.3 and the International Building Code.
501.4,Section 501 (IFGC) General,Minimum Size of Chimney or Vent,,,,,,Chimneys and vents shall be sized in accordance with Sections 503 and 504.
501.5,Section 501 (IFGC) General,Abandoned Inlet Openings,,,,,,Abandoned inlet openings in chimneys and vents shall be closed by an approved method.
501.6,Section 501 (IFGC) General,Positive Pressure,,,,,,"Where an appliance equipped with a mechanical forced draft system creates a positive pressure in the venting system, the venting system shall be designed for positive pressure applications."
501.7,Section 501 (IFGC) General,Connection to Fireplace,,,,,,Connection of appliances to chimney flues serving fireplaces shall be in accordance with Sections 501.7.1 through 501.7.3.
501.7.1,Section 501 (IFGC) General,Closure and Access,,,,,,A noncombustible seal shall be provided below the point of connection to prevent entry of room air into the flue. Means shall be provided for access to the flue for inspection and cleaning.
501.7.2,Section 501 (IFGC) General,Connection to Factory-Built Fireplace Flue,,,,,,An appliance shall not be connected to a flue serving a factory-built fireplace unless the appliance is specifically listed for such installation. The connection shall be made in accordance with the appliance manufacturer's installation instructions.
501.7.3,Section 501 (IFGC) General,Connection to Masonry Fireplace Flue,,,,,,A connector shall extend from the appliance to the flue serving a masonry fireplace such that the flue gases are exhausted directly into the flue. The connector shall be accessible or removable for inspection and cleaning of both the connector and the flue. Listed direct connection devices shall be installed in accordance with their listing.
