id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
6,,Specific Appliances,,,,,,"User note:About this chapter: Similar to Chapter 9 of the International Mechanical Code®, Chapter 6 of this code addresses specific types of appliances in detail. Requirements include listing and labeling, installation, location, clearances, venting and exhausting, controls, support and combustion and ventilation air."
601.1,Section 601 (IFGC) General,Scope,,,,,,"This chapter shall govern the approval, design, installation, construction, maintenance, alteration and repair of the appliances and equipment specifically identified herein."
602.1,Section 602 (IFGC) Decorative Appliances for Installation in Fireplaces,General,,,,,,Decorative appliances for installation in approved solid fuel-burning fireplaces shall be listed in accordance with ANSI Z21.60/CSA 2.26 and shall be installed in accordance with the manufacturer's instructions. Manually lighted natural gas decorative appliances shall be listed in accordance with ANSI Z21.84.
602.2,Section 602 (IFGC) Decorative Appliances for Installation in Fireplaces,Flame Safeguard Device,,,,,,"Decorative appliances for installation in approved solid fuel-burning fireplaces, with the exception of those listed in accordance with ANSI Z21.84, shall utilize a direct ignition device, an ignitor or a pilot flame to ignite the fuel at the main burner, and shall be equipped with a flame safeguard device. The flame safeguard device shall automatically shut off the fuel supply to a main burner or group of burners when the means of ignition of such burners becomes inoperative."
602.3,Section 602 (IFGC) Decorative Appliances for Installation in Fireplaces,Prohibited Installations,,,,,,Decorative appliances for installation in fireplaces shall not be installed where prohibited by Section 303.3.
603.1,Section 603 (IFGC) Log Lighters,General,,,,,,Log lighters shall be listed in accordance with CSA 8 and installed in accordance with the manufacturer's instructions.
604.1,Section 604 (IFGC) Vented Gas Fireplaces (Decorative Appliances),General,,,,,,"Vented gas fireplaces shall be listed in accordance with ANSI Z21.50/CSA 2.22, shall be installed in accordance with the manufacturer's instructions and shall be designed and equipped as specified in Section 602.2."
604.2,Section 604 (IFGC) Vented Gas Fireplaces (Decorative Appliances),Access,,,,,,"Panels, grilles and access doors that are required to be removed for normal servicing operations shall not be attached to the building."
605.1,Section 605 (IFGC) Vented Gas Fireplace Heaters,General,,,,,,"Vented gas fireplace heaters shall be installed in accordance with the manufacturer's instructions, shall be listed in accordance with ANSI Z21.88/CSA 2.33 and shall be designed and equipped as specified in Section 602.2."
606.1,Section 606 (IFGC) Incinerators and Crematories,General,,,,,,Incinerators and crematories shall be installed in accordance with the manufacturer's instructions.
607.1,Section 607 (IFGC) Commercial-Industrial Incinerators,"Incinerators, Commercial-Industrial",,,,,,Commercial-industrial-type incinerators shall be constructed and installed in accordance with NFPA 82.
608.1,Section 608 (IFGC) Vented Wall Furnaces,General,,,,,,Vented wall furnaces shall be listed in accordance with ANSI Z21.86/CSA 2.32 and shall be installed in accordance with the manufacturer's instructions.
608.2,Section 608 (IFGC) Vented Wall Furnaces,Venting,,,,,,Vented wall furnaces shall be vented in accordance with Section 503.
608.3,Section 608 (IFGC) Vented Wall Furnaces,Location,,,,,,"Vented wall furnaces shall be located so as not to cause a fire hazard to walls, floors, combustible furnishings or doors. Vented wall furnaces installed between bathrooms and adjoining rooms shall not circulate air from bathrooms to other parts of the building."
608.4,Section 608 (IFGC) Vented Wall Furnaces,Door Swing,,,,,,Vented wall furnaces shall be located so that a door cannot swing within 12 inches (305 mm) of an air inlet or air outlet of such furnace measured at right angles to the opening. Doorstops or door closers shall not be installed to obtain this clearance.
608.5,Section 608 (IFGC) Vented Wall Furnaces,Ducts Prohibited,,,,,,Ducts shall not be attached to wall furnaces. Casing extension boots shall not be installed unless listed as part of the appliance.
608.6,Section 608 (IFGC) Vented Wall Furnaces,Access,,,,,,"Vented wall furnaces shall be provided with access for cleaning of heating surfaces, removal of burners, replacement of sections, motors, controls, filters and other working parts, and for adjustments and lubrication of parts requiring such attention. Panels, grilles and access doors that are required to be removed for normal servicing operations shall not be attached to the building construction."
609.1,Section 609 (IFGC) Floor Furnaces,General,,,,,,Floor furnaces shall be listed in accordance with ANSI Z21.86/CSA 2.32 and shall be installed in accordance with the manufacturer's instructions.
609.2,Section 609 (IFGC) Floor Furnaces,Placement,,,,,,"The following provisions apply to floor furnaces: Floors. Floor furnaces shall not be installed in the floor of any doorway, stairway landing, aisle or passageway of any enclosure, public or private, or in an exitway from any such room or space.Walls and corners. The register of a floor furnace with a horizontal warm-air outlet shall not be placed closer than 6 inches (152 mm) to the nearest wall. A distance of not less than 18 inches (457 mm) from two adjoining sides of the floor furnace register to walls shall be provided to eliminate the necessity of occupants walking over the warm-air discharge. The remaining sides shall be permitted to be placed not closer than 6 inches (152 mm) to a wall. Wall-register models shall not be placed closer than 6 inches (152 mm) to a corner.Draperies. The furnace shall be placed so that a door, drapery or similar object cannot be nearer than 12 inches (305 mm) to any portion of the register of the furnace.Floor construction. Floor furnaces shall not be installed in concrete floor construction built on grade.Thermostat. The controlling thermostat for a floor furnace shall be located within the same room or space as the floor furnace or shall be located in an adjacent room or space that is permanently open to the room or space containing the floor furnace."
609.3,Section 609 (IFGC) Floor Furnaces,Bracing,,,,,,The floor around the furnace shall be braced and headed with a support framework designed in accordance with the International Building Code.
609.4,Section 609 (IFGC) Floor Furnaces,Clearance,,,,,,"The lowest portion of the floor furnace shall have not less than a 6-inch (152 mm) clearance from the grade level; except where the lower 6-inch (152 mm) portion of the floor furnace is sealed by the manufacturer to prevent entrance of water, the minimum clearance shall be not less than 2 inches (51 mm). Where such clearances cannot be provided, the ground below and to the sides shall be excavated to form a pit under the furnace so that the required clearance is provided beneath the lowest portion of the furnace. A 12-inch (305 mm) minimum clearance shall be provided on all sides except the control side, which shall have an 18-inch (457 mm) minimum clearance."
609.5,Section 609 (IFGC) Floor Furnaces,First Floor Installation,,,,,,"Where the basement story level below the floor in which a floor furnace is installed is utilized as habitable space, such floor furnaces shall be enclosed as specified in Section 609.6 and shall project into a nonhabitable space."
609.6,Section 609 (IFGC) Floor Furnaces,Upper Floor Installations,,,,,,"Floor furnaces installed in upper stories of buildings shall project below into nonhabitable space and shall be separated from the nonhabitable space by an enclosure constructed of noncombustible materials. The floor furnace shall be provided with access, clearance to all sides and bottom of not less than 6 inches (152 mm) and combustion air in accordance with Section 304."
610.1,Section 610 (IFGC) Duct Furnaces,General,,,,,,Duct furnaces shall be listed in accordance with ANSI Z83.8/CSA 2.6 or UL 795 and shall be installed in accordance with the manufacturer's instructions.
610.2,Section 610 (IFGC) Duct Furnaces,Access Panels,,,,,,Ducts connected to duct furnaces shall have removable access panels on both the upstream and downstream sides of the furnace.
610.3,Section 610 (IFGC) Duct Furnaces,Location of Draft Hood and Controls,,,,,,"The controls, combustion air inlets and draft hoods for duct furnaces shall be located outside of the ducts. The draft hood shall be located in the same enclosure from which combustion air is taken."
610.4,Section 610 (IFGC) Duct Furnaces,Circulating Air,,,,,,"Where a duct furnace is installed so that supply ducts convey air to areas outside the space containing the furnace, the return air shall be conveyed by a duct(s) sealed to the furnace casing and terminating outside the space containing the furnace. The duct furnace shall be installed on the positive pressure side of the circulating air blower."
611.1,Section 611 (IFGC) Nonrecirculating Direct-Fired Industrial Air Heaters,General,,,,,,Nonrecirculating direct-fired industrial air heaters shall be listed to ANSI Z83.4/CSA 3.7 and shall be installed in accordance with the manufacturer's instructions.
611.2,Section 611 (IFGC) Nonrecirculating Direct-Fired Industrial Air Heaters,Installation,,,,,,Nonrecirculating direct-fired industrial air heaters shall not be used to supply any area containing sleeping quarters. Nonrecirculating direct-fired industrial air heaters shall be permitted to provide ventilation air.
611.3,Section 611 (IFGC) Nonrecirculating Direct-Fired Industrial Air Heaters,Clearance From Combustible Materials,,,,,,Nonrecirculating direct-fired industrial air heaters shall be installed with a clearance from combustible materials of not less than that shown on the rating plate and in the manufacturer's instructions.
611.4,Section 611 (IFGC) Nonrecirculating Direct-Fired Industrial Air Heaters,Supply Air,,,,,,"All air handled by a nonrecirculating direct-fired industrial air heater, including combustion air, shall be ducted directly from the outdoors."
611.5,Section 611 (IFGC) Nonrecirculating Direct-Fired Industrial Air Heaters,Outdoor Air Louvers,,,,,,"If outdoor air louvers of either the manual or automatic type are used, such devices shall be proven to be in the open position prior to allowing the main burners to operate."
