id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
7,,Gaseous Hydrogen Systems,,,,,,"User note:About this chapter: Chapter 7 is specific to hydrogen used as a fuel or feedstock for appliances, processes and fuel cells. Requirements address hydrogen generation, storage, dispensing, piping, location, operation and maintenance of hydrogen generation, storage and distribution systems."
701.1,Section 701 (IFGC) General,Scope,,,,,,The installation of gaseous hydrogen systems shall comply with this chapter and Chapters 53 and 58 of the International Fire Code. Compressed gases shall also comply with Chapter 50 of the International Fire Code for general requirements.
701.2,Section 701 (IFGC) General,Permits,,,,,,Permits shall be required as set forth in Section 106 and as required by the International Fire Code.
702.1,Section 702 (IFGC) General Definitions,Definitions,,,,,,"The following words and terms shall, for the purposes of this chapter and as used elsewhere in this code, have the meanings shown herein. [F] GASEOUS HYDROGEN SYSTEM. An assembly of piping, devices and apparatus designed to generate, store, contain, distribute or transport a nontoxic, gaseous hydrogen containing mixture having at least 95-percent hydrogen gas by volume and not more than 1-percent oxygen by volume. Gaseous hydrogen systems consist of items such as compressed gas containers, reactors and appurtenances, including pressure regulators, pressure relief devices, manifolds, pumps, compressors and interconnecting piping and tubing and controls.[F] HYDROGEN FUEL-GAS ROOM. A room or space that is intended exclusively to house a gaseous hydrogen system.HYDROGEN-GENERATING APPLIANCE. A self-contained package or factory-matched packages of integrated systems for generating gaseous hydrogen. Hydrogen-generating appliances utilize electrolysis, reformation, chemical or other processes to generate hydrogen."
703.1,Section 703 (IFGC) General Requirements,Hydrogen-Generating and Refueling Operations,,,,,,"Hydrogen-generating and refueling appliances shall be installed and located in accordance with their listing and the manufacturer's instructions. Exhaust ventilation shall be required in public garages, private garages, repair garages, automotive motor fuel-dispensing facilities and parking garages that contain hydrogen-generating appliances or refueling systems in accordance with NFPA 2. For the purpose of this section, rooms or spaces that are not part of the living space of a dwelling unit and that communicate directly with a private garage through openings shall be considered to be part of the private garage."
703.2,Section 703 (IFGC) General Requirements,"Containers, Cylinders and Tanks",,,,,,"Compressed gas containers, cylinders and tanks shall comply with Chapters 53 and 58 of the International Fire Code."
703.2.1,Section 703 (IFGC) General Requirements,Limitations for Indoor Storage and Use,,,,,,Flammable gas cylinders in occupancies regulated by the International Residential Code shall not exceed 250 cubic feet (7.1 m3) at normal temperature and pressure (NTP).
703.2.2,Section 703 (IFGC) General Requirements,Design and Construction,,,,,,"Compressed gas containers, cylinders and tanks shall be designed, constructed and tested in accordance with Chapter 50 of the International Fire Code, ASME Boiler and Pressure Vessel Code (Section VIII) or DOTn 49 CFR, Parts 100-180."
703.3,Section 703 (IFGC) General Requirements,Pressure Relief Devices,,,,,,"Pressure relief devices shall be provided in accordance with Sections 703.3.1 through 703.3.8. Pressure relief devices shall be sized and selected in accordance with CGA S-1.1, CGA S-1.2 and CGA S-1.3."
703.3.1,Section 703 (IFGC) General Requirements,Valves Between Pressure Relief Devices and Containers,,,,,,"Valves including shutoffs, check valves and other mechanical restrictions shall not be installed between the pressure relief device and container being protected by the relief device. Exception: A locked-open shutoff valve on containers equipped with multiple pressure relief device installations where the arrangement of the valves provides the full required flow through the minimum number of required relief devices at all times."
703.3.2,Section 703 (IFGC) General Requirements,Installation,,,,,,Valves and other mechanical restrictions shall not be located between the pressure relief device and the point of release to the atmosphere.
703.3.3,Section 703 (IFGC) General Requirements,Containers,,,,,,"Containers shall be provided with pressure relief devices in accordance with the ASME Boiler and Pressure Vessel Code (Section VIII), DOTn 49 CFR, Parts 100-180 and Section 703.3.7."
703.3.4,Section 703 (IFGC) General Requirements,Vessels Other Than Containers,,,,,,"Vessels other than containers shall be protected with pressure relief devices in accordance with the ASME Boiler and Pressure Vessel Code (Section VIII), or DOTn 49 CFR, Parts 100-180."
703.3.5,Section 703 (IFGC) General Requirements,Sizing,,,,,,Pressure relief devices shall be sized in accordance with the specifications to which the container was fabricated. The relief device shall be sized to prevent the maximum design pressure of the container or system from being exceeded.
703.3.6,Section 703 (IFGC) General Requirements,Protection,,,,,,"Pressure relief devices and any associated vent piping shall be designed, installed and located so that their operation will not be affected by water or other debris accumulating inside the vent or obstructing the vent."
703.3.7,Section 703 (IFGC) General Requirements,Access,,,,,,Pressure relief devices shall be located such that they are provided with ready access for inspection and repair.
703.3.8,Section 703 (IFGC) General Requirements,Configuration,,,,,,"Pressure relief devices shall be arranged to discharge unobstructed in accordance with Section 2309 of the International Fire Code. Discharge shall be directed to the outdoors in such a manner as to prevent impingement of escaping gas on personnel, containers, equipment and adjacent structures and to prevent introduction of escaping gas into enclosed spaces. The discharge shall not terminate under eaves or canopies. Exception: This section shall not apply to DOTn-specified containers with an internal volume of 2 cubic feet (0.057 m3) or less."
703.4,Section 703 (IFGC) General Requirements,Venting,,,,,,Relief device vents shall be terminated in an approved location in accordance with Section 2309 of the International Fire Code.
703.5,Section 703 (IFGC) General Requirements,Security,,,,,,"Compressed gas containers, cylinders, tanks and systems shall be secured against accidental dislodgement in accordance with Chapter 53 of the International Fire Code."
703.6,Section 703 (IFGC) General Requirements,Electrical Wiring and Equipment,,,,,,Electrical wiring and equipment shall comply with NFPA 70.
704.1,"Section 704 (IFGC) Piping, Use and Handling",Applicability,,,,,,"Use and handling of containers, cylinders, tanks and hydrogen gas systems shall comply with this section. Gaseous hydrogen systems, equipment and machinery shall be listed or approved."
704.1.1,"Section 704 (IFGC) Piping, Use and Handling",Controls,,,,,,"Compressed gas system controls shall be designed to prevent materials from entering or leaving process or reaction systems at other than the intended time, rate or path. Automatic controls shall be designed to be fail safe in accordance with accepted engineering practice."
