id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
1,,Scope and Administration,,,,,,"User note:About this chapter: Chapter 1 establishes the limits of applicability of the code and describes how the code is to be applied and enforced. Chapter 1 is in two parts: Part 1—Scope and Application and Part 2—Administration and Enforcement. Section 101 identifies what buildings, systems, appliances and equipment fall under its purview and references other I-Codes as applicable. Standards and codes are scoped to the extent referenced.The code is intended to be adopted as a legally enforceable document and it cannot be effective without adequate provisions for its administration and enforcement. The provisions of Chapter 1 establish the authority and duties of the code official appointed by the authority having jurisdiction and also establish the rights and privileges of the design professional, contractor and property owner."
101.1,Section 101 Scope and General Requirements,Title,,,,,,"These regulations shall be known as the Mechanical Code of [NAME OF JURISDICTION], hereinafter referred to as ""this code."""
101.2,Section 101 Scope and General Requirements,Scope,,,,,,"This code shall regulate the design, installation, maintenance, alteration and inspection of mechanical systems that are permanently installed and utilized to provide control of environmental conditions and related processes within buildings. This code shall also regulate those mechanical systems, system components, equipment and appliances specifically addressed herein. The installation of fuel gas distribution piping and equipment, fuel gas-fired appliances and fuel gas-fired appliance venting systems shall be regulated by the International Fuel Gas Code. Exception: Detached one- and two-family dwellings and townhouses not more than three stories above grade plane in height with a separate means of egress and their accessory structures not more than three stories above grade plane in height shall comply with this code or the International Residential Code."
101.2.1,Section 101 Scope and General Requirements,Appendices,,,,,,Provisions in the appendices shall not apply unless specifically adopted.
101.3,Section 101 Scope and General Requirements,Purpose,,,,,,"The purpose of this code is to establish minimum requirements to provide a reasonable level of safety, health, property protection and general welfare by regulating and controlling the design, construction, installation, quality of materials, location, operation and maintenance or use of mechanical equipment or systems."
101.4,Section 101 Scope and General Requirements,Severability,,,,,,"If a section, subsection, sentence, clause or phrase of this code is, for any reason, held to be unconstitutional, such decision shall not affect the validity of the remaining portions of this code."
102.1,Section 102 Applicability,General,,,,,,"Where there is a conflict between a general requirement and a specific requirement, the specific requirement shall govern. Where, in a specific case, different sections of this code specify different materials, methods of construction or other requirements, the most restrictive shall govern."
102.2,Section 102 Applicability,Existing Installations,,,,,,"Except as otherwise provided for in this chapter, a provision in this code shall not require the removal, alteration or abandonment of, nor prevent the continued utilization and maintenance of, a mechanical system lawfully in existence at the time of the adoption of this code."
102.2.1,Section 102 Applicability,Existing Buildings,,,,,,"Additions, alterations, renovations or repairs related to building or structural issues shall be regulated by the International Existing Building Code."
102.3,Section 102 Applicability,Maintenance,,,,,,"Mechanical systems, both existing and new, and parts thereof shall be maintained in proper operating condition in accordance with the original design and in a safe and sanitary condition. Devices or safeguards that are required by this code shall be maintained in compliance with the edition of the code under which they were installed. The owner or the owner's authorized agent shall be responsible for maintenance of mechanical systems. To determine compliance with this provision, the code official shall have the authority to require a mechanical system to be reinspected. The inspection for maintenance of HVAC systems shall be performed in accordance with ASHRAE/ACCA/ANSI Standard 180."
102.4,Section 102 Applicability,"Additions, Alterations or Repairs",,,,,,"Additions, alterations, renovations or repairs to a mechanical system shall conform to that required for a new mechanical system without requiring the existing mechanical system to comply with all of the requirements of this code. Additions, alterations or repairs shall not cause an existing mechanical system to become unsafe, hazardous or overloaded.Minor additions, alterations, renovations and repairs to existing mechanical systems shall meet the provisions for new construction, unless such work is done in the same manner and arrangement as was in the existing system, is not hazardous and is approved."
102.5,Section 102 Applicability,Change in Occupancy,,,,,,"It shall be unlawful to make a change in the occupancy of any structure that will subject the structure to any special provision of this code applicable to the new occupancy without approval. The code official shall certify that such structure meets the intent of the provisions of law governing building construction for the proposed new occupancy and that such change of occupancy does not result in any hazard to the public health, safety or welfare."
