id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
2,,Definitions,,,,,,"User note:About this chapter: Codes, by their very nature, are technical documents. Every word, term and punctuation mark can add to or change the meaning of a technical requirement. It is necessary to maintain a consensus on the specific meaning of each term contained in the code. Chapter 2 performs this function by stating clearly what specific terms mean for the purposes of the code."
201.1,Section 201 General,Scope,,,,,,"Unless otherwise expressly stated, the following words and terms shall, for the purposes of this code, have the meanings indicated in this chapter."
201.2,Section 201 General,Interchangeability,,,,,,"Words used in the present tense include the future; words in the masculine gender include the feminine and neuter; the singular number includes the plural and the plural, the singular."
201.3,Section 201 General,Terms Defined in Other Codes,,,,,,"Where terms are not defined in this code and are defined in the International Building Code, International Fire Code, International Fuel Gas Code or International Plumbing Code, such terms shall have meanings ascribed to them as in those codes."
201.4,Section 201 General,Terms Not Defined,,,,,,"Where terms are not defined through the methods authorized by this section, such terms shall have ordinarily accepted meanings such as the context implies."
abrasive_materials_,Section 202 General Definitions,Abrasive Materials,,,,,,"Moderately abrasive particulate in high concentrations, and highly abrasive particulate in moderate and high concentrations, such as alumina, bauxite, iron silicate, sand and slag."
absorption_system_,Section 202 General Definitions,Absorption System,,,,,,"A refrigerating system in which refrigerant is pressurized by pumping a chemical solution of refrigerant in absorbent, and then separated by the addition of heat in a generator, condensed (to reject heat), expanded, evaporated (to provide refrigeration), and reabsorbed in an absorber to repeat the cycle; the system can be single or multiple effect, the latter using multiple stages or internally cascaded use of heat to improve efficiency."
access_to_,Section 202 General Definitions,Access (To),,,,,,"That which enables a device, appliance or equipment to be reached by ready access or by a means that first requires the removal or movement of a panel or similar obstruction [see also Ready access (to)]."
air_,Section 202 General Definitions,Air,,,,,,"Air supplied to mechanical equipment and appliances for combustion, ventilation, cooling and similar purposes. Standard air is air at standard temperature and pressure, namely, 70°F (21°C) and 29.92 inches of mercury (101.3 kPa)."
air_exhaust_,Section 202 General Definitions,"Air, Exhaust",,,,,,"Air being removed from any space, appliance or piece of equipment and conveyed directly to the atmosphere by means of openings or ducts."
air_makeup_,Section 202 General Definitions,"Air, Makeup",,,,,,Any combination of outdoor and transfer air intended to replace exhaust air and exfiltration.
air_outdoor_,Section 202 General Definitions,"Air, Outdoor",,,,,,"Ambient air that enters a building through a ventilation system, through intentional openings for natural ventilation, or by infiltration."
air_transfer_,Section 202 General Definitions,"Air, Transfer",,,,,,Air moved from one indoor space to another.
air_conditioning_,Section 202 General Definitions,Air Conditioning,,,,,,"The treatment of air so as to control simultaneously the temperature, humidity, cleanness and distribution of the air to meet the requirements of a conditioned space."
air_dispersion_system_,Section 202 General Definitions,Air Dispersion System,,,,,,"Any diffuser system designed to both convey air within a room, space or area and diffuse air into that space while operating under positive pressure. Systems are commonly constructed of, but not limited to, fabric or plastic film."
air_distribution_system_,Section 202 General Definitions,Air Distribution System,,,,,,"Any system of ducts, plenums and air-handling equipment that circulates air within a space or spaces and includes systems made up of one or more air-handling units."
