id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
4,,Ventilation,,,,,,User note:About this chapter: Chapter 4 intends to provide an indoor atmosphere that protects the health and well-being of building occupants. Both mechanical and natural ventilation are addressed. Mechanical ventilation provides what is considered to be acceptable indoor air quality. Mechanical ventilation minimizes adverse health effects and provides an atmosphere that generally is not objectionable to occupants.
401.1,Section 401 General,Scope,,,,,,"This chapter shall govern the ventilation of spaces within a building intended to be occupied. Mechanical exhaust systems, including exhaust systems serving clothes dryers and cooking appliances; hazardous exhaust systems; dust, stock and refuse conveyor systems; subslab soil exhaust systems; smoke control systems; energy recovery ventilation systems and other systems specified in Section 502 shall comply with Chapter 5."
401.2,Section 401 General,Ventilation Required,,,,,,Every occupied space shall be ventilated by natural means in accordance with Section 402 or by mechanical means in accordance with Section 403. Dwelling units complying with the air leakage requirements of the International Energy Conservation Code or ASHRAE 90.1 shall be ventilated by mechanical means in accordance with Section 403. Ambulatory care facilities and Group I-2 occupancies shall be ventilated by mechanical means in accordance with Section 407.
401.3,Section 401 General,When Required,,,,,,Ventilation shall be provided during the periods that the room or space is occupied.
401.4,Section 401 General,Intake Opening Location,,,,,,"Air intake openings shall comply with all of the following: Intake openings shall be located not less than 10 feet (3048 mm) from lot lines or buildings on the same lot.Mechanical and gravity outdoor air intake openings shall be located not less than 10 feet (3048 mm) horizontally from any hazardous or noxious contaminant source, such as vents, streets, alleys, parking lots and loading docks, except as specified in Item 3 or Section 501.3.1. Outdoor air intake openings shall be permitted to be located less than 10 feet (3048 mm) horizontally from streets, alleys, parking lots and loading docks provided that the openings are located not less than 25 feet (7620 mm) vertically above such locations. Where openings front on a street or public way, the distance shall be measured from the closest edge of the street or public way.Intake openings shall be located not less than 3 feet (914 mm) below contaminant sources where such sources are located within 10 feet (3048 mm) of the opening. Separation is not required between intake air openings and living space exhaust air openings of an individual dwelling unit or sleeping unit where an approved factory-built intake/exhaust combination termination fitting is used to separate the air streams in accordance with the manufacturer's instructions.Intake openings on structures in flood hazard areas shall be at or above the elevation required by Section 1612 of the International Building Code for utilities and attendant equipment."
401.5,Section 401 General,Intake Opening Protection,,,,,,"Air intake openings that terminate outdoors shall be protected with corrosion-resistant screens, louvers or grilles. Openings in louvers, grilles and screens shall be sized in accordance with Table 401.5, and shall be protected against local weather conditions. Louvers that protect air intake openings in structures located in hurricane-prone regions, as defined in the International Building Code, shall comply with AMCA 550. Outdoor air intake openings located in exterior walls shall meet the provisions for exterior wall opening protectives in accordance with the International Building Code. TABLE 401.5OPENING SIZES IN LOUVERS, GRILLES AND SCREENS PROTECTING AIR INTAKE OPENINGS OUTDOOR OPENING TYPE MINIMUM AND MAXIMUM OPENING SIZES IN LOUVERS, GRILLES AND SCREENSa Intake openings in residential occupancies Not < 1/4 inch and not > 1/2 inch Intake openings in other than residential occupancies > 1/4 inch and not > 1 inch For SI: 1 inch = 25.4 mm.For rectangular openings, the table requirements apply to the shortest side. For round openings, the table requirements apply to the diameter. For square openings, the table requirements apply to any side."
401.6,Section 401 General,Contaminant Sources,,,,,,"Stationary local sources producing airborne particulates, heat, odors, fumes, spray, vapors, smoke or gases in such quantities as to be irritating or injurious to health shall be provided with an exhaust system in accordance with Chapter 5 or a means of collection and removal of the contaminants. Such exhaust shall discharge directly to an approved location at the exterior of the building."
402.1,Section 402 Natural Ventilation,Natural Ventilation,,,,,,"Natural ventilation of an occupied space shall be through windows, doors, louvers or other openings to the outdoors. The operating mechanism for such openings shall be provided with ready access so that the openings are readily controllable by the building occupants."
402.2,Section 402 Natural Ventilation,Ventilation Area Required,,,,,,The minimum openable area to the outdoors shall be 4 percent of the floor area being ventilated.
402.3,Section 402 Natural Ventilation,Adjoining Spaces,,,,,,"Where rooms and spaces without openings to the outdoors are ventilated through an adjoining room, the opening to the adjoining rooms shall be unobstructed and shall have an area not less than 8 percent of the floor area of the interior room or space, but not less than 25 square feet (2.3 m2). The minimum openable area to the outdoors shall be based on the total floor area being ventilated.Exception: Exterior openings required for ventilation shall be permitted to open into a thermally isolated sunroom addition or patio cover, provided that the openable area between the sunroom addition or patio cover and the interior room has an area of not less than 8 percent of the floor area of the interior room or space, but not less than 20 square feet (1.86 m2). The minimum openable area to the outdoors shall be based on the total floor area being ventilated."
