id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
6,,Duct Systems,,,,,,"User note:About this chapter: Chapter 6 addresses duct systems used in HVAC systems and some exhaust systems. Some exhaust system ducts are addressed in Chapter 5, such as kitchen exhaust ducts and clothes dryer exhaust ducts. This chapter addresses air plenums such as above-ceiling and below-floor plenums. Section 607 covers fire and smoke dampers, consistent with the requirements of the International Building Code®."
601.1,Section 601 General,Scope,,,,,,"Duct systems used for the movement of air in air-conditioning, heating, ventilating and exhaust systems shall conform to the provisions of this chapter except as otherwise specified in Chapters 5 and 7. Exception: Ducts discharging combustible material directly into any combustion chamber shall conform to the requirements of NFPA 82."
601.2,Section 601 General,Air Movement in Egress Elements,,,,,,"Corridors shall not serve as supply, return, exhaust, relief or ventilation air ducts. Exceptions: Use of a corridor as a source of makeup air for exhaust systems in rooms that open directly onto such corridors, including toilet rooms, bathrooms, dressing rooms, smoking lounges and janitor closets, shall be permitted, provided that each such corridor is directly supplied with outdoor air at a rate greater than the rate of makeup air taken from the corridor.Where located within a dwelling unit, the use of corridors for conveying return air shall not be prohibited.Where located within tenant spaces of 1,000 square feet (93 m2) or less in area, use of corridors for conveying return air is permitted.Transfer air movement required to maintain pressurization difference within health care facilities in accordance with ASHRAE 170."
601.2.1,Section 601 General,Corridor Ceiling,,,,,,Use of the space between the corridor ceiling and the floor or roof structure above as a return air plenum is permitted for one or more of the following conditions: The corridor is not required to be of fire-resistance-rated construction.The corridor is separated from the plenum by fire-resistance-rated construction.The air-handling system serving the corridor is shut down upon activation of the air-handling unit smoke detectors required by this code.The air-handling system serving the corridor is shut down upon detection of sprinkler waterflow where the building is equipped throughout with an automatic sprinkler system.The space between the corridor ceiling and the floor or roof structure above the corridor is used as a component of an approved engineered smoke control system.
601.3,Section 601 General,Exits,,,,,,"Equipment and ductwork for exit enclosure ventilation shall comply with one of the following items: Such equipment and ductwork shall be located exterior to the building and shall be directly connected to the exit enclosure by ductwork enclosed in construction as required by the International Building Code for shafts.Where such equipment and ductwork is located within the exit enclosure, the intake air shall be taken directly from the outdoors and the exhaust air shall be discharged directly to the outdoors, or such air shall be conveyed through ducts enclosed in construction as required by the International Building Code for shafts.Where located within the building, such equipment and ductwork shall be separated from the remainder of the building, including other mechanical equipment, with construction as required by the International Building Code for shafts. In each case, openings into fire-resistance-rated construction shall be limited to those needed for maintenance and operation and shall be protected by self-closing fire-resistance-rated devices in accordance with the International Building Code for enclosure wall opening protectives. Exit enclosure ventilation systems shall be independent of other building ventilation systems."
601.4,Section 601 General,Contamination Prevention,,,,,,"Exhaust ducts under positive pressure, chimneys and vents shall not extend into or pass through ducts or plenums.Exceptions:Exhaust systems located in ceiling return air plenums over spaces that are permitted to have 10 percent recirculation in accordance with Section 403.2.1, Item 4. The exhaust duct joints, seams and connections shall comply with Section 603.9.This section shall not apply to chimneys and vents that pass through plenums where such venting systems comply with one of the following requirements:2.1. The venting system shall be listed for positive pressure applications and shall be sealed in accordance with the vent manufacturer's instructions.2.2. The venting system shall be installed such that fittings and joints between sections are not installed in the above ceiling space.2.3. The venting system shall be installed in a conduit or enclosure with sealed joints separating the interior of the conduit or enclosure from the ceiling space."
601.5,Section 601 General,Return Air Openings,,,,,,"Return air openings for heating, ventilation and air-conditioning systems shall comply with all of the following: Openings shall not be located less than 10 feet (3048 mm) measured in any direction from an open combustion chamber or draft hood of another appliance located in the same room or space.Return air shall not be taken from a hazardous or insanitary location or a refrigeration room as defined in this code.The amount of return air taken from any room or space shall be not greater than the flow rate of supply air delivered to such room or space.Return and transfer openings shall be sized in accordance with the appliance or equipment manufacturer's installation instructions, ACCA Manual D or the design of the registered design professional.Return air taken from one dwelling unit shall not be discharged into another dwelling unit.Taking return air from a crawl space shall not be accomplished through a direct connection to the return side of a forced air furnace. Transfer openings in the crawl space enclosure shall not be prohibited.Return air shall not be taken from a closet, bathroom, toilet room, kitchen, garage, boiler room, furnace room or unconditioned attic.Return air shall not be taken from indoor swimming pool enclosures and associated deck areas.Exceptions: Where the air from such spaces is dehumidified in accordance with Section 403.2.1, Item 2.Dedicated HVAC systems serving only such spaces. Exceptions: Taking return air from a kitchen is not prohibited where such return air openings serve the kitchen and are located not less than 10 feet (3048 mm) from the cooking appliances.Taking return air from a kitchen is not prohibited in a dwelling unit where the kitchen and living spaces are in a single room and the cooking appliance is electric and located not less than 5 feet (1524 mm) in any direction from the return air intake opening.Dedicated forced air systems serving only the garage shall not be prohibited from obtaining return air from the garage."
602.1,Section 602 Plenums,General,,,,,,"Supply, return, exhaust, relief and ventilation air plenums shall be limited to uninhabited crawl spaces, areas above a ceiling or below the floor, attic spaces, mechanical equipment rooms and the framing cavities addressed in Section 602.3. Plenums shall be limited to one fire area. Air systems shall be ducted from the boundary of the fire area served directly to the air-handling equipment. Fuel-fired appliances shall not be installed within a plenum."
602.2,Section 602 Plenums,Construction,,,,,,Plenum enclosure construction materials that are exposed to the airflow shall comply with the requirements of Section 703.3 of the International Building Code or such materials shall have a flame spread index of not more than 25 and a smoke-developed index of not more than 50 when tested in accordance with ASTM E84 or UL 723.The use of gypsum boards to form plenums shall be limited to systems where the air temperatures do not exceed 125°F (52°C) and the building and mechanical system design conditions are such that the gypsum board surface temperature will be maintained above the airstream dew-point temperature. Supply air plenums formed by gypsum boards shall not be incorporated in air-handling systems utilizing direct evaporative cooling systems.
602.2.1,Section 602 Plenums,Materials Within Plenums,,,,,,"Except as required by Sections 602.2.1.1 through 602.2.1.8, materials within plenums shall be noncombustible or shall be listed and labeled as having a flame spread index of not more than 25 and a smoke-developed index of not more than 50 when tested in accordance with ASTM E84 or UL 723. Exceptions: Rigid and flexible ducts and connectors shall conform to Section 603.Duct coverings, linings, tape and connectors shall conform to Sections 603 and 604.This section shall not apply to materials exposed within plenums in one- and two-family dwellings.This section shall not apply to smoke detectors.Combustible materials fully enclosed within one of the following:5.1. Continuous noncombustible raceways or enclosures.5.2. Approved gypsum board assemblies.5.3. Materials listed and labeled for installation within a plenum and listed for the application.Materials in Group H, Division 5 fabrication areas and the areas above and below the fabrication area that share a common air recirculation path with the fabrication area."
