id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
9,,"Specific Appliances, Fireplaces and Solid Fuel-Burning Equipment",,,,,,"User note:About this chapter: Chapter 9 focuses on specific types of appliances and fireplaces. It also addresses heat-rejection equipment, combustion engines, gas turbines, kilns, fuel cells, evaporative coolers, radiant heating systems and hydrogen systems."
901.1,Section 901 General,Scope,,,,,,"This chapter shall govern the approval, design, installation, construction, maintenance, alteration and repair of the appliances and equipment specifically identified herein and factory-built fireplaces. The approval, design, installation, construction, maintenance, alteration and repair of gas-fired appliances shall be regulated by the International Fuel Gas Code."
901.2,Section 901 General,General,,,,,,"The requirements of this chapter shall apply to the mechanical equipment and appliances regulated by this chapter, in addition to the other requirements of this code."
901.3,Section 901 General,Hazardous Locations,,,,,,Fireplaces and solid fuel-burning appliances shall not be installed in hazardous locations.
901.4,Section 901 General,"Solid Fuel-Burning Fireplaces and Appliances in Group I-2, Condition 2",,,,,,"In Group I-2, Condition 2 occupancies, solid fuel-burning fireplaces and appliances are prohibited."
902.1,Section 902 Masonry Fireplaces,General,,,,,,Masonry fireplaces shall be constructed in accordance with the International Building Code.
902.2,Section 902 Masonry Fireplaces,Fireplace Accessories,,,,,,Listed and labeled fireplace accessories shall be installed in accordance with the conditions of the listing and the manufacturer's instructions. Fireplace accessories shall comply with UL 907.
903.1,Section 903 Factory-Built Fireplaces,General,,,,,,Factory-built fireplaces shall be listed and labeled and shall be installed in accordance with the conditions of the listing. Factory-built fireplaces shall be tested in accordance with UL 127.
903.2,Section 903 Factory-Built Fireplaces,Hearth Extensions,,,,,,Hearth extensions of approved factory-built fireplaces shall be installed in accordance with the listing of the fireplace. The hearth extension shall be readily distinguishable from the surrounding floor area. Listed and labeled hearth extensions shall comply with UL 1618.
903.3,Section 903 Factory-Built Fireplaces,Unvented Gas Log Heaters,,,,,,"An unvented gas log heater shall not be installed in a factory-built fireplace unless the fireplace system has been specifically tested, listed and labeled for such use in accordance with UL 127."
903.4,Section 903 Factory-Built Fireplaces,Gasketed Fireplace Doors,,,,,,"A gasketed fireplace door shall not be installed on a factory-built fireplace except where the fireplace system has been specifically tested, listed and labeled for such use in accordance with UL 127."
904.1,Section 904 Pellet Fuel-Burning Appliances,General,,,,,,Pellet fuel-burning appliances shall be listed and labeled in accordance with ASTM E1509 and shall be installed in accordance with the terms of the listing.
905.1,Section 905 Fireplace Stoves and Room Heaters,General,,,,,,Fireplace stoves and solid-fuel-type room heaters shall be listed and labeled and shall be installed in accordance with the conditions of the listing. Fireplace stoves shall be tested in accordance with UL 737. Solid-fuel-type room heaters shall be tested in accordance with UL 1482. Fireplace inserts intended for installation in fireplaces shall be listed and labeled in accordance with the requirements of UL 1482 and shall be installed in accordance with the manufacturer's instructions. New wood-burning residential hydronic heaters shall be EPA certified.
905.2,Section 905 Fireplace Stoves and Room Heaters,Connection to Fireplace,,,,,,The connection of solid fuel appliances to chimney flues serving fireplaces shall comply with Sections 801.7 and 801.10.
905.3,Section 905 Fireplace Stoves and Room Heaters,Hearth Extensions,,,,,,Hearth extensions for fireplace stoves shall be installed in accordance with the listing of the fireplace stove. The hearth extension shall be readily distinguishable from the surrounding floor area. Listed and labeled hearth extensions shall comply with UL 1618.
906.1,Section 906 Factory-Built Barbecue Appliances,General,,,,,,"Factory-built barbecue appliances shall be of an approved type and shall be installed in accordance with the manufacturer's instructions, this chapter and Chapters 3, 5, 7 and 8, and the International Fuel Gas Code."
907.1,Section 907 Incinerators and Crematories,General,,,,,,Incinerators and crematories shall be listed and labeled in accordance with UL 791 and shall be installed in accordance with the manufacturer's instructions.
908.1,"Section 908 Cooling Towers, Evaporative Condensers and Fluid Coolers",General,,,,,,A cooling tower used in conjunction with an air-conditioning appliance shall be installed in accordance with the manufacturer's instructions. Factory-built cooling towers shall be listed in accordance with UL 1995 or UL/CSA 60335-2-40.
908.2,"Section 908 Cooling Towers, Evaporative Condensers and Fluid Coolers",Access,,,,,,"Cooling towers, evaporative condensers and fluid coolers shall be provided with ready access."
908.3,"Section 908 Cooling Towers, Evaporative Condensers and Fluid Coolers",Location,,,,,,"Cooling towers, evaporative condensers and fluid coolers shall be located to prevent the discharge of vapor plumes from entering occupied spaces. Plume discharges shall be not less than 5 feet (1524 mm) above or 20 feet (6096 mm) away from any ventilation inlet to a building. Location on the property shall be as required for buildings in accordance with the International Building Code."
908.4,"Section 908 Cooling Towers, Evaporative Condensers and Fluid Coolers",Support and Anchorage,,,,,,"Supports for cooling towers, evaporative condensers and fluid coolers shall be designed in accordance with the International Building Code. Seismic restraints shall be as required by the International Building Code."
908.5,"Section 908 Cooling Towers, Evaporative Condensers and Fluid Coolers",Water Supply,,,,,,"Cooling towers, evaporative coolers and fluid coolers shall be provided with an approved water supply, sized for peak demand. The quality of water shall be provided in accordance with the equipment manufacturer's recommendations. The piping system and protection of the potable water supply system shall be installed as required by the International Plumbing Code."
908.6,"Section 908 Cooling Towers, Evaporative Condensers and Fluid Coolers",Drainage,,,,,,"Drains, overflows and blowdown provisions shall be indirectly connected to an approved disposal location. Discharge of chemical waste shall be approved by the appropriate regulatory authority."
908.7,"Section 908 Cooling Towers, Evaporative Condensers and Fluid Coolers",Refrigerants and Hazardous Fluids,,,,,,"Heat exchange equipment that contains a refrigerant and that is part of a closed refrigeration system shall comply with Chapter 11. Heat exchange equipment containing heat transfer fluids which are flammable, combustible or hazardous shall comply with the International Fire Code."
908.8,"Section 908 Cooling Towers, Evaporative Condensers and Fluid Coolers",Cooling Towers,,,,,,"Cooling towers, both open circuit and closed circuit type, and evaporative condensers shall comply with Sections 908.8.1 and 908.8.2."
908.8.1,"Section 908 Cooling Towers, Evaporative Condensers and Fluid Coolers",Conductivity or Flow-Based Control of Cycles of Concentration,,,,,,"Cooling towers and evaporative condensers shall include controls that automate system bleed based on conductivity, fraction of metered makeup volume, metered bleed volume, recirculating pump run time or bleed time."
908.8.2,"Section 908 Cooling Towers, Evaporative Condensers and Fluid Coolers",Drift Eliminators,,,,,,Cooling towers and evaporative condensers shall be equipped with drift eliminators that have a maximum drift rate of 0.005 percent of the circulated water flow rate as established in the equipment's design specifications.
909.1,Section 909 Vented Wall Furnaces,General,,,,,,Vented wall furnaces shall be installed in accordance with their listing and the manufacturer's instructions. Oil-fired furnaces shall be tested in accordance with UL 730.
909.2,Section 909 Vented Wall Furnaces,Location,,,,,,"Vented wall furnaces shall be located so as not to cause a fire hazard to walls, floors, combustible furnishings or doors. Vented wall furnaces installed between bathrooms and adjoining rooms shall not circulate air from bathrooms to other parts of the building."
909.3,Section 909 Vented Wall Furnaces,Door Swing,,,,,,Vented wall furnaces shall be located so that a door cannot swing within 12 inches (305 mm) of an air inlet or air outlet of such furnace measured at right angles to the opening. Doorstops or door closers shall not be installed to obtain this clearance.
909.4,Section 909 Vented Wall Furnaces,Ducts Prohibited,,,,,,Ducts shall not be attached to wall furnaces. Casing extension boots shall not be installed unless listed as part of the appliance.
909.5,Section 909 Vented Wall Furnaces,Manual Shutoff Valve,,,,,,A manual shutoff valve shall be installed ahead of all controls.
909.6,Section 909 Vented Wall Furnaces,Access,,,,,,"Vented wall furnaces shall be provided with access for cleaning of heating surfaces, removal of burners, replacement of sections, motors, controls, filters and other working parts, and for adjustments and lubrication of parts requiring such attention. Panels, grilles and access doors that must be removed for normal servicing operations shall not be attached to the building construction."
910.1,Section 910 Floor Furnaces,General,,,,,,Floor furnaces shall be installed in accordance with their listing and the manufacturer's instructions. Oil-fired furnaces shall be tested in accordance with UL 729.
910.2,Section 910 Floor Furnaces,Placement,,,,,,"Floor furnaces shall not be installed in the floor of any aisle or passageway of any auditorium, public hall, place of assembly, or in any egress element from any such room or space.With the exception of wall register models, a floor furnace shall not be placed closer than 6 inches (152 mm) to the nearest wall, and wall register models shall not be placed closer than 6 inches (152 mm) to a corner.The furnace shall be placed such that a drapery or similar combustible object will not be nearer than 12 inches (305 mm) to any portion of the register of the furnace. Floor furnaces shall not be installed in concrete floor construction built on grade. The controlling thermostat for a floor furnace shall be located within the same room or space as the floor furnace or shall be located in an adjacent room or space that is permanently open to the room or space containing the floor furnace."
910.3,Section 910 Floor Furnaces,Bracing,,,,,,The floor around the furnace shall be braced and headed with a support framework design in accordance with the International Building Code.
910.4,Section 910 Floor Furnaces,Clearance,,,,,,"The lowest portion of the floor furnace shall have not less than a 6-inch (152 mm) clearance from the grade level; except where the lower 6-inch (152 mm) portion of the floor furnace is sealed by the manufacturer to prevent entrance of water, the minimum clearance shall be reduced to not less than 2 inches (51 mm). Where these clearances are not present, the ground below and to the sides shall be excavated to form a pit under the furnace so that the required clearance is provided beneath the lowest portion of the furnace. A 12-inch (305 mm) minimum clearance shall be provided on all sides except the control side, which shall have an 18-inch (457 mm) minimum clearance."
911.1,Section 911 Duct Furnaces,General,,,,,,Duct furnaces shall be installed in accordance with the manufacturer's instructions. Electric duct furnaces shall comply with UL 1996.
912.1,Section 912 Infrared Radiant Heaters,General,,,,,,Electric infrared radiant heaters shall comply with UL 499.
912.2,Section 912 Infrared Radiant Heaters,Support,,,,,,Infrared radiant heaters shall be fixed in a position independent of fuel and electric supply lines. Hangers and brackets shall be noncombustible material.
912.3,Section 912 Infrared Radiant Heaters,Clearances,,,,,,Heaters shall be installed with clearances from combustible material in accordance with the manufacturer's installation instructions.
913.1,Section 913 Clothes Dryers,General,,,,,,Clothes dryers shall be installed in accordance with the manufacturer's instructions. Electric residential clothes dryers shall be tested in accordance with UL 2158. Electric coin-operated clothes dryers shall be tested in accordance with UL 2158. Electric commercial clothes dryers shall be tested in accordance with UL 1240.
913.2,Section 913 Clothes Dryers,Exhaust Required,,,,,,Clothes dryers shall be exhausted in accordance with Section 504.
913.3,Section 913 Clothes Dryers,Clearances,,,,,,Clothes dryers shall be installed with clearance to combustibles in accordance with the manufacturer's instructions.
914.1,Section 914 Sauna Heaters,Location and Protection,,,,,,Sauna heaters shall be located so as to minimize the possibility of accidental contact by a person in the room.
914.1.1,Section 914 Sauna Heaters,Guards,,,,,,Sauna heaters shall be protected from accidental contact by an approved guard or barrier of material having a low coefficient of thermal conductivity. The guard shall not substantially affect the transfer of heat from the heater to the room.
914.2,Section 914 Sauna Heaters,Installation,,,,,,Sauna heaters shall be listed and labeled in accordance with UL 875 and shall be installed in accordance with their listing and the manufacturer's instructions.
914.3,Section 914 Sauna Heaters,Access,,,,,,"Panels, grilles and access doors that are required to be removed for normal servicing operations shall not be attached to the building."
914.4,Section 914 Sauna Heaters,Heat and Time Controls,,,,,,"Sauna heaters shall be equipped with a thermostat that will limit room temperature to 194°F (90°C). If the thermostat is not an integral part of the sauna heater, the heat-sensing element shall be located within 6 inches (152 mm) of the ceiling. If the heat-sensing element is a capillary tube and bulb, the assembly shall be attached to the wall or other support, and shall be protected against physical damage."
914.4.1,Section 914 Sauna Heaters,Timers,,,,,,"A timer, if provided to control main burner operation, shall have a maximum operating time of 1 hour. The control for the timer shall be located outside the sauna room."
914.5,Section 914 Sauna Heaters,Sauna Room,,,,,,A ventilation opening into the sauna room shall be provided. The opening shall be not less than 4 inches by 8 inches (102 mm by 203 mm) located near the top of the door into the sauna room.
914.5.1,Section 914 Sauna Heaters,Warning Notice,,,,,,"The following permanent notice, constructed of approved material, shall be mechanically attached to the sauna room on the outside: WARNING: DO NOT EXCEED 30 MINUTES IN SAUNA. EXCESSIVE EXPOSURE CAN BE HARMFUL TO HEALTH. ANY PERSON WITH POOR HEALTH SHOULD CONSULT A PHYSICIAN BEFORE USING SAUNA. The words shall contrast with the background and the wording shall be in letters not less than 1/4-inch (6.4 mm) high.Exception: This section shall not apply to one- and two-family dwellings."
915.1,Section 915 Engine and Gas Turbine-Powered Equipment and Appliances,General,,,,,,"The installation of liquid-fueled stationary internal combustion engines and gas turbines, including exhaust, fuel storage and piping, shall meet the requirements of NFPA 37. Stationary engine generator assemblies shall meet the requirements of UL 2200."
915.2,Section 915 Engine and Gas Turbine-Powered Equipment and Appliances,Powered Equipment and Appliances,,,,,,Permanently installed equipment and appliances powered by internal combustion engines and turbines shall be installed in accordance with the manufacturer's instructions and NFPA 37.
916.1,Section 916 Pool and Spa Heaters,General,,,,,,Pool and spa heaters shall be installed in accordance with the manufacturer's instructions. Oil-fired pool and spa heaters shall be tested in accordance with UL 726. Electric pool and spa heaters shall be tested in accordance with UL 1261. Pool and spa heat pump water heaters shall comply with UL 1995 or CSA C22.2 No. 236.Exception: Portable residential spas and portable residential exercise spas shall comply with UL 1563 or CSA C22.2 No. 218.1.
917.1,Section 917 Cooking Appliances,Cooking Appliances,,,,,,"Cooking appliances that are designed for permanent installation, including ranges, ovens, stoves, broilers, grills, fryers, griddles and barbecues, shall be listed, labeled and installed in accordance with the manufacturer's instructions. Commercial electric cooking appliances shall be listed and labeled in accordance with UL 197. Household electric ranges shall be listed and labeled in accordance with UL 858. Microwave cooking appliances shall be listed and labeled in accordance with UL 923. Oil-burning stoves shall be listed and labeled in accordance with UL 896. Solid-fuel-fired ovens shall be listed and labeled in accordance with UL 2162."
917.2,Section 917 Cooking Appliances,Domestic Appliances,,,,,,Cooking appliances installed within dwelling units and within areas where domestic cooking operations occur shall be listed and labeled as household-type appliances for domestic use.
918.1,Section 918 Forced-Air Warm-Air Furnaces,Forced-Air Furnaces,,,,,,Oil-fired furnaces shall be tested in accordance with UL 727. Electric furnaces shall be tested in accordance with UL 1995 or UL/CSA 60335-2-40. Solid fuel furnaces shall be tested in accordance with UL 391. Forced-air furnaces shall be installed in accordance with the listings and the manufacturer's instructions.
918.2,Section 918 Forced-Air Warm-Air Furnaces,Heat Pumps,,,,,,Electric heat pumps shall be tested in accordance with UL 1995 or UL/CSA 60335-2-40.
918.3,Section 918 Forced-Air Warm-Air Furnaces,Dampers,,,,,,Volume dampers shall not be placed in the air inlet to a furnace in a manner that will reduce the required air to the furnace.
918.4,Section 918 Forced-Air Warm-Air Furnaces,Circulating Air Ducts for Forced-Air Warm-Air Furnaces,,,,,,"Circulating air for fuel-burning, forced-air-type, warm-air furnaces shall be conducted into the blower housing from outside the furnace enclosure by continuous airtight ducts."
918.5,Section 918 Forced-Air Warm-Air Furnaces,Outdoor and Return Air Openings,,,,,,Outdoor intake openings shall be located in accordance with Section 401.4. Return air openings shall be located in accordance with Section 601.5.
918.6,Section 918 Forced-Air Warm-Air Furnaces,Outdoor Opening Protection,,,,,,Outdoor air intake openings shall be protected in accordance with Section 401.5.
919.1,Section 919 Conversion Burners,Conversion Burners,,,,,,The installation of conversion burners shall conform to ANSI Z21.8.
920.1,Section 920 Unit Heaters,General,,,,,,Unit heaters shall be installed in accordance with the listing and the manufacturer's instructions. Oil-fired unit heaters shall be tested in accordance with UL 731.
920.2,Section 920 Unit Heaters,Support,,,,,,Suspended-type unit heaters shall be supported by elements that are designed and constructed to accommodate the unit heater weight and dynamic loads. Hangers and brackets shall be of noncombustible material. Suspended-type oil-fired unit heaters shall be installed in accordance with NFPA 31.
920.3,Section 920 Unit Heaters,Ductwork,,,,,,A unit heater shall not be attached to a warm-air duct system unless listed for such installation.
920.4,Section 920 Unit Heaters,Prohibited Uses,,,,,,"In Group I-2 and ambulatory care facilities, suspended-type unit heaters are prohibited in corridors, exit access stairways and ramps, exit stairways and ramps, and patient sleeping areas."
921.1,Section 921 Vented Room Heaters,General,,,,,,Vented room heaters shall be listed and labeled and shall be installed in accordance with the conditions of the listing and the manufacturer's instructions.
922.1,Section 922 Kerosene and Oil-Fired Stoves,General,,,,,,Kerosene and oil-fired stoves shall be listed and labeled and shall be installed in accordance with the conditions of the listing and the manufacturer's instructions. Kerosene and oil-fired stoves shall comply with NFPA 31 and UL 896.
923.1,Section 923 Small Ceramic Kilns,General,,,,,,Kilns shall be listed and labeled unless otherwise approved in accordance with Section 105.2. Electric kilns shall comply with UL 499. The approval of unlisted appliances in accordance with Section 105.2 shall be based on approved engineering evaluation.
923.1.1,Section 923 Small Ceramic Kilns,Installation,,,,,,Kilns shall be installed in accordance with the manufacturer's instructions and the provisions of this code.
924.1,Section 924 Stationary Fuel Cell Power Systems,General,,,,,,"Stationary fuel cell power systems having a power output not exceeding 10 MW shall be tested in accordance with ANSI/CSA America FC 1 and shall be installed in accordance with the manufacturer's instructions, NFPA 853, the International Building Code and the International Fire Code."
925.1,Section 925 Masonry Heaters,General,,,,,,Masonry heaters shall be constructed in accordance with the International Building Code.
926.1,Section 926 Gaseous Hydrogen Systems,Installation,,,,,,"The installation of gaseous hydrogen systems shall be in accordance with the applicable requirements of this code, the International Fire Code, the International Fuel Gas Code and the International Building Code."
927.1,Section 927 Radiant Heating Systems,General,,,,,,Electric radiant heating systems shall be installed in accordance with the manufacturer's instructions and shall be listed for the application.
927.2,Section 927 Radiant Heating Systems,Clearances,,,,,,"Clearances for radiant heating panels or elements to any wiring, outlet boxes and junction boxes used for installing electrical devices or mounting luminaires shall be in accordance with the International Building Code and NFPA 70."
927.3,Section 927 Radiant Heating Systems,Installation on Wood or Steel Framing,,,,,,"Radiant panels installed on wood or steel framing shall conform to the following requirements: Heating panels shall be installed parallel to framing members and secured to the surface of framing members or shall be mounted between framing members.Mechanical fasteners shall penetrate only the unheated portions provided for this purpose. Panels shall not be fastened at any point closer than 1/4 inch (6.4 mm) to an element. Other methods of attachment of the panels shall be in accordance with the panel installation instructions.Unless listed and labeled for field cutting, heating panels shall be installed as complete units."
927.4,Section 927 Radiant Heating Systems,Installation in Concrete or Masonry,,,,,,"Radiant heating systems installed in concrete or masonry shall conform to the following requirements:Radiant heating systems shall be identified as being suitable for the installation, and shall be secured in place as specified in the manufacturer's instructions.Radiant heating panels and radiant heating panel sets shall not be installed where they bridge expansion joints unless they are protected from expansion and contraction."
