id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
10,,"Traps, Interceptors and Separators",,,,,,"User note:About this chapter: Chapter 10 regulates the design of fixture traps, methods for preventing evaporation of trap seals in traps and the required locations for interceptors and separators. The trap seal of a trap is an essential feature of a drainage system to prevent odors from the drainage piping from entering the building. The discharge of various processes, such as cooking and laundry, creates the need for equipment to retain detrimental greases and solids from entering the drainage systems."
1001.1,Section 1001 General,Scope,,,,,,"This chapter shall govern the material and installation of traps, interceptors and separators."
1002.1,Section 1002 Trap Requirements,Fixture Traps,,,,,,"Each plumbing fixture shall be separately trapped by a liquid-seal trap, except as otherwise permitted by this code. The vertical distance from the fixture outlet to the trap weir shall not exceed 24 inches (610 mm), and the horizontal distance shall not exceed 30 inches (762 mm) measured from the centerline of the fixture outlet to the centerline of the inlet of the trap. The height of a clothes washer standpipe above a trap shall conform to Section 802.4.3. A fixture shall not be double trapped.Exceptions:This section shall not apply to fixtures with integral traps.A combination plumbing fixture is permitted to be installed on one trap, provided that one compartment is not more than 6 inches (152 mm) deeper than the other compartment and the waste outlets are not more than 30 inches (762 mm) apart.Floor drains in multilevel parking structures that discharge to a building storm sewer shall not be required to be individually trapped. Where floor drains in multilevel parking structures are required to discharge to a combined building sewer system, the floor drains shall not be required to be individually trapped provided that they are connected to a main trap in accordance with Section 1103.1.Where a hydromechanical grease interceptor serves a food utensil, dishes, pots-and-pans sink, in accordance with the manufacturer's installation instructions. The branch drain serving the interceptor shall be provided with an emergency floor drain downstream of the interceptor connection, and the branch shall serve only the emergency floor drain and the interceptor. Where the interceptor serves a combination sink of not more than three compartments where the vertical distance from the fixture outlet to the inlet of the interceptor does not exceed 30 inches (762 mm) and the developed length of the waste pipe from the most upstream fixture outlet to the inlet of the interceptor does not exceed 60 inches (1524 mm). The food utensil, dishes, pots and pans sink shall be required to connect directly with the interceptor.Trench and floor drains connected to a sand oil interceptor need not be individually trapped provided the drain piping from the trench or floor drains is turned down after entering the interceptor so the discharge point is a minimum of 4 inches below the standing water level of the interceptor."
1002.2,Section 1002 Trap Requirements,Design of Traps,,,,,,"Fixture traps shall be self-scouring. Fixture traps shall not have interior partitions, except where such traps are integral with the fixture or where such traps are constructed of an approved material that is resistant to corrosion and degradation. Slip joints shall be made with an approved elastomeric gasket and shall be installed only on the trap inlet, trap outlet and within the trap seal."
1002.3,Section 1002 Trap Requirements,Prohibited Traps,,,,,,"The following types of traps are prohibited: Traps that depend on moving parts to maintain the seal.Bell traps.Crown-vented traps.Traps not integral with a fixture and that depend on interior partitions for the seal, except those traps constructed of an approved material that is resistant to corrosion and degradation.""S"" traps.Drum traps.Exception: Drum traps used as solids interceptors and drum traps serving chemical waste systems shall not be prohibited."
1002.4,Section 1002 Trap Requirements,Trap Seals,,,,,,"Each fixture trap shall have a liquid seal of not less than 2 inches (51 mm) and not more than 4 inches (102 mm), or deeper for special designs relating to accessible fixtures."
1002.4.1,Section 1002 Trap Requirements,Trap Seal Protection,,,,,,Trap seals of emergency floor drain traps and trap seals subject to evaporation shall be protected by one of the methods in Sections 1002.4.1.1 through 1002.4.1.5.
1002.4.1.1,Section 1002 Trap Requirements,Potable Water-Supplied Trap Seal Primer Valve,,,,,,A potable water-supplied trap seal primer valve shall supply water to the trap. Water-supplied trap seal primer valves shall conform to ASSE 1018. The discharge pipe from the trap seal primer valve shall connect to the trap above the trap seal on the inlet side of the trap.
1002.4.1.2,Section 1002 Trap Requirements,Reclaimed or Graywater-Supplied Trap Seal Primer Valve,,,,,,"A reclaimed or graywater-supplied trap seal primer valve shall supply water to the trap. Water-supplied trap seal primer valves shall conform to ASSE 1018. The quality of reclaimed or graywater supplied to trap seal primer valves shall be in accordance with the requirements of the manufacturer of the trap seal primer valve. The discharge pipe from the trap seal primer valve shall connect to the trap above the trap seal, on the inlet side of the trap."
1002.4.1.3,Section 1002 Trap Requirements,Wastewater-Supplied Trap Primer Device,,,,,,A wastewater-supplied trap primer device shall supply water to the trap. Wastewater-supplied trap primer devices shall conform to ASSE 1044. The discharge pipe from the trap seal primer device shall connect to the trap above the trap seal on the inlet side of the trap.
