id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
18,,Chimneys and Vents,,,,mechanical_systems,mechanical_engineer,"User notes:About this chapter: Chapter 18 addresses chimneys and vents that serve oil- and solid fuel-fired appliances, including wood pellet appliances. Gas-fired appliances are vented in accordance with Chapter 24. Chapter 10 addresses chimneys for fireplaces and masonry and factory-built chimneys in general. Note that chimneys and vents are distinct.Code development reminder: Code change proposals to this chapter will be considered by the IRC—Plumbing/Mechanical Code Development Committee during the 2021 (Group A) Code Development Cycle."
M1801.1,Section M1801 General,Venting Required,,,,mechanical_systems,mechanical_engineer,"Fuel-burning appliances shall be vented to the outdoors in accordance with their listing and label and manufacturer's installation instructions except appliances listed and labeled for unvented use. Venting systems shall consist of approved chimneys or vents, or venting assemblies that are integral parts of labeled appliances. Gas-fired appliances shall be vented in accordance with Chapter 24."
M1801.2,Section M1801 General,Draft Requirements,,,,mechanical_systems,mechanical_engineer,"A venting system shall satisfy the draft requirements of the appliance in accordance with the manufacturer's installation instructions, and shall be constructed and installed to develop a positive flow to convey combustion products to the outside atmosphere."
M1801.3,Section M1801 General,Existing Chimneys and Vents,,,,mechanical_systems,mechanical_engineer,"Where an appliance is permanently disconnected from an existing chimney or vent, or where an appliance is connected to an existing chimney or vent during the process of a new installation, the chimney or vent shall comply with Sections M1801.3.1 through M1801.3.4."
M1801.3.1,Section M1801 General,Size,,,,mechanical_systems,mechanical_engineer,"The chimney or vent shall be resized as necessary to control flue gas condensation in the interior of the chimney or vent and to provide the appliance, or appliances served, with the required draft. For the venting of oil-fired appliances to masonry chimneys, the resizing shall be done in accordance with NFPA 31."
M1801.3.2,Section M1801 General,Flue Passageways,,,,mechanical_systems,mechanical_engineer,"The flue gas passageway shall be free of obstructions and combustible deposits and shall be cleaned if previously used for venting a solid or liquid fuel-burning appliance or fireplace. The flue liner, chimney inner wall or vent inner wall shall be continuous and free of cracks, gaps, perforations, or other damage or deterioration that would allow the escape of combustion products, including gases, moisture and creosote."
M1801.3.3,Section M1801 General,Cleanout,,,,mechanical_systems,mechanical_engineer,Masonry chimneys shall be provided with a cleanout opening complying with Section R1003.17.
M1801.3.4,Section M1801 General,Clearances,,,,mechanical_systems,mechanical_engineer,"Chimneys and vents shall have airspace clearance to combustibles in accordance with this code and the chimney or vent manufacturer's installation instructions.Exception: Masonry chimneys equipped with a chimney lining system tested and listed for installation in chimneys in contact with combustibles in accordance with UL 1777, and installed in accordance with the manufacturer's instructions, shall not be required to have a clearance between combustible materials and exterior surfaces of the masonry chimney. Noncombustible firestopping shall be provided in accordance with this code."
M1801.4,Section M1801 General,Space Around Lining,,,,mechanical_systems,mechanical_engineer,The space surrounding a flue lining system or other vent installed within a masonry chimney shall not be used to vent any other appliance. This shall not prevent the installation of a separate flue lining in accordance with the manufacturer's installation instructions and this code.
M1801.5,Section M1801 General,Mechanical Draft Systems,,,,mechanical_systems,mechanical_engineer,A mechanical draft system shall be used only with appliances listed and labeled for such use. Provisions shall be made to prevent the flow of fuel to the equipment when the draft system is not operating. Forced draft systems and portions of induced draft systems under positive pressure during operation shall be designed and installed to prevent leakage of flue gases into a building.
M1801.6,Section M1801 General,Direct-Vent Appliances,,,,mechanical_systems,mechanical_engineer,Direct-vent appliances shall be installed in accordance with the manufacturer's instructions.
M1801.7,Section M1801 General,Support,,,,mechanical_systems,mechanical_engineer,Venting systems shall be adequately supported for the weight of the material used.
M1801.8,Section M1801 General,Duct Penetrations,,,,mechanical_systems,mechanical_engineer,"Chimneys, vents and vent connectors shall not extend into or through supply and return air ducts or plenums."
M1801.9,Section M1801 General,Fireblocking,,,,mechanical_systems,mechanical_engineer,Vent and chimney installations shall be fireblocked in accordance with Section R602.8.
