id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
24,,Fuel Gas,,,,mechanical_systems,mechanical_engineer,"The text of this chapter is extracted from the 2021 edition of the International Fuel Gas Code and has been modified where necessary to conform to the scope of application of the International Residential Code for One- and Two-Family Dwellings. The section numbers appearing in parentheses after each section number are the section numbers of the corresponding text in the International Fuel Gas Code.User notes:About this chapter: Chapter 24 addresses fuel gas piping, appliances, combustion air, appliance venting and specific appliances, among other subjects. Note that Chapter 24 includes definitions that are unique to this chapter. The text of this chapter is identical to that of the International Fuel Gas Code®, except that this chapter contains coverage only for that which is typically found in residential occupancies, consistent with the scope of this code.Code development reminder: Code change proposals to this chapter will be considered by the IRC—Plumbing/Mechanical Code Development Committee during the 2021 (Group A) Code Development Cycle."
G2401.1,Section G2401 (101) General,(101.2) Application,,,,mechanical_systems,mechanical_engineer,"This chapter covers those fuel gas piping systems, fuel-gas appliances and related accessories, venting systems and combustion air configurations most commonly encountered in the construction of one- and two-family dwellings and structures regulated by this code.Coverage of piping systems shall extend from the point of delivery to the outlet of the appliance shutoff valves (see definition of ""Point of delivery""). Piping systems requirements shall include design, materials, components, fabrication, assembly, installation, testing, inspection, operation and maintenance. Requirements for gas appliances and related accessories shall include installation, combustion and ventilation air and venting and connections to piping systems.The omission from this chapter of any material or method of installation provided for in the International Fuel Gas Code shall not be construed as prohibiting the use of such material or method of installation. Fuel-gas piping systems, fuel-gas appliances and related accessories, venting systems and combustion air configurations not specifically covered in these chapters shall comply with the applicable provisions of the International Fuel Gas Code.Gaseous hydrogen systems shall be regulated by Chapter 7 of the International Fuel Gas Code.This chapter shall not apply to the following:Liquefied natural gas (LNG) installations.Temporary LP-gas piping for buildings under construction or renovation that is not to become part of the permanent piping system.Except as provided in Section G2412.1.1, gas piping, meters, gas pressure regulators, and other appurtenances used by the serving gas supplier in the distribution of gas, other than undiluted LP-gas.Portable LP-gas appliances and equipment of all types that is not connected to a fixed fuel piping system.Portable fuel cell appliances that are neither connected to a fixed piping system nor interconnected to a power grid.Installation of hydrogen gas, LP-gas and compressed natural gas (CNG) systems on vehicles."
G2402.1,Section G2402 (201) General,(201.1) Scope,,,,mechanical_systems,mechanical_engineer,"Unless otherwise expressly stated, the following words and terms shall, for the purposes of this chapter, have the meanings indicated in this chapter."
G2402.2,Section G2402 (201) General,(201.2) Interchangeability,,,,mechanical_systems,mechanical_engineer,"Words used in the present tense include the future; words in the masculine gender include the feminine and neuter; the singular number includes the plural and the plural, the singular."
G2402.3,Section G2402 (201) General,(201.3) Terms Defined in Other Codes,,,,mechanical_systems,mechanical_engineer,"Where terms are not defined in this code and are defined in the International Building Code, International Fire Code, International Mechanical Code, International Fuel Gas Code or International Plumbing Code, such terms shall have meanings ascribed to them as in those codes."
G2403,,(202) General Definitions,,,,mechanical_systems,mechanical_engineer,"ACCESS (TO). That which enables a device, appliance or equipment to be reached by ready access or by a means that first requires the removal or movement of a panel, door or similar obstruction (see also ""Ready access"").AIR, EXHAUST. Air being removed from any space or piece of equipment or appliance and conveyed directly to the atmosphere by means of openings or ducts.AIR, MAKEUP. Any combination of outdoor and transfer air intended to replace exhaust air and exfiltration.AIR CONDITIONER, GAS-FIRED. A gas-burning, automatically operated appliance for supplying cooled air, dehumidified air, or both, or chilled liquid.AIR CONDITIONING. The treatment of air so as to control simultaneously the temperature, humidity, cleanness and distribution of the air to meet the requirements of a conditioned space.AIR-HANDLING UNIT. A blower or fan used for the purpose of distributing supply air to a room, space or area.ALTERATION. A change in a system that involves an extension, addition or change to the arrangement, type or purpose of the original installation.ANODELESS RISER. A transition assembly in which plastic piping is installed and terminated above ground outside of a building.APPLIANCE. Any apparatus or device that utilizes a fuel or a raw material as a fuel to produce light, heat, power, refrigeration or air conditioning. Also, an apparatus that compresses fuel gases.APPLIANCE, AUTOMATICALLY CONTROLLED. Appliances equipped with an automatic burner ignition and safety shutoff device and other automatic devices, that accomplish complete turn-on and shutoff of the gas to the main burner or burners, and graduate the gas supply to the burner or burners, but do not affect complete shutoff of the gas.APPLIANCE, FAN-ASSISTED COMBUSTION. An appliance equipped with an integral mechanical means to either draw or force products of combustion through the combustion chamber or heat exchanger.APPLIANCE, UNVENTED. An appliance designed or installed in such a manner that the products of combustion are not conveyed by a vent or chimney directly to the outside atmosphere.APPLIANCE, VENTED. An appliance designed and installed in such a manner that all of the products of combustion are conveyed directly from the appliance to the outside atmosphere through an approved chimney or vent system.APPROVED. Acceptable to the code official.APPROVED AGENCY. An established and recognized agency that is regularly engaged in conducting tests, furnishing inspection services or furnishing certification, where such agency has been approved by the code official.ATMOSPHERIC PRESSURE. The pressure of the weight of air and water vapor on the surface of the earth, approximately 14.7 pounds per square inch (psia) (101 kPa absolute) at sea level.AUTOMATIC IGNITION. Ignition of gas at the burner(s) when the gas controlling device is turned on, including reignition if the flames on the burner(s) have been extinguished by means other than by the closing of the gas controlling device.BAROMETRIC DRAFT REGULATOR. A balanced damper device attached to a chimney, vent connector, breeching or flue gas manifold to protect combustion appliances by controlling chimney draft. A double-acting barometric draft regulator is one whose balancing damper is free to move in either direction to protect combustion appliances from both excessive draft and backdraft.BOILER, LOW-PRESSURE. A self-contained appliance for supplying steam or hot water.Hot water heating boiler. A boiler in which no steam is generated, from which hot water is circulated for heating purposes and then returned to the boiler, and that operates at water pressures not exceeding 160 pounds per square inch gauge (psig) (1100 kPa gauge) and at water temperatures not exceeding 250°F (121°C) at or near the boiler outlet.Hot water supply boiler. A boiler, completely filled with water, which furnishes hot water to be used externally to itself, and that operates at water pressures not exceeding 160 psig (1100 kPa gauge) and at water temperatures not exceeding 250°F (121°C) at or near the boiler outlet.Steam heating boiler. A boiler in which steam is generated and that operates at a steam pressure not exceeding 15 psig (100 kPa gauge).BONDING JUMPER. A conductor installed to electrically connect metallic gas piping to the grounding electrode system.BRAZING. A metal-joining process wherein coalescence is produced by the use of a nonferrous filler metal having a melting point above 1,000°F (538°C), but lower than that of the base metal being joined. The filler material is distributed between the closely fitted surfaces of the joint by capillary action.BTU. Abbreviation for British thermal unit, which is the quantity of heat required to raise the temperature of 1 pound (454 g) of water 1°F (0.56°C) (1 Btu = 1055 J).BURNER. A device for the final conveyance of the gas, or a mixture of gas and air, to the combustion zone.Induced-draft. A burner that depends on draft induced by a fan that is an integral part of the appliance and is located downstream from the burner.Power. A burner in which gas, air or both are supplied at pressures exceeding, for gas, the line pressure, and for air, atmospheric pressure, with this added pressure being applied at the burner.CHIMNEY. A primarily vertical structure containing one or more flues, for the purpose of carrying gaseous products of combustion and air from an appliance to the outside atmosphere.Factory-built chimney. A listed and labeled chimney composed of factory-made components, assembled in the field in accordance with manufacturer's instructions and the conditions of the listing.Masonry chimney. A field-constructed chimney composed of solid masonry units, bricks, stones or concrete.CLEARANCE. The minimum distance through air measured between the heat-producing surface of the mechanical appliance, device or equipment and the surface of the combustible material or assembly.CLOTHES DRYER. An appliance used to dry wet laundry by means of heated air.Type 1. Factory-built package, multiple production. Primarily used in the family living environment. Usually the smallest unit physically and in function output.CODE. These regulations, subsequent amendments thereto, or any emergency rule or regulation that the administrative authority having jurisdiction has lawfully adopted.CODE OFFICIAL. The officer or other designated authority charged with the administration and enforcement of this code, or a duly authorized representative.COMBUSTIBLE ASSEMBLY. Wall, floor, ceiling or other assembly constructed of one or more component materials that are not defined as noncombustible.COMBUSTIBLE MATERIAL. Any material not defined as noncombustible.COMBUSTION. In the context of this code, refers to the rapid oxidation of fuel accompanied by the production of heat or heat and light.COMBUSTION AIR. Air necessary for complete combustion of a fuel, including theoretical air and excess air.COMBUSTION CHAMBER. The portion of an appliance within which combustion occurs.COMBUSTION PRODUCTS. Constituents resulting from the combustion of a fuel with the oxygen of the air, including the inert gases, but excluding excess air.CONCEALED LOCATION. A location that cannot be accessed without damaging permanent parts of the building structure or finish surface. Spaces above, below or behind readily removable panels or doors shall not be considered as concealed.CONCEALED PIPING. Piping that is located in a concealed location (see ""Concealed location"").CONDENSATE. The liquid that condenses from a gas (including flue gas) caused by a reduction in temperature or increase in pressure.CONNECTOR, APPLIANCE (Fuel). Rigid metallic pipe and fittings, semirigid metallic tubing and fittings or a listed and labeled device that connects an appliance to the gas piping system.CONNECTOR, CHIMNEY OR VENT. The pipe that connects an appliance to a chimney or vent.CONTROL. A manual or automatic device designed to regulate the gas, air, water or electrical supply to, or operation of, a mechanical system.CONVERSION BURNER. A unit consisting of a burner and its controls for installation in an appliance originally utilizing another fuel.COPPER ALLOY. A homogeneous mixture of not less than two metals where not less than 50 percent of the finished metal is copper.CUBIC FOOT. The amount of gas that occupies 1 cubic foot (0.02832 m3) when at a temperature of 60°F (16°C), saturated with water vapor and under a pressure equivalent to that of 30 inches of mercury (101 kPa).DAMPER. A manually or automatically controlled device to regulate draft or the rate of flow of air or combustion gases.DECORATIVE APPLIANCE, VENTED. A vented appliance wherein the primary function lies in the aesthetic effect of the flames.DECORATIVE APPLIANCES FOR INSTALLATION IN VENTED FIREPLACES. A vented appliance designed for installation within the fire chamber of a vented fireplace, wherein the primary function lies in the aesthetic effect of the flames.DEMAND. The maximum amount of gas input required per unit of time, usually expressed in cubic feet per hour, or Btu/h (1 Btu/h = 0.2931 W).DESIGN FLOOD ELEVATION. The elevation of the ""design flood,"" including wave height, relative to the datum specified on the community's legally designated flood hazard map. In areas designated as Zone AO, the design flood elevation shall be the elevation of the highest existing grade of the building's perimeter plus the depth number (in feet) specified on the flood hazard map. In areas designated as Zone AO where a depth number is not specified on the map, the depth number shall be taken as being equal to 2 feet (610 mm).DILUTION AIR. Air that is introduced into a draft hood and is mixed with the flue gases.DIRECT-VENT APPLIANCES. Appliances that are constructed and installed so that all air for combustion is derived directly from the outside atmosphere and all flue gases are discharged directly to the outside atmosphere.DRAFT. The pressure difference existing between the appliance or any component part and the atmosphere, that causes a continuous flow of air and products of combustion through the gas passages of the appliance to the atmosphere.Mechanical or induced draft. The pressure difference created by the action of a fan, blower or ejector that is located between the appliance and the chimney or vent termination.Natural draft. The pressure difference created by a vent or chimney because of its height, and the temperature difference between the flue gases and the atmosphere.DRAFT HOOD. A nonadjustable device built into an appliance, or made as part of the vent connector from an appliance, that is designed to: provide for ready escape of the flue gases from the appliance in the event of no draft, backdraft, or stoppage beyond the draft hood; prevent a backdraft from entering the appliance; and neutralize the effect of stack action of the chimney or gas vent upon operation of the appliance.DRAFT REGULATOR. A device that functions to maintain a desired draft in the appliance by automatically reducing the draft to the desired value.DRIP. The container placed at a low point in a system of piping to collect condensate and from which the condensate is removable.DUCT FURNACE. A warm-air furnace normally installed in an air distribution duct to supply warm air for heating. This definition shall apply only to a warm-air heating appliance that depends for air circulation on a blower not furnished as part of the furnace.DWELLING UNIT. A single unit providing complete, independent living facilities for one or more persons, including permanent provisions for living, sleeping, eating, cooking and sanitation.EQUIPMENT. Apparatus and devices other than appliances.EXCESS FLOW VALVE (EFV). A valve designed to activate when the fuel gas passing through it exceeds a prescribed flow rate.EXTERIOR MASONRY CHIMNEYS. Masonry chimneys exposed to the outdoors on one or more sides below the roof line.FIREPLACE. A fire chamber and hearth constructed of noncombustible material for use with solid fuels and provided with a chimney.Factory-built fireplace. A fireplace composed of listed factory-built components assembled in accordance with the terms of listing to form the completed fireplace.Masonry fireplace. A hearth and fire chamber of solid masonry units such as bricks, stones, listed masonry units or reinforced concrete, provided with a suitable chimney.FLAME SAFEGUARD. A device that will automatically shut off the fuel supply to a main burner or group of burners when the means of ignition of such burners becomes inoperative, and when flame failure occurs on the burner or group of burners.FLASHBACK ARRESTOR CHECK VALVE. A device that will prevent the backflow of one gas into the supply system of another gas and prevent the passage of flame into the gas supply system.FLOOD HAZARD AREA. The greater of the following two areas:The area within a floodplain subject to a 1 percent or greater chance of flooding in any given year.This area designated as a flood hazard area on a community's flood hazard map, or otherwise legally designated.FLOOR FURNACE. A completely self-contained furnace suspended from the floor of the space being heated, taking air for combustion from outside such space and with means for observing flames and lighting the appliance from such space.FLUE, APPLIANCE. The passage(s) within an appliance through which combustion products pass from the combustion chamber of the appliance to the draft hood inlet opening on an appliance equipped with a draft hood or to the outlet of the appliance on an appliance not equipped with a draft hood.FLUE COLLAR. That portion of an appliance designed for the attachment of a draft hood, vent connector or venting system.FLUE GASES. Products of combustion plus excess air in appliance flues or heat exchangers.FLUE LINER (LINING). A system or material used to form the inside surface of a flue in a chimney or vent, for the purpose of protecting the surrounding structure from the effects of combustion products and for conveying combustion products without leakage to the atmosphere.FUEL GAS. A natural gas, manufactured gas, liquefied petroleum gas or mixtures of these gases.FURNACE. A completely self-contained heating unit that is designed to supply heated air to spaces remote from or adjacent to the appliance location.FURNACE, CENTRAL. A self-contained appliance for heating air by transfer of heat of combustion through metal to the air, and designed to supply heated air through ducts to spaces remote from or adjacent to the appliance location.FURNACE PLENUM. An air compartment or chamber to which one or more ducts are connected and that forms part of an air distribution system.GAS CONVENIENCE OUTLET. A permanently mounted, manually operated device that provides the means for connecting an appliance to, and disconnecting an appliance from, the supply piping. The device includes an integral, manually operated valve with a nondisplaceable valve member and is designed so that disconnection of an appliance only occurs when the manually operated valve is in the closed position.GAS PIPING. An installation of pipe, valves or fittings installed on a premises or in a building and utilized to convey fuel gas.HAZARDOUS LOCATION. Any location considered to be a fire hazard for flammable vapors, dust, combustible fibers or other highly combustible substances. The location is not necessarily categorized in the International Building Code as a high-hazard use group classification.HOUSE PIPING. See ""Piping system.""IGNITION PILOT. A pilot that operates during the lighting cycle and discontinues during main burner operation.IGNITION SOURCE. A flame spark or hot surface capable of igniting flammable vapors or fumes. Such sources include appliance burners, burner ignitors and electrical switching devices.INFRARED RADIANT HEATER. A heater that directs a substantial amount of its energy output in the form of infrared radiant energy into the area to be heated. Such heaters are of either the vented or unvented type.JOINT, FLARED. A metal-to-metal compression joint in which a conical spread is made on the end of a tube that is compressed by a flare nut against a mating flare.JOINT, MECHANICAL. A general form of gastight joints obtained by the joining of metal parts through a positive-holding mechanical construction, such as a press-connect joint, flanged joint, threaded joint, flared joint or compression joint.JOINT, PLASTIC ADHESIVE. A joint made in thermoset plastic piping by the use of an adhesive substance that forms a continuous bond between the mating surfaces without dissolving either one of them.LABELED. Equipment, materials or products to which have been affixed a label, seal, symbol or other identifying mark of a nationally recognized testing laboratory, inspection agency or other organization concerned with product evaluation that maintains periodic inspection of the production of the above-labeled items and whose labeling indicates either that the equipment, material or product meets identified standards or has been tested and found suitable for a specified purpose.LEAK CHECK. An operation performed on a gas piping system to verify that the system does not leak.LIQUEFIED PETROLEUM GAS or LPG (LP-GAS). Liquefied petroleum gas composed predominately of propane, propylene, butanes or butylenes, or mixtures thereof that is gaseous under normal atmospheric conditions, but is capable of being liquefied under moderate pressure at normal temperatures.LISTED. Equipment, materials, products or services included in a list published by an organization acceptable to the code official and concerned with evaluation of products or services that maintains periodic inspection of production of listed equipment or materials or periodic evaluation of services and whose listing states either that the equipment, material, product or service meets identified standards or has been tested and found suitable for a specified purpose.LIVING SPACE. Space within a dwelling unit utilized for living, sleeping, eating, cooking, bathing, washing and sanitation purposes.LOG LIGHTER. A manually operated solid-fuel ignition appliance for installation in a vented solid fuel-burning fireplace.MAIN BURNER. A device or group of devices essentially forming an integral unit for the final conveyance of gas or a mixture of gas and air to the combustion zone, and on which combustion takes place to accomplish the function for which the appliance is designed.METER. The instrument installed to measure the volume of gas delivered through it.MODULATING. Modulating or throttling is the action of a control from its maximum to minimum position in either predetermined steps or increments of movement as caused by its actuating medium.NONCOMBUSTIBLE MATERIALS. Materials that, where tested in accordance with ASTM E136, have not fewer than three of four specimens tested meeting all of the following criteria:The recorded temperature of the surface and interior thermocouples shall not at any time during the test rise more than 54°F (30°C) above the furnace temperature at the beginning of the test.There shall not be flaming from the specimen after the first 30 seconds.If the weight loss of the specimen during testing exceeds 50 percent, the recorded temperature of the surface and interior thermocouples shall not at any time during the test rise above the furnace air temperature at the beginning of the test, and there shall not be flaming of the specimen.OFFSET (VENT). A combination of approved bends that make two changes in direction bringing one section of the vent out of line, but into a line parallel with the other section.OUTLET. The point at which a gas-fired appliance connects to the gas piping system.OXYGEN DEPLETION SAFETY SHUTOFF SYSTEM (ODS). A system designed to act to shut off the gas supply to the main and pilot burners if the oxygen in the surrounding atmosphere is reduced below a predetermined level.PILOT. A small flame that is utilized to ignite the gas at the main burner or burners.PIPING. Where used in this code, ""piping"" refers to either pipe or tubing, or both.Pipe. A rigid conduit of iron, steel, copper, copper-alloy or plastic.Tubing. Semirigid conduit of copper, copper-alloy, aluminum, plastic or steel.PIPING SYSTEM. The fuel piping, valves and fittings from the outlet of the point of delivery to the outlets of the appliance shutoff valves.PLASTIC, THERMOPLASTIC. A plastic that is capable of being repeatedly softened by increase of temperature and hardened by decrease of temperature.POINT OF DELIVERY. For natural gas systems, the point of delivery is the outlet of the service meter assembly or the outlet of the service regulator or service shutoff valve where a meter is not provided. Where a system shutoff valve is provided after the outlet of the service meter assembly, such valve shall be considered to be downstream of the point of delivery. For undiluted liquefied petroleum gas systems, the point of delivery shall be considered to be the outlet of the service pressure regulator, exclusive of line gas regulators, in the system.PRESS-CONNECT JOINT. A permanent mechanical joint incorporating an elastomeric seal or an elastomeric seal and corrosion-resistant grip or bite ring. The joint is made with a pressing tool and jaw or ring approved by the fitting manufacturer.PRESSURE DROP. The loss in pressure due to friction or obstruction in pipes, valves, fittings, regulators and burners.PRESSURE TEST. An operation performed to verify the gastight integrity of gas piping following its installation or modification.PURGE. To free a gas conduit of air or gas, or a mixture of gas and air.READY ACCESS (TO). That which enables a device, appliance or equipment to be directly reached, without requiring the removal or movement of any panel, door or similar obstruction. (See ""Access."")REGULATOR. A device for controlling and maintaining a uniform gas supply pressure, either pounds-to-inches water column (MP regulator) or inches-to-inches water column (appliance regulator).REGULATOR, GAS APPLIANCE. A pressure regulator for controlling pressure to the manifold of the gas appliance.REGULATOR, LINE GAS PRESSURE. A device placed in a gas line between the service pressure regulator and the appliance for controlling, maintaining or reducing the pressure in that portion of the piping system downstream of the device.REGULATOR, MEDIUM-PRESSURE (MP Regulator). A line pressure regulator that reduces gas pressure from the range of greater than 0.5 psig (3.4 kPa) and less than or equal to 5 psig (34.5 kPa) to a lower pressure.REGULATOR, MONITORING. A pressure regulator set in series with another pressure regulator for the purpose of preventing an overpressure in the downstream piping system.REGULATOR, PRESSURE. A device placed in a gas line for reducing, controlling and maintaining the pressure in that portion of the piping system downstream of the device.REGULATOR, SERVICE PRESSURE. For natural gas systems, a device installed by the serving gas supplier to reduce and limit the service line pressure to delivery pressure. For undiluted liquefied petroleum gas systems, the regulator located upstream from all line gas pressure regulators, where installed, and downstream from any first stage or a high pressure regulator in the system.RELIEF OPENING. The opening provided in a draft hood to permit the ready escape to the atmosphere of the flue products from the draft hood in the event of no draft, backdraft or stoppage beyond the draft hood, and to permit air into the draft hood in the event of a strong chimney updraft.RELIEF VALVE (DEVICE). A safety valve designed to forestall the development of a dangerous condition by relieving either pressure, temperature or vacuum in the hot water supply system.RELIEF VALVE, PRESSURE. An automatic valve that opens and closes a relief vent, depending on whether the pressure is above or below a predetermined value.RELIEF VALVE, TEMPERATURE.Manual reset type. A valve that automatically opens a relief vent at a predetermined temperature and that must be manually returned to the closed position.Reseating or self-closing type. An automatic valve that opens and closes a relief vent, depending on whether the temperature is above or below a predetermined value.RELIEF VALVE, VACUUM. A valve that automatically opens and closes a vent for relieving a vacuum within the hot water supply system, depending on whether the vacuum is above or below a predetermined value.RISER, GAS. A vertical pipe supplying fuel gas.ROOM HEATER, UNVENTED. See ""Unvented room heater.""ROOM HEATER, VENTED. A free-standing heating unit used for direct heating of the space in and adjacent to that in which the unit is located. (See ""Vented room heater."")SAFETY SHUTOFF DEVICE. See ""Flame safeguard.""SERVICE METER ASSEMBLY. The meter, valve, regulator, piping, fittings and equipment installed by the service gas supplier before the point of delivery.SHAFT. An enclosed space extending through one or more stories of a building, connecting vertical openings in successive floors, or floors and the roof.SPECIFIC GRAVITY. As applied to gas, specific gravity is the ratio of the weight of a given volume to that of the same volume of air, both measured under the same condition.SYSTEM SHUTOFF. A valve installed after the point of delivery to shut off the entire piping system.THERMOSTAT. (See types that follow.)Electric switch type. A device that senses changes in temperature and controls electrically, by means of separate components, the flow of gas to the burner(s) to maintain selected temperatures.Integral gas valve type. An automatic device, actuated by temperature changes, designed to control the gas supply to the burner(s) in order to maintain temperatures between predetermined limits, and in which the thermal actuating element is an integral part of the device.Graduating thermostat. A thermostat in which the motion of the valve is approximately in direct proportion to the effective motion of the thermal element induced by temperature change.Snap-acting thermostat. A thermostat in which the thermostatic valve travels instantly from the closed to the open position, and vice versa.THIRD-PARTY CERTIFICATION AGENCY. An approved agency operating a product or material certification system that incorporates initial product testing, assessment and surveillance of a manufacturer's quality control system.THIRD-PARTY CERTIFIED. Certification obtained by the manufacturer indicating that the function and performance characteristics of a product or material have been determined by testing and ongoing surveillance by an approved third-party certification agency. Assertion of certification is in the form of identification in accordance with the requirements of the third-party certification agency.THIRD-PARTY TESTED. Procedure by which an approved testing laboratory provides documentation that a product, material or system conforms to specified requirements.TOILET, GAS-FIRED. A packaged and completely assembled appliance containing a toilet that incinerates refuse instead of flushing it away with water.TRANSITION FITTINGS, PLASTIC TO STEEL. An adapter for joining plastic pipe to steel pipe. The purpose of this fitting is to provide a permanent, pressure-tight connection between two materials that cannot be joined directly one to another.UNIT HEATER. A self-contained, automatically controlled, vented, fuel-gas-burning, space-heating appliance, intended for installation in the space to be heated without the use of ducts, and having integral means for circulation of air.UNVENTED ROOM HEATER. An unvented heating appliance designed for stationary installation and utilized to provide comfort heating. Such appliances provide radiant heat or convection heat by gravity or fan circulation directly from the heater and do not utilize ducts.VALVE. A device used in piping to control the gas supply to any section of a system of piping or to an appliance.Appliance shutoff. A valve located in the piping system, used to isolate individual appliances for purposes such as service or replacement.Automatic. An automatic or semiautomatic device consisting essentially of a valve and an operator that control the gas supply to the burner(s) during operation of an appliance. The operator shall be actuated by application of gas pressure on a flexible diaphragm, by electrical means, by mechanical means or by other approved means.Automatic gas shutoff. A valve used in conjunction with an automatic gas shutoff device to shut off the gas supply to a water-heating system. It shall be constructed integrally with the gas shutoff device or shall be a separate assembly.Individual main burner. A valve that controls the gas supply to an individual main burner.Main burner control. A valve that controls the gas supply to the main burner manifold.Manual main gas-control. A manually operated valve in the gas line for the purpose of completely turning on or shutting off the gas supply to the appliance, except to pilot or pilots that are provided with independent shutoff.Manual reset. An automatic shutoff valve installed in the gas supply piping and set to shut off when unsafe conditions occur. The device remains closed until manually reopened.Service shutoff. A valve, installed by the serving gas supplier between the source of supply and the point of delivery, to shut off the entire piping system.VENT. A pipe or other conduit composed of factory-made components, containing a passageway for conveying combustion products and air to the atmosphere, listed and labeled for use with a specific type or class of appliance.Special gas vent. A vent listed and labeled for use with listed Category II, III and IV gas appliances.Type B vent. A vent listed and labeled for use with appliances with draft hoods and other Category I appliances that are listed for use with Type B vents.Type BW vent. A vent listed and labeled for use with wall furnaces.Type L vent. A vent listed and labeled for use with appliances that are listed for use with Type L or Type B vents.VENT CONNECTOR. See ""Connector, Chimney or Vent.""VENT PIPING.Breather. Piping run from a pressure-regulating device to the outdoors, designed to provide a reference to atmospheric pressure. If the device incorporates an integral pressure relief mechanism, a breather vent can also serve as a relief vent.Relief. Piping run from a pressure-regulating or pressure-limiting device to the outdoors, designed to provide for the safe venting of gas in the event of excessive pressure in the gas piping system.VENTED APPLIANCE CATEGORIES. Appliances that are categorized for the purpose of vent selection are classified into the following four categories:Category I. An appliance that operates with a nonpositive vent static pressure and with a vent gas temperature that avoids excessive condensate production in the vent.Category II. An appliance that operates with a nonpositive vent static pressure and with a vent gas temperature that is capable of causing excessive condensate production in the vent.Category III. An appliance that operates with a positive vent static pressure and with a vent gas temperature that avoids excessive condensate production in the vent.Category IV. An appliance that operates with a positive vent static pressure and with a vent gas temperature that is capable of causing excessive condensate production in the vent.VENTED ROOM HEATER. A vented self-contained, free-standing, nonrecessed appliance for furnishing warm air to the space in which it is installed, directly from the heater without duct connections.VENTED WALL FURNACE. A self-contained vented appliance complete with grilles or equivalent, designed for incorporation in or permanent attachment to the structure of a building, mobile home or travel trailer, and furnishing heated air circulated by gravity or by a fan directly into the space to be heated through openings in the casing. This definition shall exclude floor furnaces, unit heaters and central furnaces as herein defined.VENTING SYSTEM. A continuous open passageway from the flue collar or draft hood of an appliance to the outdoor atmosphere for the purpose of removing flue or vent gases. A venting system is usually composed of a vent or a chimney and vent connector, if used, assembled to form the open passageway.WALL HEATER, UNVENTED TYPE. A room heater of the type designed for insertion in or attachment to a wall or partition. Such heater does not incorporate concealed venting arrangements in its construction and discharges all products of combustion through the front into the room being heated.WATER HEATER. Any heating appliance or equipment that heats potable water and supplies such water to the potable hot water distribution system."
G2404.1,Section G2404 (301) General,(301.1) Scope,,,,mechanical_systems,mechanical_engineer,This section shall govern the approval and installation of all equipment and appliances that comprise parts of the installations regulated by this code in accordance with Section G2401.
G2404.2,Section G2404 (301) General,(301.1.1) Other Fuels,,,,mechanical_systems,mechanical_engineer,The requirements for combustion and dilution air for gas-fired appliances shall be governed by Section G2407. The requirements for combustion and dilution air for appliances operating with fuels other than fuel gas shall be regulated by Chapter 17.
G2404.3,Section G2404 (301) General,(301.3) Listed and Labeled,,,,mechanical_systems,mechanical_engineer,Appliances regulated by this code shall be listed and labeled for the application in which they are used unless otherwise approved in accordance with Section R104.11. The approval of unlisted appliances in accordance with Section R104.11 shall be based on approved engineering evaluation.
G2404.4,Section G2404 (301) General,(301.8) Vibration Isolation,,,,mechanical_systems,mechanical_engineer,"Where means for isolation of vibration of an appliance is installed, an approved means for support and restraint of that appliance shall be provided."
