id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
39,,Power and Lighting Distribution,,,,electrical_systems,electrical_engineer,"ICC user note:About this chapter: Chapter 39 addresses the ""rough-in"" stage of construction in which the wiring system is installed and receptacle and lighting outlets placed throughout the dwelling. This chapter covers receptacle outlet spacing, GFCI (ground-fault circuit-interrupter) and AFCI (arc-fault circuit-interrupter) protection, lighting outlet locations, raceway and box fill limitations, box and panel board installation, equipment grounding and flexible cords."
E3901.1,Section E3901 Receptacle Outlets,General,,,,electrical_systems,electrical_engineer,"Outlets for receptacles rated at 125 volts, 15- and 20-amperes shall be provided in accordance with Sections E3901.2 through E3901.11. Receptacle outlets required by this section shall be in addition to any receptacle that is:Part of a luminaire or appliance;Located within cabinets or cupboards;Controlled by a listed wall-mounted control device in accordance with Section E3903.2, Exception 1; orLocated over 5.5 feet (1676 mm) above the floor.Permanently installed electric baseboard heaters equipped with factory-installed receptacle outlets, or outlets provided as a separate assembly by the baseboard manufacturer shall be permitted as the required outlet or outlets for the wall space utilized by such permanently installed heaters. Such receptacle outlets shall not be connected to the heater circuits. (210.52)"
E3901.2,Section E3901 Receptacle Outlets,General Purpose Receptacle Distribution,,,,electrical_systems,electrical_engineer,"In every kitchen, family room, dining room, living room, parlor, library, den, sunroom, bedroom, recreation room, or similar room or area of dwelling units, receptacle outlets shall be installed in accordance with the general provisions specified in Sections E3901.2.1 through E3901.2.4 (see Figure E3901.2).For SI: 1 foot = 304.8 mm.FIGURE E3901.2GENERAL USE RECEPTACLE DISTRIBUTION"
E3901.2.1,Section E3901 Receptacle Outlets,Spacing,,,,electrical_systems,electrical_engineer,"Receptacles shall be installed so that no point measured horizontally along the floor line of any wall space is more than 6 feet (1829 mm), from a receptacle outlet. [210.52(A)(1)]"
E3901.2.2,Section E3901 Receptacle Outlets,Wall Space,,,,electrical_systems,electrical_engineer,"As used in this section, a wall space shall include the following: [210.52(A)(2)]Any space that is 2 feet (610 mm) or more in width, including space measured around corners, and that is unbroken along the floor line by doorways and similar openings, fireplaces, and fixed cabinets that do not have countertops or similar work surfaces.The space occupied by fixed panels in exterior walls, excluding sliding panels.The space created by fixed room dividers such as railings and freestanding bar-type counters."
E3901.2.3,Section E3901 Receptacle Outlets,Floor Receptacles,,,,electrical_systems,electrical_engineer,Receptacle outlets in floors shall not be counted as part of the required number of receptacle outlets except where located within 18 inches (457 mm) of the wall. [210.52(A)(3)]
E3901.2.4,Section E3901 Receptacle Outlets,Countertop and Similar Work Surface Receptacles Outlets,,,,electrical_systems,electrical_engineer,Receptacles installed for countertop and similar work surfaces as specified in Section E3901.4 shall not be considered as the receptacle outlets required by Section E3901.2. [210.52(A)(4)]
E3901.3,Section E3901 Receptacle Outlets,Small Appliance Receptacles,,,,electrical_systems,electrical_engineer,"In the kitchen, pantry, breakfast room, dining room, or similar area of a dwelling unit, the two or more 20-ampere small-appliance branch circuits required by Section E3703.2, shall serve all wall and floor receptacle outlets covered by Sections E3901.2 and E3901.4 and those receptacle outlets provided for refrigeration appliances. [210.52(B)(1)]Exceptions:In addition to the required receptacles specified by Sections E3901.1 and E3901.2, switched receptacles supplied from a general-purpose 15- or 20-ampere branch circuit as required in Section E3903.2, Exception 1 shall be permitted. [210.52(B)(1) Exception No. 1]In addition to the required receptacles specified by Section E3901.2, a receptacle outlet to serve a specific appliance shall be permitted to be supplied from an individual branch circuit rated at 15 amperes or greater. [210.52(B)(1) Exception No. 2]"
E3901.3.1,Section E3901 Receptacle Outlets,Other Outlets Prohibited,,,,electrical_systems,electrical_engineer,"The two or more small-appliance branch circuits specified in Section E3901.3 shall serve no other outlets. [210.52(B)(2)] Exceptions:A receptacle installed solely for the electrical supply to and support of an electric clock in any of the rooms specified in Section E3901.3. [210.52(B)(2) Exception No.1]Receptacles installed to provide power for supplemental equipment and lighting on gas-fired ranges, ovens, and counter-mounted cooking units. [210.52(B)(2) Exception No. 2]"
E3901.3.2,Section E3901 Receptacle Outlets,Limitations,,,,electrical_systems,electrical_engineer,"Receptacles installed in a kitchen to serve countertop surfaces shall be supplied by not less than two small-appliance branch circuits, either or both of which shall also be permitted to supply receptacle outlets in the same kitchen and in other rooms specified in Section E3901.3. Additional small-appliance branch circuits shall be permitted to supply receptacle outlets in the kitchen and other rooms specified in Section E3901.3. A small-appliance branch circuit shall not serve more than one kitchen. [210.52(B)(3)]"
