id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
40,,Devices and Luminaires,,,,electrical_systems,electrical_engineer,"ICC user note:About this chapter: Chapter 40 addresses the ""trim-out"" (final) stage of construction in which devices and fixtures are installed and connected to the installed wiring system.This chapter covers receptacle ratings and installation, lighting fixture installation, construction and location, and grounding of devices and fixtures."
E4001.1,Section E4001 Switches,Rating and Application of Snap Switches,,,,electrical_systems,electrical_engineer,"Switches shall be listed and used within their ratings and shall control only the following loads:Resistive and inductive loads not exceeding the ampere rating of the switch at the voltage involved.Tungsten-filament lamp loads not exceeding the ampere rating of the switch at 120 volts.Motor loads not exceeding 80 percent of the ampere rating of the switch at its rated voltage. Electric discharge lamp loads not exceeding the marked ampere and voltage rating of the switch.Electronic ballasts, self-ballasted lamps, compact fluorescent lamps, and LED lamp loads with their associated drivers, not exceeding 20 amperes and not exceeding the ampere rating of the switch at the voltage applied. [404.14(A)]"
E4001.2,Section E4001 Switches,CO/ALR Snap Switches,,,,electrical_systems,electrical_engineer,Snap switches rated 20 amperes or less directly connected to aluminum conductors shall be marked CO/ALR. [404.14(C)]
E4001.3,Section E4001 Switches,Indicating,,,,electrical_systems,electrical_engineer,"General-use and motor-circuit switches and circuit breakers shall clearly indicate in a location that is visible when accessing the external operating means whether they are in the open OFF or closed ON position. Where single-throw switches or circuit breaker handles are operated vertically rather than rotationally or horizontally, the up position of the handle shall be the closed (on) position. (404.7)"
E4001.4,Section E4001 Switches,Time Switches and Similar Devices,,,,electrical_systems,electrical_engineer,Time switches and similar devices shall be of the enclosed type or shall be mounted in cabinets or boxes or equipment enclosures. A barrier shall be used around energized parts to prevent operator exposure when making manual adjustments or switching. (404.5)
E4001.5,Section E4001 Switches,Grounding of Enclosures,,,,electrical_systems,electrical_engineer,"Metal enclosures for switches or circuit breakers shall be connected to an equipment grounding conductor. Metal enclosures for switches or circuit breakers used as service equipment shall comply with the provisions of Section E3609.4. Where nonmetallic enclosures are used with metal raceways or metal-armored cables, provisions shall be made for connecting the equipment grounding conductor.Nonmetallic boxes for switches shall be installed with a wiring method that provides or includes an equipment grounding conductor. (404.12)"
E4001.6,Section E4001 Switches,Access,,,,electrical_systems,electrical_engineer,"Switches and circuit breakers used as switches shall be located to allow operation from a readily accessible location. Such devices shall be installed so that the center of the grip of the operating handle of the switch or circuit breaker, when in its highest position, will not be more than 6 feet 7 inches (2007 mm) above the floor or working platform. [404.8(A)]Exception: This section shall not apply to switches and circuit breakers that are accessible by portable means and are installed adjacent to the motors, appliances and other equipment that they supply. [404.8(A) Exception]"
E4001.7,Section E4001 Switches,Damp or Wet Locations,,,,electrical_systems,electrical_engineer,"A surface mounted switch or circuit breaker located in a damp or wet location or outside of a building shall be enclosed in a weatherproof enclosure or cabinet. A flush-mounted switch or circuit breaker in a damp or wet location shall be equipped with a weatherproof cover. Switches shall not be installed within wet locations in tub or shower spaces unless installed as part of a listed tub or shower assembly. [404.4(A), (B), and (C)]"
E4001.8,Section E4001 Switches,Grounded Conductors,,,,electrical_systems,electrical_engineer,Switches or circuit breakers shall not disconnect the grounded conductor of a circuit except where the switch or circuit breaker simultaneously disconnects all conductors of the circuit. [404.2(B)]
E4001.9,Section E4001 Switches,Switch Connections,,,,electrical_systems,electrical_engineer,"Three- and four-way switches shall be wired so that all switching occurs only in the ungrounded circuit conductor. Color coding of switch connection conductors shall comply with Section E3407.3. Where in metal raceways or metal-jacketed cables, wiring between switches and outlets shall be in accordance with Section E3406.7. [404.2(A)]Exception: Switch loops do not require a grounded conductor. [404.2(A) Exception]"
E4001.10,Section E4001 Switches,Box Mounted,,,,electrical_systems,electrical_engineer,"General-use snap switches, dimmers and control switches mounted in boxes that are recessed from the finished wall surfaces as covered in Section E3906.5 shall be installed so that the extension plaster ears are seated against the surface of the wall. Flush-type devices mounted in boxes that are flush with the finished wall surface or project therefrom shall be installed so that the mounting yoke or strap of the device is seated against the box.Screws used for the purpose of attaching a device to a box shall be of the type provided with a listed device, or shall be machine screws having 32 threads per inch or part of listed assemblies or systems, in accordance with the manufacturer's instructions. [404.10(B)]"
E4001.11,Section E4001 Switches,Snap Switch Faceplates,,,,electrical_systems,electrical_engineer,"Faceplates provided for snap switches, dimmers and control devices mounted in boxes and other enclosures shall be installed so as to completely cover the opening and, where the switch is flush mounted, seat against the finished surface. [404.9(A)]"
