id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
J,,Grading,,,,,,"The provisions contained in this appendix are not mandatory unless specifically referenced in the adopting ordinance.User notes:About this appendix: Appendix J provides standards for the grading of properties. The appendix also provides standards for the administration and enforcement of a grading program, including permit and inspection requirements. Appendix J was originally developed in the 1960s and used for many years in jurisdictions throughout the western United States. It is intended to provide consistent and uniform code requirements anywhere grading is considered an issue.Code development reminder: Code change proposals to this appendix will be considered by the IBC—Structural Code Development Committee during the 2022 (Group B) Code Development Cycle."
J101.1,Section J101 General,Scope,,,,,,"The provisions of this chapter apply to grading, excavation and earthwork construction, including fills and embankments. Where conflicts occur between the technical requirements of this chapter and the geotechnical report, the geotechnical report shall govern."
J101.2,Section J101 General,Flood Hazard Areas,,,,,,"Unless the applicant has submitted an engineering analysis, prepared in accordance with standard engineering practice by a registered design professional, that demonstrates the proposed work will not result in any increase in the level of the base flood, grading, excavation and earthwork construction, including fills and embankments, shall not be permitted in floodways that are in flood hazard areas established in Section 1612.3 or in flood hazard areas where design flood elevations are specified but floodways have not been designated."
J102.1,Section J102 Definitions,Definitions,,,,,,"The following words and terms shall, for the purposes of this appendix, have the meanings shown herein. Refer to Chapter 2 of this code for general definitions. BENCH. A relatively level step excavated into earth material on which fill is to be placed.COMPACTION. The densification of a fill by mechanical means.CUT. See ""Excavation.""DOWN DRAIN. A device for collecting water from a swale or ditch located on or above a slope, and safely delivering it to an approved drainage facility.EROSION. The wearing away of the ground surface as a result of the movement of wind, water or ice.EXCAVATION. The removal of earth material by artificial means, also referred to as a cut.FILL. Deposition of earth materials by artificial means.GRADE. The vertical location of the ground surface.GRADE, EXISTING. The grade prior to grading.GRADE, FINISHED. The grade of the site at the conclusion of all grading efforts.GRADING. An excavation or fill or combination thereof.KEY. A compacted fill placed in a trench excavated in earth material beneath the toe of a slope.SLOPE. An inclined surface, the inclination of which is expressed as a ratio of horizontal distance to vertical distance.TERRACE. A relatively level step constructed in the face of a graded slope for drainage and maintenance purposes."
J103.1,Section J103 Permits Required,Permits Required,,,,,,"Except as exempted in Section J103.2, grading shall not be performed without first having obtained a permit therefor from the building official. A grading permit does not include the construction of retaining walls or other structures."
J103.2,Section J103 Permits Required,Exemptions,,,,,,"A grading permit shall not be required for the following:Grading in an isolated, self-contained area, provided that the public is not endangered and that such grading will not adversely affect adjoining properties.Excavation for construction of a structure permitted under this code.Cemetery graves.Refuse disposal sites controlled by other regulations.Excavations for wells, or trenches for utilities.Mining, quarrying, excavating, processing or stockpiling rock, sand, gravel, aggregate or clay controlled by other regulations, provided that such operations do not affect the lateral support of, or significantly increase stresses in, soil on adjoining properties.Exploratory excavations performed under the direction of a registered design professional.Exemption from the permit requirements of this appendix shall not be deemed to grant authorization for any work to be done in any manner in violation of the provisions of this code or any other laws or ordinances of this jurisdiction."
J104.1,Section J104 Permit Application and Submittals,Submittal Requirements,,,,,,"In addition to the provisions of the North Carolina Administrative and Policies, the applicant shall state the estimated quantities of excavation and fill."
J104.2,Section J104 Permit Application and Submittals,Site Plan Requirements,,,,,,"In addition to the provisions of the North Carolina Administrative and Policies, a grading plan shall show the existing grade and finished grade in contour intervals of sufficient clarity to indicate the nature and extent of the work and show in detail that it complies with the requirements of this code. The plans shall show the existing grade on adjoining properties in sufficient detail to identify how grade changes will conform to the requirements of this code."
J104.3,Section J104 Permit Application and Submittals,Geotechnical Report,,,,,,"A geotechnical report prepared by a registered design professional shall be provided. The report shall contain not less than the following:The nature and distribution of existing soils.Conclusions and recommendations for grading procedures.Soil design criteria for any structures or embankments required to accomplish the proposed grading.Where necessary, slope stability studies, and recommendations and conclusions regarding site geology.Exception: A geotechnical report is not required where the building official determines that the nature of the work applied for is such that a report is not necessary."
J104.4,Section J104 Permit Application and Submittals,Liquefaction Study,,,,,,"For sites with mapped maximum considered earthquake spectral response accelerations at short periods (Ss) greater than 0.5g as determined by Section 1613, a study of the liquefaction potential of the site shall be provided and the recommendations incorporated in the plans.Exception: A liquefaction study is not required where the building official determines from established local data that the liquefaction potential is low."
