id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
AF,,Radon Control Methods,,,,,,"The provisions contained in this appendix are not mandatory unless specifically referenced in the adopting ordinance.User note:About this appendix: Appendix AF contains provisions that are intended to mitigate the transfer of radon gases from the soil into dwelling units. Radon is a radioactive gas that has been identified as a cancer-causing agent. Radon comes from the natural breakdown of uranium in soil, rock and water."
AF101,,Scope,,,,,,FIGURE AF101EPA MAP OF RADON ZONES LEGENDTABLE AF101 (1)HIGH RADON-POTENTIAL (ZONE 1) COUNTIESAALABAMACalhounClayCleburneColbertCoosaFranklinJacksonLauderdaleLawrenceLimestoneMadisonMorganTalladegaCALIFORNIASanta BarbaraVenturaCOLORADOAdamsArapahoeBacaBentBoulderChaffeeCheyenneClear CreekCrowleyCusterDeltaDenverDoloresDouglasEl PasoElbertFremontGarfieldGilpinGrandGunnisonHuerfanoJacksonJeffersonKiowaKit CarsonLakeLarimerLas AnimasLincolnLoganMesaMoffatMontezumaMontroseMorganOteroOurayParkPhillipsPitkinProwersPuebloRio BlancoSan MiguelSummitTellerWashingtonWeldYumaCONNECTICUTFairfieldMiddlesexNew HavenNew LondonGEORGIACobbDe KalbFultonGwinnettIDAHOBenewahBlaineBoiseBonnerBoundaryButteCamasClarkClearwaterCusterElmoreFremontGoodingIdahoKootenaiLatahLemhiShoshoneValleyILLINOISAdamsBooneBrownBureauCalhounCarrollCassChampaignColesDe KalbDe WittDouglasEdgarFordFultonGreeneGrundyHancockHendersonHenryIroquoisJerseyJo DaviessKaneKendallKnoxLa SalleLeeLivingstonLoganMaconMarshallMasonMcDonoughMcLeanMenardMercerMorganMoultrieOglePeoriaPiattPikePutnamRock IslandSangamonSchuylerScottStarkStephensonTazewellVermilionWarrenWhitesideWinnebagoWoodfordINDIANAAdamsAllenBartholomewBentonBlackfordBooneCarrollCassClarkClintonDe KalbDecaturDelawareElkhartFayetteFountainFultonGrantHamiltonHancockHarrisonHendricksHenryHowardHuntingtonJayJenningsJohnsonKosciuskoLaGrangeLawrenceMadisonMarionMarshallMiamiMonroeMontgomeryNobleOrangePutnamRandolphRushScottShelbySt. JosephSteubenTippecanoeTiptonUnionVermillionWabashWarrenWashingtonWayneWellsWhiteWhitleyIOWAAll CountiesKANSASAtchisonBartonBrownCheyenneClayCloudDecaturDickinsonDouglasEllisEllsworthFinneyFordGearyGoveGrahamGrantGrayGreeleyHamiltonHaskellHodgemanJacksonJewellJohnsonKearnyKingmanKiowaLaneLeavenworthLincolnLoganMarionMarshallMcPhersonMeadeMitchellNemahaNessNortonOsborneOttawaPawneePhillipsPottawatomiePrattRawlinsRepublicRiceRileyRooksRushSalineScottSheridanShermanSmithStantonThomasTregoWallaceWashingtonWichitaWyandotteKENTUCKYAdairAllenBarrenBourbonBoyleBullittCaseyClarkCumberlandFayetteFranklinGreenHarrisonHartJeffersonJessamineLincolnMarionMercerMetcalfeMonroeNelsonPendletonPulaskiRobertsonRussellScottTaylorWarrenWoodfordMAINEAndroscogginAroostookCumberlandFranklinHancockKennebecLincolnOxfordPenobscotPiscataquisSomersetYorkMARYLANDBaltimoreCalvertCarrollFrederickHarfordHowardMontgomeryWashingtonMASS.EssexMiddlesexWorcesterMICHIGANBranchCalhounCassHillsdaleJacksonKalamazooLenaweeSt. JosephWashtenawMINNESOTABeckerBig StoneBlue EarthBrownCarverChippewaClayCottonwoodDakotaDodgeDouglasFaribaultFillmoreFreebornGoodhueGrantHennepinHoustonHubbardJacksonKanabecKandiyohiKittsonLac Qui ParleLe SueurLincolnLyonMahnomenMarshallMartinMcLeodMeekerMowerMurrayNicolletNoblesNormanOlmstedOtter TailPenningtonPipestonePolkPopeRamseyRed LakeRedwoodRenvilleRiceRockRoseauScottSherburneSibleyStearnsSteeleStevensSwiftToddTraverseWabashaWadenaWasecaWashingtonWatonwanWilkinWinonaWrightYellow MedicineMISSOURIAndrewAtchisonBuchananCassClayClintonHoltIronJacksonNodawayPlatteMONTANABeaverheadBig HornBlaineBroadwaterCarbonCarterCascadeChouteauCusterDanielsDawsonDeer LodgeFallonFergusFlatheadGallatinGarfieldGlacierGraniteHillJeffersonJudith BasinLakeLewis and ClarkMadisonMcConeMeagherMissoulaParkPhillipsPonderaPowder RiverPowellPrairieRavalliRichlandRooseveltRosebudSandersSheridanSilver BowStillwaterTetonTooleValleyWibauxYellowstoneNEBRASKAAdamsBooneBoydBurtButlerCassCedarClayColfaxCumingDakotaDixonDodgeDouglasFillmoreFranklinFrontierFurnasGageGosperGreeleyHamiltonHarlanHayesHitchcockHurstonJeffersonJohnsonKearneyKnoxLancasterMadisonNanceNemahaNuckollsOtoePawneePhelpsPiercePlattePolkRed WillowRichardsonSalineSarpySaundersSewardStantonThayerWashingtonWayneWebsterYorkNEVADACarson CityDouglasEurekaLanderLincolnLyonMineralPershingWhite PineNEW HAMPSHIRECarrollNEW JERSEYHunterdonMercerMonmouthMorrisSomersetSussexWarrenNEW MEXICOBernalilloColfaxMoraRio ArribaSan MiguelSanta FeTaosNEW YORKAlbanyAlleganyBroomeCattaraugusCayugaChautauquaChemungChenangoColumbiaCortlandDelawareDutchessErieGeneseeGreeneLivingstonMadisonOnondagaOntarioOrangeOtsegoPutnamRensselaerSchoharieSchuylerSenecaSteubenSullivanTiogaTompkinsUlsterWashingtonWyomingYatesN. CAROLINAAlleghanyBuncombeCherokeeHendersonMitchellRockinghamTransylvaniaWataugaN. DAKOTAAll CountiesOHIOAdamsAllenAshlandAuglaizeBelmontButlerCarrollChampaignClarkClintonColumbianaCoshoctonCrawfordDarkeDelawareFairfieldFayetteFranklinGreeneGuernseyHamiltonHancockHardinHarrisonHolmesHuronJeffersonKnoxLickingLoganMadisonMarionMercerMiamiMontgomeryMorrowMuskingumPerryPickawayPikePrebleRichlandRossSenecaShelbyStarkSummitTuscarawasUnionVan WertWarrenWayneWyandotPENNSYLVANIAAdamsAlleghenyArmstrongBeaverBedfordBerksBlairBradfordBucksButlerCameronCarbonCentreChesterClarionClearfieldClintonColumbiaCumberlandDauphinDelawareFranklinFultonHuntingdonIndianaJuniataLackawannaLancasterLebanonLehighLuzerneLycomingMifflinMonroeMontgomeryMontourNorthamptonNorthumberlandPerrySchuylkillSnyderSullivanSusquehannaTiogaUnionVenangoWestmorelandWyomingYorkRHODE ISLANDKentWashingtonS. CAROLINAGreenvilleS. DAKOTAAuroraBeadleBon HommeBrookingsBrownBruleBuffaloCampbellCharles MixClarkClayCodingtonCorsonDavisonDayDeuelDouglasEdmundsFaulkGrantHamlinHandHansonHughesHutchinsonHydeJerauldKingsburyLakeLincolnLymanMarshallMcCookMcPhersonMinerMinnehahaMoodyPerkinsPotterRobertsSanbornSpinkStanleySullyTurnerUnionWalworthYanktonTENNESEEAndersonBedfordBlountBradleyClaiborneDavidsonGilesGraingerGreeneHamblenHancockHawkinsHickmanHumphreysJacksonJeffersonKnoxLawrenceLewisLincolnLoudonMarshallMauryMcMinnMeigsMonroeMoorePerryRoaneRutherfordSmithSullivanTrousdaleUnionWashingtonWayneWilliamsonWilsonUTAHCarbonDuchesneGrandPiuteSanpeteSevierUintahVIRGINIAAlleghanyAmeliaAppomattoxAugustaBathBlandBotetourtBristolBrunswickBuckinghamBuena VistaCampbellChesterfieldClarkeClifton ForgeCovingtonCraigCumberlandDanvilleDinwiddieFairfaxFalls ChurchFluvannaFrederickFredericksburgGilesGoochlandHarrisonburgHenryHighlandLeeLexingtonLouisaMartinsvilleMontgomeryNottowayOrangePagePatrickPittsylvaniaPowhatanPulaskiRadfordRoanokeRockbridgeRockinghamRussellSalemScottShenandoahSmythSpotsylvaniaStaffordStauntonTazewellWarrenWashingtonWaynesboroWinchesterWytheWASHINGTONClarkFerryOkanoganPend OreilleSkamaniaSpokaneStevensW. VIRGINIABerkeleyBrookeGrantGreenbrierHampshireHancockHardyJeffersonMarshallMercerMineralMonongaliaMonroeMorganOhioPendletonPocahontasPrestonSummersWetzelWISCONSINBuffaloCrawfordDaneDodgeDoorFond du LacGrantGreenGreen LakeIowaJeffersonLafayetteLangladeMarathonMenomineePepinPiercePortageRichlandRockShawanoSt. CroixVernonWalworthWashingtonWaukeshaWaupacaWoodWYOMINGAlbanyBig HornCampbellCarbonConverseCrookFremontGoshenHot SpringsJohnsonLaramieLincolnNatronaNiobraraParkSheridanSubletteSweetwaterTetonUintaWashakieEPA recommends that this county listing be supplemented with other available state and local data to further understand the radon potential of Zone 1 areas.
AF101.1,Section AF101 Scope,General,,,,,,"This appendix contains requirements for new construction in jurisdictions where radon-resistant construction is required.Inclusion of this appendix by jurisdictions shall be required in high radon potential counties as determined in Figure AF101 and as listed in Table AF101(1).Unvented crawl spaces are not permitted in any high radon potential county. In other areas, requirements of this appendix apply to any structure constructed with unvented crawl spaces as specified in R408.3."
AF102.1,Section AF102 Definitions,General,,,,,,"For the purpose of these requirements, the terms used shall be defined as follows:DRAIN TILE LOOP. A continuous length of drain tile or perforated pipe extending around all or part of the internal or external perimeter of a basement or crawl space footing.RADON GAS. A naturally occurring, chemically inert, radioactive gas that is not detectable by human senses. As a gas, it can move readily through particles of soil and rock, and can accumulate under the slabs and foundations of homes where it can easily enter into the living space through construction cracks and openings.SOIL-GAS-RETARDER. A continuous membrane of 6-mil (0.15 mm) polyethylene or other equivalent material used to retard the flow of soil gases into a building.SUBMEMBRANE DEPRESSURIZATION SYSTEM. A system designed to achieve lower submembrane air pressure relative to crawl space air pressure by use of a vent drawing air from beneath the soil-gas-retarder membrane.SUBSLAB DEPRESSURIZATION SYSTEM (Active). A system designed to achieve lower subslab air pressure relative to indoor air pressure by use of a fan-powered vent drawing air from beneath the slab.SUBSLAB DEPRESSURIZATION SYSTEM (Passive). A system designed to achieve lower subslab air pressure relative to indoor air pressure by use of a vent pipe routed through the conditioned space of a building and connecting the subslab area with outdoor air, thereby relying on the convective flow of air upward in the vent to draw air from beneath the slab."
AF103.1,Section AF103 Requirements,General,,,,,,"The following construction techniques are intended to resist radon entry and prepare the building for post-construction radon mitigation, if necessary (see Figure AF103.1). These techniques are required in high radon potential counties designated in Table AF101(1).FIGURE AF103.1RADON-RESISTANT CONSTRUCTION DETAILS FOR FOUR FOUNDATION TYPES"
AF103.2,Section AF103 Requirements,Subfloor Preparation,,,,,,"A layer of gas-permeable material shall be placed under all concrete slabs and other floor systems that directly contact the ground and are within the walls of the living spaces of the building, to facilitate future installation of a subslab depressurization system, if needed. The gas-permeable layer shall consist of one of the following:A uniform layer of clean aggregate, not less than 4 inches (102 mm) thick. The aggregate shall consist of material that will pass through a 2-inch (51 mm) sieve and be retained by a 1/4-inch (6.4 mm) sieve.A uniform layer of sand (native or fill), not less than 4 inches (102 mm) thick, overlain by a layer or strips of geotextile drainage matting designed to allow the lateral flow of soil gases.Other materials, systems or floor designs with demonstrated capability to permit depressurization across the entire subfloor area."
AF103.3,Section AF103 Requirements,Soil-Gas-Retarder,,,,,,"A minimum 6-mil (0.15 mm) [or 3-mil (0.075 mm) cross-laminated] polyethylene or equivalent flexible sheeting material shall be placed on top of the gas-permeable layer prior to casting the slab or placing the floor assembly to serve as a soil-gas-retarder by bridging any cracks that develop in the slab or floor assembly, and to prevent concrete from entering the void spaces in the aggregate base material. The sheeting shall cover the entire floor area with separate sections of sheeting lapped not less than 12 inches (305 mm). The sheeting shall fit closely around any pipe, wire or other penetrations of the material. Punctures or tears in the material shall be sealed or covered with additional sheeting."
AF103.4,Section AF103 Requirements,Entry Routes,,,,,,Potential radon entry routes shall be closed in accordance with Sections AF103.4.1 through AF103.4.10.
AF103.4.1,Section AF103 Requirements,Floor Openings,,,,,,"Openings around bathtubs, showers, water closets, pipes, wires or other objects that penetrate concrete slabs, or other floor assemblies, shall be filled with a polyurethane caulk or equivalent sealant applied in accordance with the manufacturer's recommendations."
AF103.4.2,Section AF103 Requirements,Concrete Joints,,,,,,"Control joints, isolation joints, construction joints, and any other joints in concrete slabs or between slabs and foundation walls shall be sealed with a caulk or sealant. Gaps and joints shall be cleared of loose material and filled with polyurethane caulk or other elastomeric sealant applied in accordance with the manufacturer's recommendations."
